sitio,fecha,tra.par,no.esp.p,codigo.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V4,2010-09-14,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,76,Diego,.
V4,2010-09-14,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,36,Nydia,.
V1,2010-09-22,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,680,680,Nydia,.
V1,2010-09-22,P2,p0007,lyc.ten,1,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,Nydia,.
V1,2010-09-22,P2,p0011,lyc.chi,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,.
V1,2010-09-22,P2,p0019,aca.ser,2,103,39,.,.,.,.,.,.,.,.,.,.,.,.,.,142,Nydia,.
V1,2010-09-22,P2,p0021,sch.fas,1,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Nydia,.
V1,2010-09-22,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,.
V1,2010-09-22,P5,p0007,lyc.ten,2,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Silvia y Nachu,.
V1,2010-09-22,P5,p0011,lyc.chi,3,3,16,50,.,.,.,.,.,.,.,.,.,.,.,.,69,Silvia y Nachu,.
V1,2010-09-22,P5,p0011,lyc.chi,5,57,4,.,.,.,.,.,.,.,.,.,.,.,.,.,152.5,Silvia y Nachu,.
V1,2010-09-22,P5,p0027,bou.spi,1,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,Silvia y Nachu,.
V1,2010-09-22,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,237,237,Silvia y Nachu,.
V1,2010-09-22,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,148,148,Silvia y Nachu,.
V1,2010-09-22,P6,p0011,lyc.chi,2,16,4,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Silvia y Nachu,.
V1,2010-09-22,P6,p0019,aca.ser,10,310,13,6,23,30,1,20,8,40,6,.,.,.,.,.,457,Silvia y Nachu,.
V1,2010-09-22,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,44,Silvia y Nachu,.
V1,2010-09-22,T1,p0019,aca.ser,10,3,26,2,7,1,10,12,5,32,15,.,.,.,.,.,113,Nydia,.
V1,2010-09-22,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,24,Nydia,.
V1,2010-09-22,T2,p0007,lyc.ten,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Nydia,.
V1,2010-09-22,T2,p0011,lyc.chi,2,5,22,.,.,.,.,.,.,.,.,.,.,.,.,.,27,Nydia,.
V1,2010-09-22,T2,p0019,aca.ser,2,35,38,.,.,.,.,.,.,.,.,.,.,.,.,.,73,Nydia,.
V1,2010-09-22,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89,89,Nydia,.
V4,2010-09-22,P1,p0011,lyc.chi,8,14,9,1,6,1,2,5,2,.,.,.,.,.,.,.,40,Nydia,.
V4,2010-09-22,P1,p0019,aca.ser,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Silvia y Nachu,.
V4,2010-09-22,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Silvia y Nachu,.
V4,2010-09-22,P1,p0060,lyc.gil,2,7,10,.,.,.,.,.,.,.,.,.,.,.,.,.,17,Silvia y Nachu,.
V4,2010-09-22,P2,p0011,lyc.chi,1,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,Silvia y Nachu,.
V4,2010-09-22,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89,89,Silvia y Nachu,.
V4,2010-09-22,P5,p0011,lyc.chi,3,8,1,9,.,.,.,.,.,.,.,.,.,.,.,.,18,Nydia,.
V4,2010-09-22,P5,p0019,aca.ser,1,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,Nydia,.
V4,2010-09-22,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,80,Nydia,.
V4,2010-09-22,P6,p0011,lyc.chi,4,3,5,2,1,.,.,.,.,.,.,.,.,.,.,.,11,Silvia y Nachu,.
V4,2010-09-22,P6,p0019,aca.ser,3,11,2,18,.,.,.,.,.,.,.,.,.,.,.,.,31,Silvia y Nachu,.
V4,2010-09-22,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Silvia y Nachu,.
V4,2010-09-22,T1,p0011,lyc.chi,4,2,2,1,1,.,.,.,.,.,.,.,.,.,.,.,6,Silvia y Nachu,.
V4,2010-09-22,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,809,809,Silvia y Nachu,.
V4,2010-09-22,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,266,Silvia y Nachu,.
V1,2010-09-29,P1,p0035,lar.nit,3,11,36,12.6,.,.,.,.,.,.,.,.,.,.,.,.,59.6,Silvia ,.
V1,2010-09-29,P1,p0049,fum.cap,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Silvia ,.
V1,2010-09-29,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,418,418,Silvia ,"Atención: todo el día nublado, las flores de erocic y ver pol nunca abrieron totalmente. Se contaron los pimpollos maduros como flores"
V1,2010-09-29,P1,p0105,ver.pol,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Silvia ,.
V1,2010-09-29,P2,p0019,aca.ser,8,22,143,80,16,5,7,12,174,.,.,.,.,.,.,.,459,Nydia,.
V1,2010-09-29,P2,p0021,sch.fas,1,677,.,.,.,.,.,.,.,.,.,.,.,.,.,.,677,Nydia,.
V1,2010-09-29,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Nydia,.
V1,2010-09-29,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,.
V1,2010-09-29,P5,p0011,lyc.chi,3,28,3,58,.,.,.,.,.,.,.,.,.,.,.,.,89,Silvia ,.
V1,2010-09-29,P5,p0027,bou.spi,1,400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,400,Silvia ,.
V1,2010-09-29,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,50,Silvia ,.
V1,2010-09-29,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,101,101,Silvia ,.
V1,2010-09-29,P6,p0019,aca.ser,39,245,80,10,47,59.5,25,1200,13,115,38,.,.,.,.,.,7146.75,Nydia,.
V1,2010-09-29,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,21,Nydia,.
V1,2010-09-29,T1,p0011,lyc.chi,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,.
V1,2010-09-29,T1,p0019,aca.ser,35,2,55,60,105,25,10,20,125,30,140,35,.,.,.,.,1931.36,Diego,.
V1,2010-09-29,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Diego,.
V1,2010-09-29,T2,p0011,lyc.chi,4,3,5,3,9,.,.,.,.,.,.,.,.,.,.,.,20,Diego,.
V1,2010-09-29,T2,p0019,aca.ser,14,50,20,10,20,50,70,3,5,400,35,.,.,.,.,.,928.2,Diego,.
V1,2010-09-29,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,70,Diego,.
V1,2010-09-29,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Diego,.
V4,2010-09-29,P1,p0011,lyc.chi,6,1,1,1,2,1,1,.,.,.,.,.,.,.,.,.,7,Nydia y silvia,.
V4,2010-09-29,P1,p0019,aca.ser,49,39,6,10,14,8,10,23.12,12,25,14,.,.,.,.,.,789.49,Nydia y silvia,.
V4,2010-09-29,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Nydia y silvia,.
V4,2010-09-29,P1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Diego,.
V4,2010-09-29,P2,p0011,lyc.chi,2,7,8,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Nydia,.
V4,2010-09-29,P2,p0019,aca.ser,7,2,13,12,14,8,10,8,.,.,.,.,.,.,.,.,67,Nydia,.
V4,2010-09-29,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110,110,Nydia,.
V4,2010-09-29,P5,p0011,lyc.chi,2,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Nydia,.
V4,2010-09-29,P5,p0019,aca.ser,28,14,2,59,37,80,21,2,13,60,40,.,.,.,.,.,918.4,Nydia,.
V4,2010-09-29,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,47,Nydia,.
V4,2010-09-29,P6,p0011,lyc.chi,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,.
V4,2010-09-29,P6,p0019,aca.ser,20,2,9,149,24,3,1,28,30,24,80,.,.,.,.,.,700,Nydia,.
V4,2010-09-29,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,.
V4,2010-09-29,T1,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,.
V4,2010-09-29,T1,p0011,lyc.chi,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,.
V4,2010-09-29,T1,p0019,aca.ser,9,2,2,2,5,4,3,2,1,1,.,.,.,.,.,.,22,Nydia,.
V4,2010-09-29,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,342,342,Nydia,.
V4,2010-09-29,T1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Nydia,.
V4,2010-09-29,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,40,Nydia,.
V4,2010-09-29,T2,p0011,lyc.chi,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,.
V4,2010-09-29,T2,p0019,aca.ser,8,1,2,1,4,2,2,1,1,.,.,.,.,.,.,.,14,Nydia,.
V4,2010-09-29,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298,298,Nydia,.
V1,2010-10-06,P1,p0035,lar.nit,2,107,17.5,.,.,.,.,.,.,.,.,.,.,.,.,.,124.5,Silvia ,0.15
V1,2010-10-06,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115,115,Silvia ,Medio cerradas las flores de erocic
V1,2010-10-06,P2,p0019,aca.ser,37,7,71,40,14,27,217,83,22,29,118,.,.,.,.,.,2323.6,Nydia,.
V1,2010-10-06,P2,p0021,sch.fas,1,960,.,.,.,.,.,.,.,.,.,.,.,.,.,.,960,Nydia,.
V1,2010-10-06,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,.
V1,2010-10-06,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nydia,.
V1,2010-10-06,P5,p0011,lyc.chi,1,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,Nydia,.
V1,2010-10-06,P5,p0027,bou.spi,1,134,.,.,.,.,.,.,.,.,.,.,.,.,.,.,134,Nydia,.
V1,2010-10-06,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,27,Nydia,.
V1,2010-10-06,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,106,106,Nydia,.
V1,2010-10-06,P6,p0006,men.dec,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,.
V1,2010-10-06,P6,p0019,aca.ser,46,240,10,30,180,90,530,470,194,23,2420,.,.,.,.,.,19260.2,Nydia,.
V1,2010-10-06,P6,p0020,hof.ere,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,.
V1,2010-10-06,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,33,Nydia,.
V1,2010-10-06,T1,p0011,lyc.chi,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,.
V1,2010-10-06,T1,p0019,aca.ser,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4710,Nydia,.
V1,2010-10-06,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,capitulo
V1,2010-10-06,T1,p0026,alo.gra,1,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,Nydia,.
V1,2010-10-06,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,74,Nydia,.
V1,2010-10-06,T2,p0019,aca.ser,68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4270.4,Nydia,.
V1,2010-10-06,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110,110,Nydia,.
V1,2010-10-06,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Nydia,.
V18,2010-10-06,P1,p0019,aca.ser,13,25,10,15,5,60,120,50,20,25,10,.,.,.,.,.,442,Diego,
V18,2010-10-06,P1,p0045,lar.cun,5,20,6,10,10,150,.,.,.,.,.,.,.,.,.,.,196,Diego,
V18,2010-10-06,P2,p0007,lyc.ten,6,8,20,15,10,10,3,.,.,.,.,.,.,.,.,.,66,Diego,
V18,2010-10-06,P2,p0019,aca.ser,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Diego,
V18,2010-10-06,P2,p0045,lar.cun,2,150,10,.,.,.,.,.,.,.,.,.,.,.,.,.,160,Diego,
V18,2010-10-06,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Diego,
V18,2010-10-06,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Diego,
V18,2010-10-06,P6,p0007,lyc.ten,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V18,2010-10-06,P6,p0019,aca.ser,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Diego,
V18,2010-10-06,P6,p0045,lar.cun,1,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,Diego,
V18,2010-10-06,P6,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Diego,
V18,2010-10-06,T1,p0019,aca.ser,15,25,25,180,75,60,250,300,200,60,50,.,.,.,.,.,1837.5,Diego,
V18,2010-10-06,T2,p0019,aca.ser,5,100,80,100,70,10,.,.,.,.,.,.,.,.,.,.,360,Diego,
V19,2010-10-06,.,p0026,alo.gra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera de parcela
V19,2010-10-06,.,p0093,den.rho,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera de parcela
V19,2010-10-06,P1,p0018,bud.men,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,
V19,2010-10-06,P1,p0019,aca.ser,38,40,26.67,250,100,60,70,40,50,60,35,.,.,.,.,.,2780.33,Diego,
V19,2010-10-06,P1,p0048,fab.pec,5,40,80,30,50,25,.,.,.,.,.,.,.,.,.,.,225,Diego,
V19,2010-10-06,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Diego,
V19,2010-10-06,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Diego,
V19,2010-10-06,P1,p0101,hof.er2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V19,2010-10-06,P5,p0101,hof.er2,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V19,2010-10-06,P6,p0026,alo.gra,3,30,14,8,.,.,.,.,.,.,.,.,.,.,.,.,52,Diego,Inflorescencias. 15 flores/inf.
V19,2010-10-06,P6,p0101,hof.er2,5,2,2,7,2,1,.,.,.,.,.,.,.,.,.,.,14,Diego,
V19,2010-10-06,T2,p0018,bud.men,5,10,10,3,7,55,.,.,.,.,.,.,.,.,.,.,85,Diego,
V19,2010-10-06,T2,p0101,hof.er2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V20,2010-10-06,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-10-06,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-10-06,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-10-06,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-10-06,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-10-06,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V4,2010-10-06,P1,p0019,aca.ser,51,35,9,100,92,116,8,24,69,240,312,.,.,.,.,.,5125.5,Nydia,.
V4,2010-10-06,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,2 individuos
V4,2010-10-06,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Nydia,.
V4,2010-10-06,P1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,Nydia,.
V4,2010-10-06,P2,p0019,aca.ser,10,37,45,50,70,22,38,203,14,9,24,.,.,.,.,.,512,Nydia,.
V4,2010-10-06,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,271,271,Nydia,.
V4,2010-10-06,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Nydia,.
V4,2010-10-06,P5,p0019,aca.ser,25,400,350,400,110,50,120,60,40,110,40,.,.,.,.,.,4200,Diego,.
V4,2010-10-06,P6,p0019,aca.ser,119,11,63,226,78,30,13,4,11,87,346,.,.,.,.,.,10341.1,Nydia,.
V4,2010-10-06,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,.
V4,2010-10-06,P6,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,.
V4,2010-10-06,T1,p0011,lyc.chi,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,.
V4,2010-10-06,T1,p0019,aca.ser,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1484.8,Nydia,.
V4,2010-10-06,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,135,135,Nydia,.
V4,2010-10-06,T1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,Nydia,.
V4,2010-10-06,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Nydia,.
V4,2010-10-06,T2,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,cabezuelas con puntos blancos
V4,2010-10-06,T2,p0011,lyc.chi,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,.
V4,2010-10-06,T2,p0019,aca.ser,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1382.4,Nydia,.
V4,2010-10-06,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91,91,Nydia,.
V4,2010-10-06,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,.
V5,2010-10-07,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Diego,
V1,2010-10-14,P1,p0021,sch.fas,1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Silvia y Nachu,.
V1,2010-10-14,P1,p0026,alo.gra,3,300,110,40,.,.,.,.,.,.,.,.,.,.,.,.,450,Silvia y Nachu,.
V1,2010-10-14,P1,p0035,lar.nit,3,10,30,2,2100,.,.,.,.,.,.,.,.,.,.,.,1606.5,Silvia y Nachu,.
V1,2010-10-14,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,Silvia y Nachu,.
V1,2010-10-14,P2,p0019,aca.ser,65,17,100,250,900,30,5,90,50,40,600,.,.,.,.,.,13533,Silvia y Nachu,.
V1,2010-10-14,P2,p0021,sch.fas,3,20,60,1000,50,.,.,.,.,.,.,.,.,.,.,.,847.5,Silvia y Nachu,.
V1,2010-10-14,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Silvia y Nachu,.
V1,2010-10-14,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,176,176,Silvia y Nachu,.
V1,2010-10-14,P5,p0011,lyc.chi,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Silvia y Nachu,.
V1,2010-10-14,P5,p0011,lyc.chi,2,1,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,Silvia y Nachu,
V1,2010-10-14,P5,p0026,alo.gra,1,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,Silvia y Nachu,.
V1,2010-10-14,P5,p0034,lar.div,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Silvia y Nachu,.
V1,2010-10-14,P5,p0035,lar.nit,2,21.25,9,.,.,.,.,.,.,.,.,.,.,.,.,.,30.25,Silvia y Nachu,.
V1,2010-10-14,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,111,111,Silvia y Nachu,.
V1,2010-10-14,P6,p0006,men.dec,9,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,9,Silvia y Nachu,.
V1,2010-10-14,P6,p0009,sen.aph,1,1.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.8,Silvia y Nachu,.
V1,2010-10-14,P6,p0019,aca.ser,49,180,90,90,3,80,3,50,400,90,20,60,100,80,.,.,4696.46,Silvia y Nachu,.
V1,2010-10-14,P6,p0020,hof.ere,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Silvia y Nachu,.
V1,2010-10-14,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Silvia y Nachu,.
V1,2010-10-14,T1,p0006,men.dec,15,2,1,1,1,1,1,1,1,1,1,1,1,.,.,.,16.25,Silvia y Nachu,.
V1,2010-10-14,T1,p0009,sen.aph,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Silvia y Nachu,.
V1,2010-10-14,T1,p0011,lyc.chi,1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Silvia y Nachu,.
V1,2010-10-14,T1,p0019,aca.ser,95,1,3,50,70,130,30,10,10,5,30,.,.,.,.,.,3220.5,Silvia y Nachu,.
V1,2010-10-14,T1,p0020,hof.ere,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,30,Silvia y Nachu,.
V1,2010-10-14,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,Silvia y Nachu,.
V1,2010-10-14,T1,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Silvia y Nachu,.
V1,2010-10-14,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,29,Silvia y Nachu,.
V1,2010-10-14,T2,p0006,men.dec,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Silvia y Nachu,.
V1,2010-10-14,T2,p0011,lyc.chi,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Silvia y Nachu,.
V1,2010-10-14,T2,p0019,aca.ser,98,70,30,30,200,70,100,50,80,80,130,.,.,.,.,.,8232,Silvia y Nachu,.
V1,2010-10-14,T2,p0020,hof.ere,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia y Nachu,.
V1,2010-10-14,T2,p0021,sch.fas,1,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,Silvia y Nachu,.
V1,2010-10-14,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,Silvia y Nachu,.
V1,2010-10-14,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Silvia y Nachu,.
