sitio,tra.par,fecha,semana,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,realizador,comentarios
V5,28,2008-10-08,1,p0009,sen.aph,Senna ,aphylla ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Anahí Miner,
V5,28,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,48,Sebastián Martín,
V5,28,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Anahí Miner,
V5,30,2008-10-08,1,p0015,cer.arv,Cerastium ,arvense,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,90,Anahí Miner,
V5,30,2008-10-08,1,p0059,des.sp1,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Anahí Miner,
V5,30,2008-10-08,1,p0059,des.sp1,.,.,15,12,2,3,1,3,3,2,1,3,4,.,.,.,.,.,51,Sebastián Martín,
V5,30,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Anahí Miner,
V5,30,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,Sebastián Martín,
V5,30,2008-10-08,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Sebastián Martín,
V5,30,2008-10-08,1,p0102,lap.red,.,.,31,8,2,1,2,3,4,2,1,2,3,4,.,.,.,.,90,Sebastián Martín,
V5,30,2008-10-08,1,spergula,spergula,.,.,80,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,80,Sebastián Martín,
V5,30,2008-10-08,1,spergula,spergula,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240,240,Anahí Miner,
V5,30,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Anahí Miner,
V5,T1,2008-10-08,1,p0059,des.sp1,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,Erica Stevani,
V5,T1,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Erica Stevani,
V5,T1,2008-10-08,1,p0102,lap.red,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,50,Erica Stevani,
V5,T1,2008-10-08,1,p0036,lec.het,Lecanophora,heterophylla,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Erica Stevani,
V5,T1,2008-10-08,1,p0079,pol.ste,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,30,Erica Stevani,
V5,T1,2008-10-08,1,p0054,sph.min,Spharealcea,miniata,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Erica Stevani,
V5,T2,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,120,120,Erica Stevani,
V5,T2,2008-10-08,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,60,Erica Stevani,
V5,T2,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Erica Stevani,
V8,43,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,65,Sebastián Martín,
V8,43,2008-10-08,1,p0071,gla.sp2,.,.,6,3,10,5,12,7,9,.,.,.,.,.,.,.,.,.,46,Sebastián Martín,
V8,43,2008-10-08,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,74,10,13,13,25,6,5,4,5,4,.,.,.,.,.,.,699,Sebastián Martín,
V8,43,2008-10-08,1,p0079,pol.ste,.,.,9,20,30,9,1,1,10,5,5,21,.,.,.,.,.,.,102,Sebastián Martín,
V8,43,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,74,Sebastián Martín,
V8,45,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,30,Erica Stevani,
V8,45,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,146,146,Erica Stevani,
V8,45,2008-10-08,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Erica Stevani,
V8,45,2008-10-08,1,p0105,ver.pol,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Erica Stevani,
V8,46,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,128,128,Erica Stevani,
V8,46,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Erica Stevani,
V8,46,2008-10-08,1,p0054,sph.min,Spharealcea,miniata,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Erica Stevani,
V8,46,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,Erica Stevani,
V8,48,2008-10-08,1,p0019,aca.ser,Acantholippia ,seriphioides ,3,11,7,60,.,.,.,.,.,.,.,.,.,.,.,.,78,Sebastián Martín,
V8,48,2008-10-08,1,p0019,aca.ser,Acantholippia ,seriphioides ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Anahí Miner,
V8,48,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Anahí Miner,
V8,48,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,174,174,Anahí Miner,
V8,48,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210,210,Sebastián Martín,
V8,48,2008-10-08,1,p0071,gla.sp2,.,.,3,8,5,8,.,.,.,.,.,.,.,.,.,.,.,.,21,Sebastián Martín,
V8,48,2008-10-08,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Sebastián Martín,
V8,48,2008-10-08,1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Anahí Miner,
V8,48,2008-10-08,1,p0054,sph.min,Spharealcea,miniata,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Sebastián Martín,
V8,48,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Sebastián Martín,
V8,T1,2008-10-08,1,p0019,aca.ser,Acantholippia ,seriphioides ,2,6,3,.,.,.,.,.,.,.,.,.,.,.,.,.,9,Anahí Miner,
V8,T1,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,9,1,3,4,9,1,6,1,3,3,.,.,.,.,.,.,31,Anahí Miner,
V8,T1,2008-10-08,1,conejito,conejito,.,.,5,2,3,3,8,5,.,.,.,.,.,.,.,.,.,.,21,Anahí Miner,
V8,T1,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,62,Anahí Miner,
V8,T1,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,46,Anahí Miner,
V8,T2,2008-10-08,1,p0019,aca.ser,Acantholippia ,seriphioides ,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Erica Stevani,
V8,T2,2008-10-08,1,altepe,altepe,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,Erica Stevani,
V8,T2,2008-10-08,1,p0046,arj.lon,Arjona,longifolia,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Erica Stevani,
V8,T2,2008-10-08,1,p0050,hys.jas,Hysterionica,jassionoide,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Erica Stevani,
V8,T2,2008-10-08,1,p0079,pol.ste,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,30,Erica Stevani,
V8,T2,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,67,Erica Stevani,
V8,T2,2008-10-08,1,p0105,ver.pol,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Erica Stevani,
V9,49,2008-10-08,1,p0059,des.sp1,.,.,5,8,2,2,2,3,.,.,.,.,.,.,.,.,.,.,17,Anahí Miner,
V9,49,2008-10-08,1,p0059,des.sp1,.,.,16,1,3,2,3,3,4,6,3,7,2,.,.,.,.,.,54,Sebastián Martín,
V9,49,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Sebastián Martín,
V9,49,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,36,Anahí Miner,
V9,49,2008-10-08,1,p0102,lap.red,.,.,21,3,4,3,3,3,3,3,4,5,1,4,4,.,.,.,70,Sebastián Martín,
V9,49,2008-10-08,1,p0072,pla.pat,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,81,Anahí Miner,
V9,49,2008-10-08,1,p0072,pla.pat,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,140,Sebastián Martín,
V9,49,2008-10-08,1,spergula,spergula,.,.,65,1,1,1,1,1,1,7,1,1,1,.,.,.,.,.,104,Sebastián Martín,
V9,49,2008-10-08,1,spergula,spergula,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,21,Anahí Miner,
V9,51,2008-10-08,1,p0059,des.sp1,.,.,14,1,1,1,1,1,1,1,1,1,3,.,.,.,.,.,17,Anahí Miner,
V9,51,2008-10-08,1,p0059,des.sp1,.,.,110,4,3,8,4,3,2,3,3,4,5,.,.,.,.,.,429,Sebastián Martín,
V9,51,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Anahí Miner,
V9,51,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Sebastián Martín,
V9,51,2008-10-08,1,spergula,spergula,.,.,74,6,3,8,1,1,1,1,2,1,3,.,.,.,.,.,200,Sebastián Martín,
V9,52,2008-10-08,1,p0059,des.sp1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Erica Stevani,
V9,52,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Erica Stevani,
V9,52,2008-10-08,1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,Erica Stevani,
V9,52,2008-10-08,1,p0066,pha.art,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Erica Stevani,
V9,52,2008-10-08,1,spergula,spergula,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,Erica Stevani,
V9,54,2008-10-08,1,p0059,des.sp1,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Erica Stevani,
V9,54,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Erica Stevani,
V9,54,2008-10-08,1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Erica Stevani,
V9,54,2008-10-08,1,spergula,spergula,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123,123,Erica Stevani,
V9,T1,2008-10-08,1,p0059,des.sp1,.,.,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,32,Erica Stevani,
V9,T1,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,21,Erica Stevani,
V9,T1,2008-10-08,1,p0102,lap.red,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,62,Erica Stevani,
V9,T1,2008-10-08,1,p0036,lec.het,Lecanophora,heterophylla,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Erica Stevani,
V9,T1,2008-10-08,1,p0072,pla.pat,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Erica Stevani,
V9,T1,2008-10-08,1,spergula,spergula,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95,95,Erica Stevani,
V9,T2,2008-10-08,1,p0059,des.sp1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Erica Stevani,
V9,T2,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Erica Stevani,
V9,T2,2008-10-08,1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,83,Erica Stevani,
V11,61,2008-10-09,1,p0071,gla.sp2,.,.,1,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,Erica Stevani,
V11,63,2008-10-09,1,p0019,aca.ser,Acantholippia ,seriphioides ,1,95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95,Anahí Miner,
V11,63,2008-10-09,1,p0019,aca.ser,Acantholippia ,seriphioides ,9,23,10,7,16,39,100,45,4,8,.,.,.,.,.,.,252,Jimena Dorado,
V11,63,2008-10-09,1,p0046,arj.lon,Arjona,longifolia,4,3,5,5,3,.,.,.,.,.,.,.,.,.,.,.,16,Anahí Miner,
V11,63,2008-10-09,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Anahí Miner,
V11,63,2008-10-09,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Jimena Dorado,
V11,63,2008-10-09,1,p0102,lap.red,.,.,5,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Jimena Dorado,
V11,63,2008-10-09,1,p0036,lec.het,Lecanophora,heterophylla,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Jimena Dorado,
V11,63,2008-10-09,1,p0036,lec.het,Lecanophora,heterophylla,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Anahí Miner,
V11,63,2008-10-09,1,p0011,lyc.chi,Lycium ,chilense ,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Jimena Dorado,
V11,63,2008-10-09,1,p0066,pha.art,.,.,29,2,1,2,1,6,2,4,2,1,1,1,1,1,1,.,54,Jimena Dorado,
V11,63,2008-10-09,1,p0079,pol.ste,.,.,1,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,Anahí Miner,
V11,63,2008-10-09,1,p0079,pol.ste,.,.,4,60,12,13,22,.,.,.,.,.,.,.,.,.,.,.,107,Jimena Dorado,
V11,63,2008-10-09,1,p0054,sph.min,Spharealcea,miniata,1,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,Jimena Dorado,
V11,63,2008-10-09,1,p0054,sph.min,Spharealcea,miniata,1,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Anahí Miner,
V11,63,2008-10-09,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,60,Jimena Dorado,
V11,63,2008-10-09,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,65,Anahí Miner,
V11,64,2008-10-09,1,p0019,aca.ser,Acantholippia ,seriphioides ,2,38,6,.,.,.,.,.,.,.,.,.,.,.,.,.,44,Jimena Dorado,
V11,64,2008-10-09,1,p0059,des.sp1,.,.,66,3,2,6,3,1,1,3,3,2,3,.,.,.,.,.,178,Jimena Dorado,
V11,64,2008-10-09,1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Erica Stevani,
V11,64,2008-10-09,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Jimena Dorado,
V11,64,2008-10-09,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Erica Stevani,
V11,64,2008-10-09,1,p0102,lap.red,.,.,5,1,2,1,1,1,.,.,.,.,.,.,.,.,.,.,6,Jimena Dorado,Celeste
V11,64,2008-10-09,1,p0102,lap.red,.,.,5,3,1,4,8,8,.,.,.,.,.,.,.,.,.,.,24,Jimena Dorado,Blanca
V11,64,2008-10-09,1,p0066,pha.art,.,.,29,11,2,2,1,2,1,1,2,1,3,2,2,5,10,.,93,Jimena Dorado,
V11,64,2008-10-09,1,p0064,pol.sp1,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Jimena Dorado,
V11,64,2008-10-09,1,p0054,sph.min,Spharealcea,miniata,4,1,7,3,10,.,.,.,.,.,.,.,.,.,.,.,21,Jimena Dorado,
V11,66,2008-10-09,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Erica Stevani,
V11,T1,2008-10-09,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,154,154,Erica Stevani,
