sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V2,F1,2007-11-27,p0004,hel.don,Helenium ,donianum,7,1,1603704,7,11225928
V2,F4,2007-11-27,p0004,hel.don,Helenium ,donianum ,2,1,1603704,2,3207408
V2,F5,2007-11-27,p0004,hel.don,Helenium ,donianum,11,1,1603704,11,17640744
V4,F1,2007-11-27,p0004,hel.don,Helenium ,donianum ,1,1,1603704,1,1603704
V4,F3,2007-11-27,p0004,hel.don,Helenium ,donianum,6,1,1603704,6,9622224
V4,F4,2007-11-27,p0004,hel.don,Helenium ,donianum ,9,1,1603704,9,14433336
V4,F5,2007-11-27,p0004,hel.don,Helenium ,donianum,1,1,1603704,1,1603704
V1,F1,2007-12-04,p0004,hel.don,Helenium ,donianum ,22,1,1603704,22,35281488
V1,F2,2007-12-04,p0004,hel.don,Helenium ,donianum,3,1,1603704,3,4811112
V1,F2,2007-12-04,p0004,hel.don,Helenium ,donianum ,4,1,1603704,4,6414816
V1,F3,2007-12-04,p0004,hel.don,Helenium ,donianum,10,1,1603704,10,16037040
V1,F4,2007-12-04,p0004,hel.don,Helenium ,donianum ,1,1,1603704,1,1603704
V1,F5,2007-12-04,p0004,hel.don,Helenium ,donianum,58,1,1603704,58,93014832
V2,F1,2007-12-04,p0004,hel.don,Helenium ,donianum ,13,1,1603704,13,20848152
V2,F3,2007-12-04,p0004,hel.don,Helenium ,donianum,2,1,1603704,2,3207408
V2,F4,2007-12-04,p0004,hel.don,Helenium ,donianum ,7,1,1603704,7,11225928
V2,F5,2007-12-04,p0004,hel.don,Helenium ,donianum,31,1,1603704,31,49714824
V4,F3,2007-12-04,p0004,hel.don,Helenium ,donianum ,7,1,1603704,7,11225928
V4,F4,2007-12-04,p0004,hel.don,Helenium ,donianum,16,1,1603704,16,25659264
V4,F5,2007-12-04,p0004,hel.don,Helenium ,donianum ,3,1,1603704,3,4811112
V1,F5,2007-12-11,p0004,hel.don,Helenium ,donianum,7,1,1603704,7,11225928
V2,F1,2007-12-11,p0004,hel.don,Helenium ,donianum ,1,1,1603704,1,1603704
V2,F3,2007-12-11,p0004,hel.don,Helenium ,donianum,3,1,1603704,3,4811112
V2,F5,2007-12-11,p0004,hel.don,Helenium ,donianum ,10,1,1603704,10,16037040
V1,F4,2007-11-27,p0005,hel.don,Helenium ,donianum,1,1,1603704,1,1603704
V1,F1,2007-10-23,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V1,F2,2007-10-23,p0006,men.dec,Menodora ,decemfida ,3,18,18889,54,1020006
V1,F3,2007-10-23,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V1,F4,2007-10-23,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V1,F5,2007-10-23,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V4,F2,2007-10-23,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V1,F1,2007-10-29,p0006,men.dec,Menodora ,decemfida ,13,18,18889,234,4420026
V1,F2,2007-10-29,p0006,men.dec,Menodora ,decemfida ,20,18,18889,360,6800040
V1,F3,2007-10-29,p0006,men.dec,Menodora ,decemfida ,4,18,18889,72,1360008
V1,F4,2007-10-29,p0006,men.dec,Menodora ,decemfida ,3,18,18889,54,1020006
V1,F5,2007-10-29,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V1,F1,2007-11-06,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V1,F2,2007-11-06,p0006,men.dec,Menodora ,decemfida ,8,18,18889,144,2720016
V1,F3,2007-11-06,p0006,men.dec,Menodora ,decemfida ,5,18,18889,90,1700010
V1,F4,2007-11-06,p0006,men.dec,Menodora ,decemfida ,19,18,18889,342,6460038
V1,F5,2007-11-06,p0006,men.dec,Menodora ,decemfida ,13,18,18889,234,4420026
V2,F1,2007-11-06,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F1,2007-11-06,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F2,2007-11-06,p0006,men.dec,Menodora ,decemfida ,5,18,18889,90,1700010
V4,F3,2007-11-06,p0006,men.dec,Menodora ,decemfida ,3,18,18889,54,1020006
V4,F4,2007-11-06,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V4,F5,2007-11-06,p0006,men.dec,Menodora ,decemfida ,5,18,18889,90,1700010
V1,F1,2007-11-13,p0006,men.dec,Menodora ,decemfida ,19,18,18889,342,6460038
V1,F2,2007-11-13,p0006,men.dec,Menodora ,decemfida ,37,18,18889,666,12580074
V1,F3,2007-11-13,p0006,men.dec,Menodora ,decemfida ,14,18,18889,252,4760028
V1,F4,2007-11-13,p0006,men.dec,Menodora ,decemfida ,20,18,18889,360,6800040
V1,F5,2007-11-13,p0006,men.dec,Menodora ,decemfida ,5,18,18889,90,1700010
V2,F1,2007-11-13,p0006,men.dec,Menodora ,decemfida ,17,18,18889,306,5780034
V4,F1,2007-11-13,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V4,F2,2007-11-13,p0006,men.dec,Menodora ,decemfida ,13,18,18889,234,4420026
V4,F3,2007-11-13,p0006,men.dec,Menodora ,decemfida ,4,18,18889,72,1360008
V4,F4,2007-11-13,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F5,2007-11-13,p0006,men.dec,Menodora ,decemfida ,9,18,18889,162,3060018
V1,F1,2007-11-20,p0006,men.dec,Menodora ,decemfida ,17,18,18889,306,5780034
V1,F2,2007-11-20,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V1,F3,2007-11-20,p0006,men.dec,Menodora ,decemfida ,8,18,18889,144,2720016
V1,F4,2007-11-20,p0006,men.dec,Menodora ,decemfida ,15,18,18889,270,5100030
V1,F5,2007-11-20,p0006,men.dec,Menodora ,decemfida ,3,18,18889,54,1020006
V2,F1,2007-11-20,p0006,men.dec,Menodora ,decemfida ,6,18,18889,108,2040012
V4,F2,2007-11-20,p0006,men.dec,Menodora ,decemfida ,4,18,18889,72,1360008
V4,F3,2007-11-20,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F5,2007-11-20,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V1,F1,2007-11-27,p0006,men.dec,Menodora ,decemfida ,11,18,18889,198,3740022
V1,F2,2007-11-27,p0006,men.dec,Menodora ,decemfida ,18,18,18889,324,6120036
V1,F3,2007-11-27,p0006,men.dec,Menodora ,decemfida ,8,18,18889,144,2720016
V1,F4,2007-11-27,p0006,men.dec,Menodora ,decemfida ,15,18,18889,270,5100030
V1,F5,2007-11-27,p0006,men.dec,Menodora ,decemfida ,15,18,18889,270,5100030
V2,F1,2007-11-27,p0006,men.dec,Menodora ,decemfida ,8,18,18889,144,2720016
V4,F2,2007-11-27,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V4,F3,2007-11-27,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V4,F5,2007-11-27,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V1,F1,2007-12-04,p0006,men.dec,Menodora ,decemfida ,5,18,18889,90,1700010
V1,F2,2007-12-04,p0006,men.dec,Menodora ,decemfida ,11,18,18889,198,3740022
V1,F3,2007-12-04,p0006,men.dec,Menodora ,decemfida ,11,18,18889,198,3740022
V1,F4,2007-12-04,p0006,men.dec,Menodora ,decemfida ,15,18,18889,270,5100030
V1,F5,2007-12-04,p0006,men.dec,Menodora ,decemfida ,14,18,18889,252,4760028
V2,F1,2007-12-04,p0006,men.dec,Menodora ,decemfida ,10,18,18889,180,3400020
V2,F3,2007-12-04,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V4,F2,2007-12-04,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F3,2007-12-04,p0006,men.dec,Menodora ,decemfida ,2,18,18889,36,680004
V4,F5,2007-12-04,p0006,men.dec,Menodora ,decemfida ,11,18,18889,198,3740022
V1,F4,2007-12-11,p0006,men.dec,Menodora ,decemfida ,3,18,18889,54,1020006
V2,F4,2007-12-11,p0006,men.dec,Menodora ,decemfida ,1,18,18889,18,340002
V1,3,2007-10-02,p0007,lyc.ten,Lycium ,tenuispinosum  ,1,4,159954,4,639816
V1,26,2007-10-02,p0007,lyc.ten,Lycium ,tenuispinosum  ,1,4,159954,4,639816
V1,37,2007-10-02,p0007,lyc.ten,Lycium ,tenuispinosum  ,1,4,159954,4,639816
V1,F5,2007-10-19,p0007,lyc.ten,Lycium ,tenuispinosum  ,2,2,159954,4,639816
V1,F1,2007-10-29,p0009,sen.aph,Senna ,aphylla ,7,36,103318,252,26036136
V1,F2,2007-10-29,p0009,sen.aph,Senna ,aphylla ,1,36,103318,36,3719448
V1,F3,2007-10-29,p0009,sen.aph,Senna ,aphylla ,2,36,103318,72,7438896
V1,F4,2007-10-29,p0009,sen.aph,Senna ,aphylla ,2,36,103318,72,7438896
V1,F5,2007-10-29,p0009,sen.aph,Senna ,aphylla ,5,36,103318,180,18597240
V2,F1,2007-10-29,p0009,sen.aph,Senna ,aphylla ,1,36,103318,36,3719448
V1,F1,2007-11-06,p0009,sen.aph,Senna ,aphylla ,4,120,103318,480,49592640
V1,F2,2007-11-06,p0009,sen.aph,Senna ,aphylla ,3,120,103318,360,37194480
V1,F3,2007-11-06,p0009,sen.aph,Senna ,aphylla ,3,120,103318,360,37194480
V1,F5,2007-11-06,p0009,sen.aph,Senna ,aphylla ,7,120,103318,840,86787120
V2,F1,2007-11-06,p0009,sen.aph,Senna ,aphylla ,1,120,103318,120,12398160
V2,F2,2007-11-06,p0009,sen.aph,Senna ,aphylla ,1,120,103318,120,12398160
V1,F1,2007-11-13,p0009,sen.aph,Senna ,aphylla ,2,307,103318,614,63437252
V1,F2,2007-11-13,p0009,sen.aph,Senna ,aphylla ,4,307,103318,1228,126874504
V1,F3,2007-11-13,p0009,sen.aph,Senna ,aphylla ,10,307,103318,3070,317186260
V2,F1,2007-11-13,p0009,sen.aph,Senna ,aphylla ,2,307,103318,614,63437252
V1,F1,2007-11-20,p0009,sen.aph,Senna ,aphylla ,5,134,103318,670,69223060
V1,F2,2007-11-20,p0009,sen.aph,Senna ,aphylla ,2,134,103318,268,27689224
V1,F3,2007-11-20,p0009,sen.aph,Senna ,aphylla ,1,134,103318,134,13844612
V1,F5,2007-11-20,p0009,sen.aph,Senna ,aphylla ,7,134,103318,938,96912284
V2,F1,2007-11-20,p0009,sen.aph,Senna ,aphylla ,1,134,103318,134,13844612
V1,F1,2007-11-27,p0009,sen.aph,Senna ,aphylla ,1,53,103318,53,5475854
V1,F2,2007-11-27,p0009,sen.aph,Senna ,aphylla ,1,53,103318,53,5475854
V1,F3,2007-11-27,p0009,sen.aph,Senna ,aphylla ,2,53,103318,106,10951708
V1,F5,2007-11-27,p0009,sen.aph,Senna ,aphylla ,7,53,103318,371,38330978
V2,F1,2007-11-27,p0009,sen.aph,Senna ,aphylla ,1,53,103318,53,5475854
V1,F2,2007-12-04,p0009,sen.aph,Senna ,aphylla ,1,9,103318,9,929862
V1,F3,2007-12-04,p0009,sen.aph,Senna ,aphylla ,2,9,103318,18,1859724
V1,F5,2007-12-04,p0009,sen.aph,Senna ,aphylla ,2,9,103318,18,1859724
V2,F3,2007-11-20,p0010,ste.gil,Stevia ,gilliesii,1,.,.,.,.
V1,37,2007-10-02,p0011,lyc.chi,Lycium ,chilense ,4,19,120247,76,9138772
V4,2,2007-10-02,p0011,lyc.chi,Lycium ,chilense ,1,19,120247,19,2284693
V4,28,2007-10-02,p0011,lyc.chi,Lycium ,chilense ,1,19,120247,19,2284693
V4,F2,2007-10-19,p0011,lyc.chi,Lycium ,chilense ,4,6,120247,24,2885928
V1,F5,2007-10-19,p0012,ver.bon,Verbena,bonariensis ,1,362,13472,362,4876864
V4,F1,2007-10-19,p0012,ver.bon,Verbena,bonariensis ,3,362,13472,1086,14630592
V4,F2,2007-10-19,p0012,ver.bon,Verbena,bonariensis ,12,362,13472,4344,58522368
V4,F3,2007-10-19,p0012,ver.bon,Verbena,bonariensis ,3,362,13472,1086,14630592
V4,F4,2007-10-19,p0012,ver.bon,Verbena,bonariensis ,51,362,13472,18462,248720064
V4,F4,2007-10-19,p0016,hel.men,Heliotropium ,mendocinum ,3,.,.,.,.
V4,F4,2007-10-23,p0016,hel.men,Heliotropium ,mendocinum ,2,.,.,.,.
V4,F4,2007-10-29,p0016,hel.men,Heliotropium ,mendocinum ,5,.,.,.,.
V4,F4,2007-11-13,p0016,hel.men,Heliotropium ,mendocinum ,5,.,.,.,.
V4,F2,2007-10-29,p0017,sal.gil,Salvia ,gilliesii,2,76,38333,152,5826616
V4,F1,2007-11-06,p0017,sal.gil,Salvia ,gilliesii,2,76,38333,152,5826616
V2,F1,2007-11-13,p0017,sal.gil,Salvia ,gilliesii,1,76,38333,76,2913308
V4,F1,2007-11-13,p0017,sal.gil,Salvia ,gilliesii,2,76,38333,152,5826616
V2,F1,2007-11-20,p0017,sal.gil,Salvia ,gilliesii,1,76,38333,76,2913308
V2,F1,2007-11-27,p0017,sal.gil,Salvia ,gilliesii,1,76,38333,76,2913308
V4,F1,2007-11-27,p0017,sal.gil,Salvia ,gilliesii,2,76,38333,152,5826616
V4,F1,2007-12-04,p0017,sal.gil,Salvia ,gilliesii,2,76,38333,152,5826616
V1,F3,2007-10-19,p0019,aca.ser,Acantholippia ,seriphioides ,9,46,5093,414,2108502
V1,F5,2007-10-19,p0019,aca.ser,Acantholippia ,seriphioides ,4,46,5093,184,937112
V4,F2,2007-10-19,p0019,aca.ser,Acantholippia ,seriphioides ,6,46,5093,276,1405668
V4,F3,2007-10-19,p0019,aca.ser,Acantholippia ,seriphioides ,10,46,5093,460,2342780
V4,F4,2007-10-19,p0019,aca.ser,Acantholippia ,seriphioides ,3,46,5093,138,702834
V1,F1,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,12,130,5093,1560,7945080
V1,F2,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,15,130,5093,1950,9931350
V1,F3,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,5,130,5093,650,3310450
V1,F4,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,2,130,5093,260,1324180
V1,F5,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,1,130,5093,130,662090
V4,F2,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,1,130,5093,130,662090
V4,F5,2007-10-23,p0019,aca.ser,Acantholippia ,seriphioides ,12,130,5093,1560,7945080
V1,F1,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,20,155,5093,3100,15788300
V1,F2,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,11,155,5093,1705,8683565
V1,F3,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,9,155,5093,1395,7104735
V1,F4,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,2,155,5093,310,1578830
V2,F1,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,12,155,5093,1860,9472980
V2,F2,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,16,155,5093,2480,12630640
V2,F4,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,5,155,5093,775,3947075
V2,F5,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,1,155,5093,155,789415
V4,F3,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,1,155,5093,155,789415
V4,F4,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,8,155,5093,1240,6315320
V4,F5,2007-10-29,p0019,aca.ser,Acantholippia ,seriphioides ,15,155,5093,2325,11841225
V1,F1,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V1,F2,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,5,124,5093,620,3157660
V1,F3,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,3,124,5093,372,1894596
V1,F4,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V1,F5,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V2,F1,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,2,124,5093,248,1263064
V2,F2,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,5,124,5093,620,3157660
V2,F4,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V2,F5,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V4,F2,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V4,F3,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V4,F4,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V4,F5,2007-11-06,p0019,aca.ser,Acantholippia ,seriphioides ,5,124,5093,620,3157660
V1,F2,2007-11-13,p0019,aca.ser,Acantholippia ,seriphioides ,2,124,5093,248,1263064
V1,F3,2007-11-13,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V2,F1,2007-11-13,p0019,aca.ser,Acantholippia ,seriphioides ,4,124,5093,496,2526128
V2,F2,2007-11-13,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V2,F1,2007-11-20,p0019,aca.ser,Acantholippia ,seriphioides ,6,124,5093,744,3789192
V2,F2,2007-11-20,p0019,aca.ser,Acantholippia ,seriphioides ,2,124,5093,248,1263064
V4,F4,2007-11-20,p0019,aca.ser,Acantholippia ,seriphioides ,5,124,5093,620,3157660
V4,F5,2007-11-20,p0019,aca.ser,Acantholippia ,seriphioides ,1,124,5093,124,631532
V4,7,2007-10-02,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V1,F1,2007-10-23,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V1,F5,2007-10-23,p0020,hof.ere,Hoffmannseggia  ,eremophila ,3,15,393611,45,17712495
V4,F5,2007-10-23,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V1,F1,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,17,15,393611,255,100370805
V1,F2,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,8,15,393611,120,47233320
V1,F3,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,8,15,393611,120,47233320
V1,F4,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,4,15,393611,60,23616660
V1,F5,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,15,15,393611,225,88562475
V2,F3,2007-10-29,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V1,F1,2007-11-06,p0020,hof.ere,Hoffmannseggia  ,eremophila ,4,15,393611,60,23616660
V1,F2,2007-11-06,p0020,hof.ere,Hoffmannseggia  ,eremophila ,5,15,393611,75,29520825
V1,F4,2007-11-06,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V2,F3,2007-11-06,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V1,F1,2007-11-13,p0020,hof.ere,Hoffmannseggia  ,eremophila ,4,15,393611,60,23616660
V1,F2,2007-11-13,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V2,F3,2007-11-20,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,15,393611,15,5904165
V4,F3,2007-10-23,p0021,sch.fas,Schinus,aff. fasciculata ,1,377,40025,377,15089425
V2,F1,2007-10-29,p0021,sch.fas,Schinus,aff. fasciculata ,1,377,40025,377,15089425
V2,F3,2007-10-29,p0021,sch.fas,Schinus,aff. fasciculata ,1,377,40025,377,15089425
V4,F3,2007-10-29,p0021,sch.fas,Schinus,aff. fasciculata ,1,377,40025,377,15089425
V1,F2,2007-11-06,p0021,sch.fas,Schinus,aff. fasciculata ,1,33,40025,33,1320825
V2,F3,2007-11-06,p0021,sch.fas,Schinus,aff. fasciculata ,1,33,40025,33,1320825
V4,F3,2007-11-20,p0023,cle.mon,Clematis ,montevidensis ,1,111,307083,111,34086213
V1,F5,2007-10-19,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,6,20654,60,1239240
V4,F1,2007-10-19,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,6,20654,12,247848
V4,F2,2007-10-19,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,6,20654,12,247848
V4,F5,2007-10-19,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,22,6,20654,132,2726328
V1,F1,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,30,4,20654,120,2478480
V1,F2,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,13,4,20654,52,1074008
V1,F3,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,4,20654,40,826160
V1,F4,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,33,4,20654,132,2726328
V1,F5,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,50,4,20654,200,4130800
V4,F1,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,4,20654,8,165232
V4,F2,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,4,20654,4,82616
V4,F5,2007-10-23,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,27,4,20654,108,2230632
V1,F1,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,40,5,20654,200,4130800
V1,F2,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,25,5,20654,125,2581750
V1,F3,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V1,F4,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,248,5,20654,1240,25610960
V1,F5,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,120,5,20654,600,12392400
V2,F1,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,25,5,20654,125,2581750
V2,F2,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,46,5,20654,230,4750420
V2,F3,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,45,5,20654,225,4647150
V2,F4,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,205,5,20654,1025,21170350
V2,F5,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,21,5,20654,105,2168670
V4,F1,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V4,F4,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V4,F5,2007-10-29,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,33,5,20654,165,3407910
V1,F1,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,31,5,20654,155,3201370
V1,F2,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,9,5,20654,45,929430
V1,F4,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,125,5,20654,625,12908750
V1,F5,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,136,5,20654,680,14044720
V2,F1,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,8,5,20654,40,826160
V2,F2,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,35,5,20654,175,3614450
V2,F3,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,160,5,20654,800,16523200
