sitio,fecha,tra.par,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V4,2011-10-04,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-04,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-04,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-04,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-04,T2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V1,2011-10-11,P1,p0035,lar.nit,Larrea,nitida,4,33,25,60,10,.,.,.,.,.,.,.,.,.,.,.,128,Nydia,
V1,2011-10-11,P2,p0019,aca.ser,Acantholippia ,seriphioides ,3,10,16,30,.,.,.,.,.,.,.,.,.,.,.,.,56,Nydia,
V1,2011-10-11,P2,p0046,arj.lon,Arjona,longifolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,Nydia,
V1,2011-10-11,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Nydia,2 individuos
V1,2011-10-11,P5,p0035,lar.nit,Larrea,nitida,3,50,17,12,.,.,.,.,.,.,.,.,.,.,.,.,79,Nydia,
V1,2011-10-11,P6,p0006,men.dec,Menodora ,decemfida ,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V1,2011-10-11,P6,p0051,mon.aph,Monttea ,aphylla ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-10-11,P6,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-10-11,T1,p0019,aca.ser,Acantholippia ,seriphioides ,2,6,20,.,.,.,.,.,.,.,.,.,.,.,.,.,26,Nydia,
V1,2011-10-11,T1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,2 individuos
V1,2011-10-11,T2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V18,2011-10-11,.,p0045,lar.cun,Larrea,cuneifolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V18,2011-10-11,.,p0036,lec.het,Lecanophora,heterophylla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V18,2011-10-11,.,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V18,2011-10-11,.,p0012,ver.bon,Verbena,bonariensis ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V18,2011-10-11,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-11,P2,p0045,lar.cun,Larrea,cuneifolia,3,15,5,45,.,.,.,.,.,.,.,.,.,.,.,.,65,Diego,
V18,2011-10-11,P2,p0054,sph.min,Sphaeralcea,miniata,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V18,2011-10-11,P2,p0012,ver.bon,Verbena,bonariensis ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,,Diego,
V18,2011-10-11,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-11,P6,p0045,lar.cun,Larrea,cuneifolia,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-10-11,P6,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Diego,
V18,2011-10-11,T1,p0019,aca.ser,Acantholippia ,seriphioides ,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V18,2011-10-11,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-11,.,p0032,con.mic,Condalia,microphylla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela. Mayoria pimpollos
V19,2011-10-11,P1,p0027,bou.spi,Bougainvillea  ,spinosa ,1,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,Diego,
V19,2011-10-11,P1,p0056,phr.pac,Pyrrhocactus,pachacoensis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,pimpollo
V19,2011-10-11,P2,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V19,2011-10-11,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-11,P6,p0019,aca.ser,Acantholippia ,seriphioides ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V19,2011-10-11,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-11,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-11,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V21,2011-10-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,sin flores en parcela
V21,2011-10-11,.,p0094,lob.for,Lobivia,formosa,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V4,2011-10-11,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-11,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-11,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-11,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-11,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-11,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V1,2011-10-18,P1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,3 individuos
V1,2011-10-18,P1,p0035,lar.nit,Larrea,nitida,5,0.8,1,3,1,30,.,.,.,.,.,.,.,.,.,.,35.8,Nydia,
V1,2011-10-18,P1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Nydia,3 individuos
V1,2011-10-18,P2,p0019,aca.ser,Acantholippia ,seriphioides ,2,12,5,.,.,.,.,.,.,.,.,.,.,.,.,.,17,Nydia,
V1,2011-10-18,P2,p0046,arj.lon,Arjona,longifolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nydia,
V1,2011-10-18,P2,p0054,sph.min,Sphaeralcea,miniata,2,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V1,2011-10-18,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,52,Nydia,mas de 10 individuos
V1,2011-10-18,P5,p0035,lar.nit,Larrea,nitida,2,16,6,.,.,.,.,.,.,.,.,.,.,.,.,.,22,Nydia,
V1,2011-10-18,P6,p0006,men.dec,Menodora ,decemfida ,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V1,2011-10-18,T1,p0036,lec.het,Lecanophora,heterophylla,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-10-18,T1,p0051,mon.aph,Monttea ,aphylla ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-10-18,T1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nydia,
V1,2011-10-18,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V18,2011-10-18,P1,p0045,lar.cun,Larrea,cuneifolia,2,10,2,.,.,.,.,.,.,.,.,.,.,.,.,.,12,Diego,
V18,2011-10-18,P2,p0045,lar.cun,Larrea,cuneifolia,1,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,Diego,
V18,2011-10-18,P2,p0127,sol.kur,Solanum,kurtzianum,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2011-10-18,P2,p0012,ver.bon,Verbena,bonariensis ,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-18,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-18,P6,p0019,aca.ser,Acantholippia ,seriphioides ,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego,
V18,2011-10-18,P6,p0045,lar.cun,Larrea,cuneifolia,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2011-10-18,T1,p0045,lar.cun,Larrea,cuneifolia,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-10-18,T2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-18,.,p0032,con.mic,Condalia,microphylla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-18,.,p0009,sen.aph,Senna ,aphylla ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V19,2011-10-18,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-18,P5,p0006,men.dec,Menodora ,decemfida ,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V19,2011-10-18,P5,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Diego,
V19,2011-10-18,P6,p0020,hof.ere,Hoffmannseggia  ,eremophila ,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V19,2011-10-18,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-18,T1,p0006,men.dec,Menodora ,decemfida ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V19,2011-10-18,T1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,40,Diego,
V19,2011-10-18,T2,p0006,men.dec,Menodora ,decemfida ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V19,2011-10-18,T2,p0009,sen.aph,Senna ,aphylla ,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V20,2011-10-18,.,p0035,lar.nit,Larrea,nitida,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V20,2011-10-18,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2011-10-18,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2011-10-18,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2011-10-18,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2011-10-18,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2011-10-18,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V21,2011-10-18,P1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Diego,
V21,2011-10-18,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,"no fui a P2, T2 y P6"
V21,2011-10-18,T1,p0094,lob.for,Lobivia,formosa,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V4,2011-10-18,P1,p0036,lec.het,Lecanophora,heterophylla,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V4,2011-10-18,P1,p0054,sph.min,Sphaeralcea,miniata,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V4,2011-10-18,P1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V4,2011-10-18,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-18,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-18,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-10-18,T1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V4,2011-10-18,T2,p0061,phi.gil,Philibertia,gilliesi,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,enredadera
V1,2011-10-25,P1,p0026,alo.gra,Aloyssia ,gratissima ,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego y Nachu,
V1,2011-10-25,P1,p0034,lar.div,Larrea,divaricata,3,5,15,20,.,.,.,.,.,.,.,.,.,.,.,.,40,Diego y Nachu,
V1,2011-10-25,P1,p0035,lar.nit,Larrea,nitida,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Diego y Nachu,
V1,2011-10-25,P2,p0019,aca.ser,Acantholippia ,seriphioides ,2,18,35,.,.,.,.,.,.,.,.,.,.,.,.,.,53,Diego y Nachu,
V1,2011-10-25,P2,p0046,arj.lon,Arjona,longifolia,2,12,4,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Diego y Nachu,
V1,2011-10-25,P2,p0054,sph.min,Sphaeralcea,miniata,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego y Nachu,
V1,2011-10-25,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,120,120,Diego y Nachu,
V1,2011-10-25,P5,p0034,lar.div,Larrea,divaricata,2,5,1,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Diego y Nachu,
V1,2011-10-25,P5,p0035,lar.nit,Larrea,nitida,2,10,6,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Diego y Nachu,
V1,2011-10-25,P6,p0032,con.mic,Condalia,microphylla,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego y Nachu,mayoria pimpollo
V1,2011-10-25,P6,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Nachu,
V18,2011-10-25,.,p0100,ech.leu,Echinopsis,leucantha,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego ,fuera parcela
V18,2011-10-25,.,p0051,mon.aph,Monttea ,aphylla ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego ,fuera parcela
V18,2011-10-25,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-25,P2,p0034,lar.div,Larrea,divaricata,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,Diego ,
V18,2011-10-25,P2,p0043,tri.can,Trichocereus,candicans,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego ,
V18,2011-10-25,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego ,
V18,2011-10-25,P6,p0034,lar.div,Larrea,divaricata,2,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego ,
V18,2011-10-25,P6,p0054,sph.min,Sphaeralcea,miniata,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego ,
V18,2011-10-25,T1,p0045,lar.cun,Larrea,cuneifolia,1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,Diego ,
V18,2011-10-25,T2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Diego ,
V4,2011-10-25,.,p0043,tri.can,Trichocereus,candicans,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nachu,fuera parcela
V4,2011-10-25,P1,p0032,con.mic,Condalia,microphylla,1,400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,400,Diego y Nachu,
V4,2011-10-25,P2,p0034,lar.div,Larrea,divaricata,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego y Nachu,
V4,2011-10-25,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nachu,
V4,2011-10-25,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nachu,
V1,2011-11-01,P1,p0034,lar.div,Larrea,divaricata,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V1,2011-11-01,P1,p0034,lar.div,Larrea,divaricata,6,3,600,90,26,40,30,.,.,.,.,.,.,.,.,.,789,Nydia,
V1,2011-11-01,P2,p0019,aca.ser,Acantholippia ,seriphioides ,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Nydia,
V1,2011-11-01,P2,p0034,lar.div,Larrea,divaricata,1,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,Nydia,
V1,2011-11-01,P2,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-11-01,P2,p0009,sen.aph,Senna ,aphylla ,5,3,9,4,5,49,.,.,.,.,.,.,.,.,.,.,70,Nydia,
V1,2011-11-01,P2,p0054,sph.min,Thymophylla,pentachaeta var. belenidium,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
V1,2011-11-01,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89,89,Nydia,
V1,2011-11-01,P5,p0034,lar.div,Larrea,divaricata,4,2.5,5,40,34,.,.,.,.,.,.,.,.,.,.,.,81.5,Nydia,
V1,2011-11-01,P6,p0032,con.mic,Condalia,microphylla,1,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,850,Nydia,
V1,2011-11-01,P6,p0006,men.dec,Menodora ,decemfida ,2,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V1,2011-11-01,P6,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,
V1,2011-11-01,P6,p0003,zuc.pun,Zuccagnia ,punctata ,1,225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,225,Nydia,
V1,2011-11-01,T1,p0006,men.dec,Menodora ,decemfida ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V1,2011-11-01,T1,p0051,mon.aph,Monttea ,aphylla ,1,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Nydia,
V1,2011-11-01,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-11-01,P1,p0032,con.mic,Condalia,microphylla,1,3500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3500,Nydia,
V4,2011-11-01,P1,p0003,zuc.pun,Zuccagnia ,punctata ,1,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,Nydia,
V4,2011-11-01,P2,p0032,con.mic,Condalia,microphylla,1,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,300,Nydia,mucho pimpollo
V4,2011-11-01,P2,p0035,lar.nit,Larrea,nitida,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Nydia,
