sitio,fecha,tra.par,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores_ind,flores.herb,flores.tot,observador,comentarios
V19,2009-10-05,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-05,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-05,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-10-05,T1,.,.,.,.,.,.,32,32,Rocío Castro Urgal/Belén Maldonado,.
V4,2009-10-05,T1,.,.,.,.,.,.,37,37,Rocío Castro Urgal/Belén Maldonado,Herb.08 Falta ingresar al catÃ¡logo
V1,2009-10-07,P1,.,.,.,.,.,.,57,57,Rocío Castro Urgal/Belén Maldonado,Falta ingresar al catÃ¡logo
V1,2009-10-07,P6,.,Nada,.,.,.,.,.,.,Rocío Castro Urgal/Belén Maldonado,.
V1,2009-10-07,T1,.,Nada,.,.,.,.,.,.,Rocío Castro Urgal/Belén Maldonado,.
V20,2009-10-07,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,"Carqueja (Baccharis), polinizada por viento"
V20,2009-10-07,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-07,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-07,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-07,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-07,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-07,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-12,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-12,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-12,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-12,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-12,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-12,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-10-12,P2,.,.,.,.,.,.,2,2,Rocío Castro Urgal/Belén Maldonado,.
V4,2009-10-12,T1,.,.,.,.,2,4.5,.,9,Rocío Castro Urgal/Belén Maldonado,.
V4,2009-10-12,T1,.,.,.,.,.,.,9,9,Rocío Castro Urgal/Belén Maldonado,.
V19,2009-10-19,.,.,.,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-19,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-19,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-19,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-19,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-19,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,Con.mic con pimpollos
V21,2009-10-19,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,Berberis grevilleana con pimpollos
V21,2009-10-19,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,Berberis grevilleana con pimpollos
V21,2009-10-19,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-19,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-10-19,T1,.,.,.,.,.,.,13,13,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-10-19,T1,.,.,.,.,3,12,.,36,Belén Maldonado/Rocío Castro Urgal,.
V20,2009-10-26,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,Schinus fasciculatus con pimpollos
V20,2009-10-26,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-10-26,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-26,.,.,.,.,.,.,.,.,.,Diego Vázquez,Fuera de parcelas
V21,2009-10-26,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,Berberis con pimpollos
V21,2009-10-26,P5,.,.,.,.,1,1,.,1,Diego Vázquez,.
V21,2009-10-26,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-26,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-10-26,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-11-02,P1,.,.,.,.,1,1,.,1,Diego Vázquez,.
V20,2009-11-03,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-11-03,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-11-03,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-11-09,P2,.,.,.,.,1,1,.,1,Belén Maldonado/Rocío Castro Urgal,.
V20,2009-11-09,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,Hay Baccharis arbustivo pero no lo considero porque supongo que es anemofilo
V21,2009-11-09,.,.,.,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-11-09,P2,.,.,.,.,1,1,.,1,Diego Vázquez,.
V21,2009-11-09,T2,.,.,.,.,1,2,.,2,Diego Vázquez,.
V19,2009-11-19,T1,.,.,.,.,1,1,.,1,Diego Vázquez,.
V20,2009-11-19,P5,.,.,.,.,1,10,.,10,Diego Vázquez,.
V20,2009-11-19,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-11-19,P1,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V21,2009-11-19,P2,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V21,2009-11-19,P5,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V21,2009-11-19,P6,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V21,2009-11-19,T1,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V21,2009-11-19,T2,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 19/11/09
V19,2009-11-23,.,.,.,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-11-23,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,"Baccharis en flor, no lo cuento"
V20,2009-11-23,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,"Baccharis en flor, no lo cuento"
V21,2009-11-23,T2,.,.,.,.,1,1,.,1,Diego Vázquez,.
V19,2009-12-01,P2,.,.,.,.,5,3,.,15,Diego Vázquez,.
V19,2009-12-01,P5,.,.,.,.,1,1,.,1,Diego Vázquez,.
V19,2009-12-01,P6,.,.,.,.,3,1.33,.,4,Diego Vázquez,.
V20,2009-12-01,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-12-01,P1,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V21,2009-12-01,P2,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V21,2009-12-01,P5,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V21,2009-12-01,P6,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V21,2009-12-01,T1,.,.,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V21,2009-12-01,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,No lo visitÃ© el 1/12/09
V1,2009-12-11,T2,.,Nada,.,.,.,.,.,.,Nydia Vitale,.
V1,2009-12-16,P1,.,Nada,.,.,.,.,.,.,Belén Maldonado/Natacha Chacoff,.
V19,2009-12-16,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-12-16,P6,.,.,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-12-16,T1,.,.,.,.,1,4,.,4,Diego Vázquez,.
V20,2009-12-16,.,.,.,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-12-16,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-12-16,P5,.,.,.,.,6,19.6,.,117.6,Diego Vázquez,.
V20,2009-12-16,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-12-18,P6,.,.,.,.,2,1,.,2,Diego Vázquez,.
V21,2009-12-18,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-10-12,P6,p0011,lyc.chi,Lycium ,chilense ,3,3.67,.,11,Rocío Castro Urgal/Belén Maldonado,.
V18,2009-11-02,P1,p0003,zuc.pun,Zuccagnia ,punctata ,2,25.5,.,51,Diego Vázquez,.
V18,2009-11-02,P6,p0003,zuc.pun,Zuccagnia ,punctata ,1,12.5,.,12.5,Diego Vázquez,.
V18,2009-11-02,T1,p0003,zuc.pun,Zuccagnia ,punctata ,2,2.25,.,4.5,Diego Vázquez,.
V18,2009-11-02,T2,p0003,zuc.pun,Zuccagnia ,punctata ,3,28.67,.,86,Diego Vázquez,.
V4,2009-11-02,P1,p0003,zuc.pun,Zuccagnia ,punctata ,1,25,.,25,Diego Vázquez,.
V1,2009-11-03,P6,p0003,zuc.pun,Zuccagnia ,punctata ,1,32.5,.,32.5,Diego Vázquez,.
V1,2009-11-09,P2,p0003,zuc.pun,Zuccagnia ,punctata ,1,7,.,7,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-09,P6,p0003,zuc.pun,Zuccagnia ,punctata ,4,Ver planilla,.,.,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-09,T2,p0003,zuc.pun,Zuccagnia ,punctata ,1,600,.,600,Natacha Chacoff,.
V18,2009-11-09,P1,p0003,zuc.pun,Zuccagnia ,punctata ,6,166.67,.,1000,Diego Vázquez,.
V18,2009-11-09,P2,p0003,zuc.pun,Zuccagnia ,punctata ,4,21.67,.,86.67,Diego Vázquez,.
V18,2009-11-09,T1,p0003,zuc.pun,Zuccagnia ,punctata ,2,230,.,460,Diego Vázquez,.
V18,2009-11-09,T2,p0003,zuc.pun,Zuccagnia ,punctata ,10,65.23,.,652.27,Diego Vázquez,.
V4,2009-11-09,P1,p0003,zuc.pun,Zuccagnia ,punctata ,2,590,.,1180,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-09,P5,p0003,zuc.pun,Zuccagnia ,punctata ,1,45,.,45,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-09,P6,p0003,zuc.pun,Zuccagnia ,punctata ,2,Ver planilla,.,.,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-18,P2,p0003,zuc.pun,Zuccagnia ,punctata ,5,2583.57,.,12917.86,Rocío Castro Urgal/Nydia Vitale,.
V1,2009-11-18,P6,p0003,zuc.pun,Zuccagnia ,punctata ,6,871.67,.,5230,Natacha Chacoff,.
V1,2009-11-18,T1,p0003,zuc.pun,Zuccagnia ,punctata ,4,272,.,1088,Rocío Castro Urgal/Nydia Vitale,.
V1,2009-11-18,T2,p0003,zuc.pun,Zuccagnia ,punctata ,2,9011,.,18022,Natacha Chacoff,.
V4,2009-11-18,P1,p0003,zuc.pun,Zuccagnia ,punctata ,4,10198.75,.,40795,Rocío Castro Urgal/Nydia Vitale,.
V4,2009-11-18,P5,p0003,zuc.pun,Zuccagnia ,punctata ,6,386.67,.,2320,Natacha Chacoff,.
V4,2009-11-18,P6,p0003,zuc.pun,Zuccagnia ,punctata ,12,634,.,7608,Natacha Chacoff,.
V18,2009-11-19,P2,p0003,zuc.pun,Zuccagnia ,punctata ,9,518.75,.,4668.75,Diego Vázquez,.
V18,2009-11-19,P5,p0003,zuc.pun,Zuccagnia ,punctata ,3,325,.,975,Diego Vázquez,.
V18,2009-11-19,P6,p0003,zuc.pun,Zuccagnia ,punctata ,2,80,.,160,Diego Vázquez,.
V18,2009-11-19,T1,p0003,zuc.pun,Zuccagnia ,punctata ,6,371.67,.,2230,Diego Vázquez,.
V18,2009-11-19,T2,p0003,zuc.pun,Zuccagnia ,punctata ,14,66.5,.,931,Diego Vázquez,.
V1,2009-11-23,P2,p0003,zuc.pun,Zuccagnia ,punctata ,5,120.6,.,603,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-23,T1,p0003,zuc.pun,Zuccagnia ,punctata ,3,154.67,.,464,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-23,T2,p0003,zuc.pun,Zuccagnia ,punctata ,2,117.5,.,235,Belén Maldonado/Rocío Castro Urgal,.
V18,2009-11-23,P1,p0003,zuc.pun,Zuccagnia ,punctata ,5,190,.,950,Diego Vázquez,.
V18,2009-11-23,P2,p0003,zuc.pun,Zuccagnia ,punctata ,11,241.39,.,2655.28,Diego Vázquez,.
V18,2009-11-23,P5,p0003,zuc.pun,Zuccagnia ,punctata ,5,306,.,1530,Diego Vázquez,.
V18,2009-11-23,P6,p0003,zuc.pun,Zuccagnia ,punctata ,3,55.83,.,167.5,Diego Vázquez,.
V18,2009-11-23,T1,p0003,zuc.pun,Zuccagnia ,punctata ,7,441.67,.,3091.67,Diego Vázquez,.
V18,2009-11-23,T2,p0003,zuc.pun,Zuccagnia ,punctata ,14,58.33,.,816.67,Diego Vázquez,.
V4,2009-11-23,P1,p0003,zuc.pun,Zuccagnia ,punctata ,1,972,.,972,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-23,P5,p0003,zuc.pun,Zuccagnia ,punctata ,3,360,.,1080,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-23,P6,p0003,zuc.pun,Zuccagnia ,punctata ,9,270,.,2430,Belén Maldonado/Nydia Vitale,.
V4,2009-11-23,P6,p0003,zuc.pun,Zuccagnia ,punctata ,6,53.5,.,321,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-30,P2,p0003,zuc.pun,Zuccagnia ,punctata ,3,30.33,.,91,Rocío Castro Urgal/Nydia Vitale,.
V1,2009-11-30,P6,p0003,zuc.pun,Zuccagnia ,punctata ,6,19.5,.,117,Natacha Chacoff,.
V1,2009-11-30,T1,p0003,zuc.pun,Zuccagnia ,punctata ,2,11,.,22,Natacha Chacoff,.
V1,2009-11-30,T2,p0003,zuc.pun,Zuccagnia ,punctata ,2,22,.,44,Natacha Chacoff,.
V4,2009-11-30,P1,p0003,zuc.pun,Zuccagnia ,punctata ,2,25,.,50,Belén Maldonado,.
V4,2009-11-30,P5,p0003,zuc.pun,Zuccagnia ,punctata ,4,96.75,.,387,Natacha Chacoff,.
V4,2009-11-30,P6,p0003,zuc.pun,Zuccagnia ,punctata ,9,196.11,.,1765,Natacha Chacoff,.
V18,2009-12-01,P1,p0003,zuc.pun,Zuccagnia ,punctata ,1,300,.,300,Diego Vázquez,.
V18,2009-12-01,P2,p0003,zuc.pun,Zuccagnia ,punctata ,1,40,.,40,Diego Vázquez,.
V18,2009-12-01,P6,p0003,zuc.pun,Zuccagnia ,punctata ,3,58.33,.,175,Diego Vázquez,.
V18,2009-12-01,T1,p0003,zuc.pun,Zuccagnia ,punctata ,5,27.19,.,135.94,Diego Vázquez,.
V18,2009-12-01,T2,p0003,zuc.pun,Zuccagnia ,punctata ,4,20,.,80,Diego Vázquez,.
V4,2009-12-11,P6,p0003,zuc.pun,Zuccagnia ,punctata ,2,12.5,.,25,Nydia Vitale,.
V4,2009-12-11,T2,p0003,zuc.pun,Zuccagnia ,punctata ,1,3,.,3,Nydia Vitale,.
V1,2009-12-16,P6,p0003,zuc.pun,Zuccagnia ,punctata ,1,7,.,7,Belén Maldonado/Natacha Chacoff,.
V4,2009-11-18,P6,p0004,hel.don,Helenium ,donianum,1,2,.,2,Natacha Chacoff,.
V21,2009-12-18,P2,p0004,hel.don,Helenium ,donianum ,1,1,.,1,Diego Vázquez,.
V1,2009-10-19,T2,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Belén Maldonado/Rocío Castro Urgal,.
V18,2009-10-19,P5,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Diego Vázquez,.
V1,2009-10-26,P2,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-10-26,P6,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Belén Maldonado/Rocío Castro Urgal,.
V18,2009-10-26,P5,p0006,men.dec,Menodora ,decemfida ,1,3,.,3,Diego Vázquez,.
V18,2009-10-26,T2,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Diego Vázquez,.
V19,2009-10-26,P5,p0006,men.dec,Menodora ,decemfida ,2,1,.,2,Diego Vázquez,.
V4,2009-10-26,P5,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Belén Maldonado/Rocío Castro Urgal,.
V18,2009-11-02,T1,p0006,men.dec,Menodora ,decemfida ,3,3.33,.,10,Diego Vázquez,.
V4,2009-11-02,P5,p0006,men.dec,Menodora ,decemfida ,4,2,.,8,Diego Vázquez,.
V4,2009-11-02,P6,p0006,men.dec,Menodora ,decemfida ,10,2.7,.,27,Diego Vázquez,.
V4,2009-11-02,T2,p0006,men.dec,Menodora ,decemfida ,4,1,.,4,Diego Vázquez,.
V1,2009-11-03,P2,p0006,men.dec,Menodora ,decemfida ,7,1.86,.,13,Diego Vázquez,.
V1,2009-11-03,P6,p0006,men.dec,Menodora ,decemfida ,1,3,.,3,Diego Vázquez,.
V1,2009-11-03,T2,p0006,men.dec,Menodora ,decemfida ,1,4,.,4,Diego Vázquez,.
V19,2009-11-03,P2,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Diego Vázquez,.
V19,2009-11-03,P5,p0006,men.dec,Menodora ,decemfida ,5,1,.,5,Diego Vázquez,.
V19,2009-11-03,P6,p0006,men.dec,Menodora ,decemfida ,1,2,.,2,Diego Vázquez,.
V19,2009-11-03,T1,p0006,men.dec,Menodora ,decemfida ,1,1,.,1,Diego Vázquez,.
V1,2009-11-09,P2,p0006,men.dec,Menodora ,decemfida ,12,2.57,.,30.86,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-09,P6,p0006,men.dec,Menodora ,decemfida ,6,1.5,.,9,Belén Maldonado/Rocío Castro Urgal,.
V1,2009-11-09,T1,p0006,men.dec,Menodora ,decemfida ,7,2,.,14,Natacha Chacoff,.
V1,2009-11-09,T2,p0006,men.dec,Menodora ,decemfida ,2,1,.,2,Natacha Chacoff,.
V18,2009-11-09,T1,p0006,men.dec,Menodora ,decemfida ,2,2,.,4,Diego Vázquez,.
V19,2009-11-09,P2,p0006,men.dec,Menodora ,decemfida ,8,2.75,.,22,Diego Vázquez,.
V19,2009-11-09,P5,p0006,men.dec,Menodora ,decemfida ,21,1.78,.,37.33,Diego Vázquez,.
V19,2009-11-09,P6,p0006,men.dec,Menodora ,decemfida ,7,4.86,.,34,Diego Vázquez,.
V19,2009-11-09,T1,p0006,men.dec,Menodora ,decemfida ,2,1,.,2,Diego Vázquez,.
V4,2009-11-09,P2,p0006,men.dec,Menodora ,decemfida ,1,2,.,2,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-09,P5,p0006,men.dec,Menodora ,decemfida ,5,2.4,.,12,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-09,P6,p0006,men.dec,Menodora ,decemfida ,24,3.73,.,89.45,Belén Maldonado/Rocío Castro Urgal,.
V4,2009-11-09,T1,p0006,men.dec,Menodora ,decemfida ,9,2,.,18,Natacha Chacoff,.
V4,2009-11-09,T2,p0006,men.dec,Menodora ,decemfida ,13,1.33,.,17.33,Natacha Chacoff,.
V1,2009-11-18,P2,p0006,men.dec,Menodora ,decemfida ,4,1.5,.,6,Rocío Castro Urgal/Nydia Vitale,.
V1,2009-11-18,P6,p0006,men.dec,Menodora ,decemfida ,21,3,.,63,Natacha Chacoff,.
