Genero.especie,Nombre_aceptado_GBIF,Nombre_aceptado_rWCVP,Nombre_aceptado_WFO,Comparacion_tres_fuentes,Detalle_comparacion
Achyranthes.bidentata,Achyranthes bidentata,Achyranthes bidentata,Achyranthes bidentata,Coinciden,Coinciden las tres fuentes
Achyrocline.satureoides,,Achyrocline saturejoides,Achyrocline satureioides,Revisar,Falta resultado en una o más fuentes
Aciphylla.glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Coinciden,Coinciden las tres fuentes
Aciphylla.scott-thompsoni,,Aciphylla scott-thomsonii,Aciphylla scott-thomsonii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Aciphylla.simplicifolia,Aciphylla simplicifolia,Aciphylla simplicifolia,Aciphylla simplicifolia,Coinciden,Coinciden las tres fuentes
Aciphylla.subflavellata,,Aciphylla subflabellata,Aciphylla subflabellata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Aconitum.japonicum,Aconitum japonicum,Aconitum japonicum,Aconitum japonicum,Coinciden,Coinciden las tres fuentes
Aconitum.senanense,Aconitum senanense,Aconitum senanense,Aconitum senanense,Coinciden,Coinciden las tres fuentes
Aconitum.columbianum,Aconitum columbianum,Aconitum columbianum,Aconitum columbianum,Coinciden,Coinciden las tres fuentes
Aconitum.japonicum.montanum,Aconitum japonicum subsp. japonicum,Aconitum japonicum subsp. japonicum,Aconitum japonicum,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Actea.alba,,Actaea rubra,Actaea rubra,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Actinidia.arguta,Actinidia arguta,Actinidia arguta,Actinidia arguta,Coinciden,Coinciden las tres fuentes
Actinidia.rufa,Actinidia rufa,Actinidia rufa,Actinidia rufa,Coinciden,Coinciden las tres fuentes
Actinomeris.alternifolia,Verbesina alternifolia,Verbesina alternifolia,Verbesina alternifolia,Coinciden,Coinciden las tres fuentes
Adenocarpus.foliosus,,Adenocarpus complicatus subsp. aureus,Adenocarpus foliolosus,Revisar,Falta resultado en una o más fuentes
Adenocarpus.viscosus,Adenocarpus viscosus,Adenocarpus viscosus,Adenocarpus viscosus,Coinciden,Coinciden las tres fuentes
Adenocaulon.himalaicum,Adenocaulon himalaicum,Adenocaulon himalaicum,Adenocaulon himalaicum,Coinciden,Coinciden las tres fuentes
Adenophora.triphylla,Adenophora triphylla,Adenophora triphylla,Adenophora triphylla,Coinciden,Coinciden las tres fuentes
Adesmia.glomerula,Adesmia glomerula,Adesmia glomerula,Adesmia glomerula,Coinciden,Coinciden las tres fuentes
Adesmia.aconcaguensis,Adesmia aconcaguensis,Adesmia aconcaguensis,Adesmia aconcaguensis,Coinciden,Coinciden las tres fuentes
Adesmia.brachysemon,,Adesmia brachysemeon,Adesmia brachysemeon,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Adesmia.conferta,Adesmia conferta,Adesmia conferta,Adesmia conferta,Coinciden,Coinciden las tres fuentes
Adesmia.exilis,Adesmia exilis,Adesmia exilis,Adesmia exilis,Coinciden,Coinciden las tres fuentes
Adesmia.radicifolia,Adesmia papposa var. radicifolia,Adesmia papposa var. radicifolia,Adesmia papposa var. radicifolia,Coinciden,Coinciden las tres fuentes
Adesmia.montana,Adesmia montana,Adesmia montana,Adesmia montana,Coinciden,Coinciden las tres fuentes
Adesmia.incana,Adesmia incana,Adesmia incana,Adesmia incana,Coinciden,Coinciden las tres fuentes
Adesmia.haemisphaerica,,Adesmia hemisphaerica,Adesmia hemisphaerica,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Adesmia.capitellata,Adesmia capitellata,Adesmia capitellata,Adesmia capitellata,Coinciden,Coinciden las tres fuentes
Adesmia.retrofracta,Adesmia retrofracta,Adesmia retrofracta,Adesmia retrofracta,Coinciden,Coinciden las tres fuentes
Aechmea.paniculigera,Aechmea paniculigera,,Aechmea paniculigera,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Aechmea.bromeliifolia,Aechmea bromeliifolia,Aechmea bromeliifolia,Aechmea bromeliifolia,Coinciden,Coinciden las tres fuentes
Aechmea.lingulata,Wittmackia lingulata,Wittmackia lingulata,Wittmackia lingulata,Coinciden,Coinciden las tres fuentes
Aechmea.cylindrata,Aechmea cylindrata,Aechmea cylindrata,Aechmea cylindrata,Coinciden,Coinciden las tres fuentes
Aechmea.mutica,Aechmea mutica,Aechmea mutica,Aechmea mutica,Coinciden,Coinciden las tres fuentes
Aechmea.nudicaulis,Aechmea nudicaulis,Aechmea nudicaulis,Aechmea nudicaulis,Coinciden,Coinciden las tres fuentes
Aechmea.pineliana,Aechmea pineliana,Aechmea pineliana,Aechmea pineliana,Coinciden,Coinciden las tres fuentes
Aechmea.araneosa,Aechmea araneosa,Aechmea araneosa,Aechmea araneosa,Coinciden,Coinciden las tres fuentes
Aechmea.triangularis,Aechmea triangularis,Aechmea triangularis,Aechmea triangularis,Coinciden,Coinciden las tres fuentes
Aechmea.victoriana,Aechmea victoriana,Aechmea victoriana,Aechmea victoriana,Coinciden,Coinciden las tres fuentes
Aeginetia.indica,Aeginetia indica,Aeginetia indica,Aeginetia indica,Coinciden,Coinciden las tres fuentes
Aegopodium.podagraria,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,Coinciden,Coinciden las tres fuentes
Aeschynomene.pratensis,Aeschynomene pratensis,Aeschynomene pratensis,Aeschynomene pratensis,Coinciden,Coinciden las tres fuentes
Aeschynomene.indica,Aeschynomene indica,,Aeschynomene indica,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Aesculus.hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,Coinciden,Coinciden las tres fuentes
Aesculus.glabra,Aesculus glabra,Aesculus glabra,Aesculus glabra,Coinciden,Coinciden las tres fuentes
Aesculus.sylvatica,Aesculus sylvatica,Aesculus sylvatica,Aesculus sylvatica,Coinciden,Coinciden las tres fuentes
Aesculus.turbinata,Aesculus turbinata,Aesculus turbinata,Aesculus turbinata,Coinciden,Coinciden las tres fuentes
Aesculus.camea,,,,Revisar,Sin resultados en las tres fuentes
Aetheorrina.bulbosa,,Sonchus bulbosus,Sonchus bulbosus,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Aethusa.cynapium,Aethusa cynapium,Aethusa cynapium,Aethusa cynapium,Coinciden,Coinciden las tres fuentes
Agastache.scrophulariaefolia,,Agastache scrophulariifolia,Agastache scrophulariifolia,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Agastache.nepetoides,Agastache nepetoides,Agastache nepetoides,Agastache nepetoides,Coinciden,Coinciden las tres fuentes
Agauria.salicifolia,Agarista salicifolia,Agarista salicifolia,Agarista salicifolia,Coinciden,Coinciden las tres fuentes
Ageratum.houstonianum,Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,Coinciden,Coinciden las tres fuentes
Ageratum.conyzoides,Ageratum conyzoides,,Ageratum conyzoides,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Ageretina.adenophora,,Ageratina adenophora,Ageratina adenophora,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Agrimonia.striata,Agrimonia striata,,Agrimonia striata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Agrimonia.eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Coinciden,Coinciden las tres fuentes
Agrimonia.pilosa,Agrimonia pilosa,,Agrimonia pilosa,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Agrostis.clavata,Agrostis clavata,Agrostis clavata,Agrostis clavata,Coinciden,Coinciden las tres fuentes
Aichryson.laxum,Aichryson laxum,Aichryson laxum,Aichryson laxum,Coinciden,Coinciden las tres fuentes
Ainsliaea.acerifolia,Ainsliaea acerifolia,Ainsliaea acerifolia,Ainsliaea acerifolia,Coinciden,Coinciden las tres fuentes
Ajuga.reptans,Ajuga reptans,Ajuga reptans,Ajuga reptans,Coinciden,Coinciden las tres fuentes
Ajuga.dictyocarpa,Ajuga dictyocarpa,Ajuga dictyocarpa,Ajuga dictyocarpa,Coinciden,Coinciden las tres fuentes
Akebia.quinata,Akebia quinata,Akebia quinata,Akebia quinata,Coinciden,Coinciden las tres fuentes
Alangium.platanifolium,Alangium platanifolium,Alangium platanifolium,Alangium platanifolium,Coinciden,Coinciden las tres fuentes
Albizzia.julibrissin,Albizia julibrissin,Albizia julibrissin,Albizia julibrissin,Coinciden,Coinciden las tres fuentes
Alcea.pallida,Alcea pallida,Alcea biennis,Alcea biennis,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Aletris.luteoviridis,Metanarthecium luteoviride,Metanarthecium luteoviride,Metanarthecium luteoviride,Coinciden,Coinciden las tres fuentes
Alisma.canaliculatum,Alisma canaliculatum,Alisma canaliculatum,Alisma canaliculatum,Coinciden,Coinciden las tres fuentes
Alisma.plantago.aquatica,,Alisma plantago-aquatica,Alisma plantago-aquatica,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Alium.grayi,,Allium macrostemon,Allium macrostemon,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Alkanna.tinctoria,Alkanna tinctoria,,Alkanna tinctoria,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Allium.subhirsutum,Allium subhirsutum,,Allium subhirsutum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Allium.neapolitanum,Allium neapolitanum,Allium neapolitanum,Allium neapolitanum,Coinciden,Coinciden las tres fuentes
Allium.recurvatum,Allium cernuum,Allium cernuum,Allium cernuum,Coinciden,Coinciden las tres fuentes
Allium.thunbergii,Allium thunbergii,Allium thunbergii,Allium thunbergii,Coinciden,Coinciden las tres fuentes
Allium.ampeloprasum,Allium ampeloprasum,,Allium ampeloprasum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Allium.scorodoprasum,Allium scorodoprasum,Allium scorodoprasum,Allium scorodoprasum,Coinciden,Coinciden las tres fuentes
Alocasia.odora,Alocasia odora,Alocasia odora,Alocasia odora,Coinciden,Coinciden las tres fuentes
Alophia.lahue,Herbertia lahue,Herbertia lahue,Herbertia lahue,Coinciden,Coinciden las tres fuentes
Alpinia.intermedia,Alpinia intermedia,Alpinia intermedia,Alpinia intermedia,Coinciden,Coinciden las tres fuentes
Alpinia.formosana,Alpinia formosana,Alpinia formosana,Alpinia formosana,Coinciden,Coinciden las tres fuentes
Alpinia.sp1.M.PL.044,,,,Revisar,Sin resultados en las tres fuentes
Alstonia.macrophylla,Alstonia macrophylla,Alstonia macrophylla,Alstonia macrophylla,Coinciden,Coinciden las tres fuentes
Alstroemeria.aurea,Alstroemeria aurea,,Alstroemeria aurea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Alstromemeria.pallida,,Alstroemeria pallida,Alstroemeria pallida,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Alternanthera.ficoidea,Alternanthera ficoidea,,Alternanthera ficoidea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Alyssum.maritimum,Lobularia maritima,Lobularia maritima,Lobularia maritima subsp. maritima,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Amaranthus.spinosus,Amaranthus spinosus,Amaranthus spinosus,Amaranthus spinosus,Coinciden,Coinciden las tres fuentes
Ambrosia.trifida,Ambrosia trifida,Ambrosia trifida,Ambrosia trifida,Coinciden,Coinciden las tres fuentes
Amelanchier.canadensis,Amelanchier canadensis,,Amelanchier canadensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Ammannia.coccinea,Ammannia coccinea,,Ammannia coccinea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Amomyrtus.luma,Amomyrtus luma,Amomyrtus luma,Amomyrtus luma,Coinciden,Coinciden las tres fuentes
Amomyrtus.meli,Amomyrtus meli,Amomyrtus meli,Amomyrtus meli,Coinciden,Coinciden las tres fuentes
Amorpha.fruticosa,Amorpha fruticosa,,Amorpha fruticosa,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Amorpha.canescens,Amorpha canescens,Amorpha canescens,Amorpha canescens,Coinciden,Coinciden las tres fuentes
Ampelopsis.brevipedunculata,Ampelopsis brevipedunculata,Ampelopsis glandulosa var. brevipedunculata,Ampelopsis glandulosa var. brevipedunculata,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Amphicarpa.pitcheri,,Amphicarpaea bracteata,Amphicarpaea bracteata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Amphicarpaea.bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Coinciden,Coinciden las tres fuentes
Anacyclus.radiatus,Anacyclus radiatus,Anacyclus radiatus,Porophyllum ruderale subsp. macrocephalum,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Anagallis.alternifolia,Lysimachia lanceola,Lysimachia amoena,Lysimachia amoena,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Anagallis.arvensis,Lysimachia arvensis subsp. arvensis,Lysimachia arvensis,Lysimachia arvensis,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Anaphalis.margaritacea,Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis margaritacea,Coinciden,Coinciden las tres fuentes
Anarthrophyllum.gayanum,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Coinciden,Coinciden las tres fuentes
Anarthrophyllum.cumingii,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Coinciden,Coinciden las tres fuentes
Anchusa.variegata,Anchusella variegata,Anchusa variegata,Anchusa variegata,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Anchusa.undulata,Anchusa undulata,,Anchusa undulata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Andromeda.glaucophylla,Andromeda polifolia var. latifolia,Andromeda polifolia var. latifolia,Andromeda polifolia,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Andryala.pinnatifida,Andryala pinnatifida,Andryala pinnatifida,Andryala pinnatifida,Coinciden,Coinciden las tres fuentes
Anemone.flaccida,Anemonastrum flaccidum,Anemonastrum flaccidum,Anemonastrum flaccidum,Coinciden,Coinciden las tres fuentes
Anemone.coronaria,Anemone coronaria,Anemone coronaria,Anemone coronaria,Coinciden,Coinciden las tres fuentes
Anemone.pavonina,Anemone pavonina,Anemone hortensis subsp. pavonina,Anemone hortensis,Revisar,Los tres nombres aceptados son diferentes
Anemonella.thalictroides,Thalictrum thalictroides,Anemonella thalictroides,Anemonella thalictroides,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Anethum.graveolens,Anethum graveolens,,Anethum graveolens,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Angelica.longeradiata,Angelica longeradiata,Angelica longeradiata,Angelica longeradiata,Coinciden,Coinciden las tres fuentes
Angelica.sylvestris,Angelica sylvestris,Angelica sylvestris,Angelica sylvestris,Coinciden,Coinciden las tres fuentes
Angelica.pubescens,Angelica pubescens,Angelica pubescens,Angelica pubescens,Coinciden,Coinciden las tres fuentes
Angelica.archangelica,Angelica archangelica,Angelica archangelica,Angelica archangelica,Coinciden,Coinciden las tres fuentes
Angelica.polymorpha,Angelica polymorpha,Angelica polymorpha,Angelica polymorpha,Coinciden,Coinciden las tres fuentes
Angelica.cartilagino-marginata,Angelica cartilaginomarginata,Angelica cartilaginomarginata,Angelica cartilaginomarginata,Coinciden,Coinciden las tres fuentes
Anisotome.flexuosus,Anisotome flexuosa,Anisotome flexuosa,Anisotome flexuosa,Coinciden,Coinciden las tres fuentes
Anisotome.aromatica,Anisotome aromatica,Anisotome aromatica,Anisotome aromatica,Coinciden,Coinciden las tres fuentes
Antennaria.plantaginifolia,Antennaria plantaginifolia,Antennaria plantaginifolia,Antennaria plantaginifolia,Coinciden,Coinciden las tres fuentes
Antennaria.alpina,Antennaria alpina,Antennaria alpina,Antennaria alpina,Coinciden,Coinciden las tres fuentes
Antenoron.filiforme,Persicaria filiformis,Persicaria filiformis,,Revisar,Coinciden GBIF y rWCVP; WFO sin resultado
Anthemis.cotula,Anthemis cotula,,Anthemis cotula,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Anthriscus.sylvestris,Anthriscus sylvestris,Anthriscus sylvestris,Anthriscus sylvestris,Coinciden,Coinciden las tres fuentes
Anthyllis.hermanniae,Anthyllis hermanniae,Anthyllis hermanniae,Anthyllis hermanniae,Coinciden,Coinciden las tres fuentes
Antidesma.joponicum,,Antidesma japonicum,Antidesma japonicum,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Antidesma.madagascariense,Antidesma madagascariense,Antidesma madagascariense,Antidesma madagascariense,Coinciden,Coinciden las tres fuentes
Antirhea.borbonica,Antirhea borbonica,Antirhea borbonica,Antirhea borbonica,Coinciden,Coinciden las tres fuentes
Aphloia.theiformis,Aphloia theiformis,Aphloia theiformis,Aphloia theiformis,Coinciden,Coinciden las tres fuentes
Apios.tuberosa,Apios americana,Apios americana,Apios americana,Coinciden,Coinciden las tres fuentes
Apocynum.androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Coinciden,Coinciden las tres fuentes
Apocynum.cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,Coinciden,Coinciden las tres fuentes
Apodanthera.sagitifolia,Apodanthera sagittifolia,Apodanthera sagittifolia,Apodanthera sagittifolia,Coinciden,Coinciden las tres fuentes
Appolonias.barbujana,,Persea barbujana,Persea barbujana,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Aquilegia.canadensis,Aquilegia canadensis,,Aquilegia canadensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Aquilegia.buergeriana,Aquilegia buergeriana,Aquilegia buergeriana,Aquilegia buergeriana,Coinciden,Coinciden las tres fuentes
Aquilegia.coerulea,Aquilegia coerulea,Aquilegia coerulea,Aquilegia coerulea,Coinciden,Coinciden las tres fuentes
Aquilegia.brevistyla,Aquilegia brevistyla,Aquilegia brevistyla,Aquilegia brevistyla,Coinciden,Coinciden las tres fuentes
Arabis.dentata,,,Borodinia dentata,Revisar,Falta resultado en una o más fuentes
Arabis.alpina,Arabis alpina,,Arabis alpina,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Arabis.lyrata.kamtschatica,Arabidopsis lyrata subsp. kamchatica,Arabidopsis lyrata subsp. kamchatica,Arabidopsis lyrata subsp. lyrata,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Arabis.laevigata,Arabis laevigata,,Borodinia laevigata,Revisar,Falta resultado en una o más fuentes
Arabis.virginica,Arabis virginica,Planodes virginicum,Planodes virginicum,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Arabis.glabra,Turritis glabra,Turritis glabra,Turritis glabra,Coinciden,Coinciden las tres fuentes
Arabis.hirsuta,Arabis hirsuta,,Arabis hirsuta,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Aragalus.lamberti,,Oxytropis lambertii,Oxytropis lambertii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Aralia.nudicaulis,Aralia nudicaulis,,Aralia nudicaulis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Aralia.cordata,Aralia cordata,Aralia cordata,Aralia cordata,Coinciden,Coinciden las tres fuentes
Aralta.elata,,Aralia elata,Aralia elata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Arctium.minus,Arctium minus,Arctium minus,Arctium minus,Coinciden,Coinciden las tres fuentes
Arctostaphylus.uva-ursi,,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Ardisia.pusilla,Ardisia pusilla,Ardisia pusilla,Ardisia pusilla,Coinciden,Coinciden las tres fuentes
Ardisia.sieboldii,Ardisia sieboldii,Ardisia sieboldii,Ardisia sieboldii,Coinciden,Coinciden las tres fuentes
Ardisia.quinquegona,Ardisia quinquegona,Ardisia quinquegona,Ardisia quinquegona,Coinciden,Coinciden las tres fuentes
Arenaria.pseudofrigida,Arenaria pseudofrigida,Arenaria pseudofrigida,Arenaria pseudofrigida,Coinciden,Coinciden las tres fuentes
Argusia.argentea,Heliotropium velutinum,Heliotropium arboreum,Heliotropium arboreum,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Argyranthemum.broussonetti,Argyranthemum broussonetii,Argyranthemum broussonetii,Argyranthemum broussonetii,Coinciden,Coinciden las tres fuentes
Argyranthemum.frutescens,Argyranthemum frutescens,Argyranthemum frutescens,Argyranthemum frutescens,Coinciden,Coinciden las tres fuentes
Argyranthemum.teneriffae,Argyranthemum tenerifae,Argyranthemum tenerifae,Argyranthemum tenerifae,Coinciden,Coinciden las tres fuentes
Argythamnia.candicans,Argythamnia candicans,Argythamnia candicans,Argythamnia candicans,Coinciden,Coinciden las tres fuentes
Arisaema.triphyllum,Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,Coinciden,Coinciden las tres fuentes
Arisaema.japonicum,Arisaema japonicum,Arisaema japonicum,Arisaema japonicum,Coinciden,Coinciden las tres fuentes
Arisarum.vulgare,Arisarum vulgare,Arisarum vulgare,Arisarum vulgare,Coinciden,Coinciden las tres fuentes
Aristolochia.tomentosa,Isotrema tomentosum,Aristolochia tomentosa,Aristolochia tomentosa,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Aristotelia.chilensis,Aristotelia chilensis,Aristotelia chilensis,Aristotelia chilensis,Coinciden,Coinciden las tres fuentes
Arjona.patagonica,Arjona patagonica,Arjona patagonica,Arjona patagonica,Coinciden,Coinciden las tres fuentes
Arjona.tuberosa,Arjona tuberosa,Arjona tuberosa,Arjona tuberosa,Coinciden,Coinciden las tres fuentes
Armeria.scabra,Armeria scabra,,Armeria curvifolia,Revisar,Falta resultado en una o más fuentes
Armeria.velutina,Armeria velutina,Armeria velutina,Armeria velutina,Coinciden,Coinciden las tres fuentes
Arnica.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Arnica.angustifolia,Arnica angustifolia,,Arnica angustifolia,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Arnica.alpina,,,Arnica montana,Revisar,Falta resultado en una o más fuentes
Aronia.melanocarpa,Aronia melanocarpa,Aronia melanocarpa,Aronia melanocarpa,Coinciden,Coinciden las tres fuentes
Aruncus.dioicus,Aruncus dioicus,Aruncus dioicus,Aruncus dioicus,Coinciden,Coinciden las tres fuentes
Aruncus.sylvester,Aruncus sylvester,Aruncus sylvester,Aruncus sylvester,Coinciden,Coinciden las tres fuentes
Ascerates.floridana,,Asclepias longifolia,Asclepias longifolia,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Ascerates.viridiflora,,Asclepias viridiflora,Asclepias viridiflora,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Asclepias.speciosa,Asclepias speciosa,Asclepias speciosa,Asclepias speciosa,Coinciden,Coinciden las tres fuentes
Asclepias.syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,Coinciden,Coinciden las tres fuentes
Asclepias.woodii,Asclepias woodii,Asclepias woodii,Asclepias woodii,Coinciden,Coinciden las tres fuentes
Asclepias.sullivantii,Asclepias sullivantii,,Asclepias sullivantii,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Asclepias.incarnata,Asclepias incarnata,Asclepias incarnata,Asclepias incarnata,Coinciden,Coinciden las tres fuentes
Asclepias.verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,Coinciden,Coinciden las tres fuentes
Asclepias.cucullata,Asclepias cucullata,Asclepias cucullata,Asclepias cucullata,Coinciden,Coinciden las tres fuentes
Asclepias.purpurascens,Asclepias purpurascens,,Asclepias purpurascens,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Asclepias.halli,Asclepias hallii,Asclepias hallii,Asclepias hallii,Coinciden,Coinciden las tres fuentes
Asclepias.tuberosa,Asclepias tuberosa,Asclepias tuberosa,Asclepias tuberosa,Coinciden,Coinciden las tres fuentes
Ascleptas.curassavica,,,Asclepias curassavica,Revisar,Falta resultado en una o más fuentes
Asiminia.triloba,,Asimina triloba,Asimina triloba,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Asparagus.officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,Coinciden,Coinciden las tres fuentes
Asparagus.aphyllus,Asparagus aphyllus,Asparagus aphyllus,Asparagus aphyllus,Coinciden,Coinciden las tres fuentes
Asparagus.acutifolius,Asparagus acutifolius,Asparagus acutifolius,Asparagus acutifolius,Coinciden,Coinciden las tres fuentes
Asparagus.schoberioides,Asparagus schoberioides,Asparagus schoberioides,Asparagus schoberioides,Coinciden,Coinciden las tres fuentes
Asperula.gunnii,Asperula gunnii,Asperula gunnii,Asperula gunnii,Coinciden,Coinciden las tres fuentes
Asphodelus.aestivus,Asphodelus aestivus,Asphodelus aestivus,Asphodelus aestivus,Coinciden,Coinciden las tres fuentes
