"ID","Abeja","especies","genero","Familia","DIT"
"M_002","Megachile.sp2_002","Megachile.sp2","Megachile","Megachilidae",3.2
"M_002","Megachile.sp4_002","Megachile.sp4","Megachile","Megachilidae",3.2
"M_002","Centris.nigerrima_002","Centris.nigerrima","Centris","Apidae",4.836
"M_002","Colletes.sp_002","Colletes.sp","Colletes","Colletidae",2.9
"M_002","Megachile.sp5_002","Megachile.sp5","Megachile","Megachilidae",3.2
"M_003","Anthidium.sp_003","Anthidium.sp","Anthidium","Megachilidae",3.34
"M_003","Bombus.dahlbomii_003","Bombus.dahlbomii","Bombus","Apidae",6.01
"M_003","Megachile.sp5_003","Megachile.sp5","Megachile","Megachilidae",3.2
"M_004","Dialictus.sp1_004","Dialictus.sp1","Dialictus","Halictidae",1.2
"M_004","Halictus.confusus_004","Halictus.confusus","Halictus","Halictidae",1.41
"M_004","Hoplitis.producta_004","Hoplitis.producta","Hoplitis","Megachilidae",1.56
"M_004","Hylaeus.basalis_004","Hylaeus.basalis","Hylaeus","Colletidae",1.85
"M_004","Osmia.lignaria_004","Osmia.lignaria","Osmia","Megachilidae",2.9
"M_004","Halictus.rubicundus_004","Halictus.rubicundus","Halictus","Halictidae",2.21
"M_004","Osmia.proxima_004","Osmia.proxima","Osmia","Megachilidae",2.16
"M_004","Osmia.pumila_004","Osmia.pumila","Osmia","Megachilidae",1.9
"M_004","Andrena.melanochroa_004","Andrena.melanochroa","Andrena","Andrenidae",1.7
"M_004","Andrena.miranda_004","Andrena.miranda","Andrena","Andrenidae",1.9
"M_004","Andrena.nivalis_004","Andrena.nivalis","Andrena","Andrenidae",2.69
"M_004","Andrena.w.scripta_004","Andrena.w.scripta","Andrena","Andrenidae",1.74
"M_004","Andrena.wilkella_004","Andrena.wilkella","Andrena","Andrenidae",2.34
"M_004","Bombus.vagans_004","Bombus.vagans","Bombus","Apidae",3.56
"M_005","Megachile.gemula albula_005","Megachile.gemula.albula","Megachile","Megachilidae",3.62
"M_005","Apis.mellifera_005","Apis.mellifera","Apis","Apidae",2.9
"M_005","Bombus.bifarius_005","Bombus.bifarius","Bombus","Apidae",2.89
"M_005","Osmia.bruneri_005","Osmia.bruneri","Osmia","Megachilidae",2.1
"M_005","Bombus.centralis_005","Bombus.centralis","Bombus","Apidae",3.06
"M_005","Andrena.crataegi_005","Andrena.crataegi","Andrena","Andrenidae",1.81
"M_005","Osmia.nigrifrons_005","Osmia.nigrifrons","Osmia","Megachilidae",2.43
"M_005","Bombus.fervidus_005","Bombus.fervidus","Bombus","Apidae",3.48
"M_005","Bombus.flavifrons_005","Bombus.flavifrons","Bombus","Apidae",2.89
"M_005","Megachile.relativa_005","Megachile.relativa","Megachile","Megachilidae",2.68
"M_005","Andrena.imitatrix_005","Andrena.imitatrix","Andrena","Andrenidae",4.49
"M_005","Bombus.hunti_005","Bombus.hunti","Bombus","Apidae",5.13
"M_005","Osmia.pentstemonis_005","Osmia.pentstemonis","Osmia","Megachilidae",1.75
"M_005","Osmia.pusilla_005","Osmia.pusilla","Osmia","Megachilidae",1.58
"M_005","Colletes.kincaidi_005","Colletes.kincaidi","Colletes","Colletidae",1.97
"M_005","Bombus.nevadensis_005","Bombus.nevadensis","Bombus","Apidae",5.06
"M_005","Bombus.occidentalis_005","Bombus.occidentalis","Bombus","Apidae",3.89
"M_005","Bombus.pennsylvanicus_005","Bombus.pennsylvanicus","Bombus","Apidae",6
"M_005","Halictus.sp1_005","Halictus.sp1","Halictus","Halictidae",1.49
"M_005","Megachile.sp1_005","Megachile.sp1","Megachile","Megachilidae",3.2
"M_005","Osmia.sp1_005","Osmia.sp1","Osmia","Megachilidae",3.1
"M_005","Andrena.sp1_005","Andrena.sp1","Andrena","Andrenidae",2.99
"M_005","Halictus.sp2_005","Halictus.sp2","Halictus","Halictidae",1.49
"M_005","Halictus.sp3_005","Halictus.sp3","Halictus","Halictidae",1.49
"M_005","Ceratina.sp1_005","Ceratina.sp1","Ceratina","Apidae",1.5
"M_005","Colletes.sp1_005","Colletes.sp1","Colletes","Colletidae",2.9
"M_005","Megachile.texana_005","Megachile.texana","Megachile","Megachilidae",3.65
"M_005","Andrena.vicina_005","Andrena.vicina","Andrena","Andrenidae",2.54
"M_005","Melissodes.sp1_005","Melissodes.sp1","Melissodes","Apidae",2.65
"M_006","Andrena.haemorrhoa_006","Andrena.haemorrhoa","Andrena","Andrenidae",2.54
"M_006","Lasioglossum.calceatum_006","Lasioglossum.calceatum","Lasioglossum","Halictidae",1.78
"M_006","Bombus.hortorum_006","Bombus.hortorum","Bombus","Apidae",4.74
"M_006","Lasioglossum.leucozonium_006","Lasioglossum.leucozonium","Lasioglossum","Halictidae",1.86
"M_006","Bombus.lapidarius_006","Bombus.lapidarius","Bombus","Apidae",3.98
"M_006","Bombus.pascuorum_006","Bombus.pascuorum","Bombus","Apidae",3.72
"M_006","Bombus.pratorum_006","Bombus.pratorum","Bombus","Apidae",4.21
"M_006","Bombus.terrestris.lucorum_006","Bombus.terrestris.lucorum","Bombus","Apidae",4.78
"M_006","Andrena.wilkella_006","Andrena.wilkella","Andrena","Andrenidae",2.34
"M_006","Lasioglossum.villosulum_006","Lasioglossum.villosulum","Lasioglossum","Halictidae",1.32
"M_006","Megachile.willughbiella_006","Megachile.willughbiella","Megachile","Megachilidae",3.26
"M_007","Apis.mellifera_007","Apis.mellifera","Apis","Apidae",2.9
"M_007","Andrena.chrysosceles_007","Andrena.chrysosceles","Andrena","Andrenidae",1.84
"M_007","Lasioglossum.calceatum_007","Lasioglossum.calceatum","Lasioglossum","Halictidae",1.78
"M_007","Bombus.hortorum_007","Bombus.hortorum","Bombus","Apidae",4.74
"M_007","Bombus.lapidarius_007","Bombus.lapidarius","Bombus","Apidae",3.98
"M_007","Bombus.pascuorum_007","Bombus.pascuorum","Bombus","Apidae",3.72
"M_007","Anthophora.plumipes_007","Anthophora.plumipes","Anthophora","Apidae",4.17
"M_007","Bombus.pratorum_007","Bombus.pratorum","Bombus","Apidae",4.21
"M_007","Bombus.terrestris.lucorum_007","Bombus.terrestris.lucorum","Bombus","Apidae",4.78
"M_007","Lasioglossum.villosulum_007","Lasioglossum.villosulum","Lasioglossum","Halictidae",1.32
"M_008","Anthidium.manicatum_008","Anthidium.manicatum","Anthidium","Megachilidae",3.44
"M_008","Apis.mellifera_008","Apis.mellifera","Apis","Apidae",2.9
"M_009","Bombus.alpinus_009","Bombus.alpinus","Bombus","Apidae",5.28
"M_010","Bombus.sp1_010","Bombus.sp1","Bombus","Apidae",4.35
"M_012","Apis.mellifera_012","Apis.mellifera","Apis","Apidae",2.9
"M_012","Halictus.sp1_012","Halictus.sp1","Halictus","Halictidae",1.49
"M_012","Andrena.sp1_012","Andrena.sp1","Andrena","Andrenidae",2.99
"M_013","Apis.mellifera_013","Apis.mellifera","Apis","Apidae",2.9
"M_014","Apis.mellifera_014","Apis.mellifera","Apis","Apidae",2.9
"M_015","Andrena.alfkenella_015","Andrena.alfkenella","Andrena","Andrenidae",1.33
"M_015","Andrena.bicolor_015","Andrena.bicolor","Andrena","Andrenidae",2.05
"M_015","Osmia.aurulenta_015","Osmia.aurulenta","Osmia","Megachilidae",2.78
"M_015","Osmia.caerulescens_015","Osmia.caerulescens","Osmia","Megachilidae",2.34
"M_015","Anthophora.atroalba_015","Anthophora.atroalba","Anthophora","Apidae",3.67
"M_015","Amegilla.albigena_015","Amegilla.albigena","Amegilla","Apidae",3.02
"M_015","Amegilla.quadrifasciata_015","Amegilla.quadrifasciata","Amegilla","Apidae",3.64
"M_015","Andrena.combaella_015","Andrena.combaella","Andrena","Andrenidae",2.34
"M_015","Andrena.flavipes_015","Andrena.flavipes","Andrena","Andrenidae",1.71
"M_015","Andrena.hattorfiana_015","Andrena.hattorfiana","Andrena","Andrenidae",2.71
"M_015","Anthidiellum.strigatum.luteum_015","Anthidiellum.strigatum.luteum","Anthidiellum","Megachilidae",2.44
"M_015","Anthidium.manicatum_015","Anthidium.manicatum","Anthidium","Megachilidae",3.44
"M_015","Apis.mellifera_015","Apis.mellifera","Apis","Apidae",2.9
"M_015","Cerarina.cucurbitina_015","Cerarina.cucurbitina","Cerarina","Apidae",1.36
"M_015","Chelostoma.appendiculatum_015","Chelostoma.appendiculatum","Chelostoma","Megachilidae",0.95
"M_015","Eucera.clypeata_015","Eucera.clypeata","Eucera","Apidae",2.75
"M_015","Eucera.nigrescens.contraria_015","Eucera.nigrescens.contraria","Eucera","Apidae",3.34
"M_015","Eucera.nigrilabris.rufitarsis_015","Eucera.nigrilabris.rufitarsis","Eucera","Apidae",3.65
"M_015","Eucera.seminuda_015","Eucera.seminuda","Eucera","Apidae",2.65
"M_015","Eucera.sp1_015","Eucera.sp1","Eucera","Apidae",4
"M_015","Habropoda.tarsata_015","Habropoda.tarsata","Habropoda","Apidae",3
"M_015","Heriades.crenulatus_015","Heriades.crenulatus","Heriades","Megachilidae",1.53
"M_015","Heriades.trucorum_015","Heriades.trucorum","Heriades","Megachilidae",1.64
"M_015","Lasioglossum.aeratum_015","Lasioglossum.aeratum","Lasioglossum","Halictidae",0.92
"M_015","Lasioglossum.brevicome_015","Lasioglossum.brevicome","Lasioglossum","Halictidae",1.38
"M_015","Megachile.pilidens_015","Megachile.pilidens","Megachile","Megachilidae",2.67
"M_015","Osmia.melanogaster_015","Osmia.melanogaster","Osmia","Megachilidae",2.84
"M_015","Pseudapis.diversipes_015","Pseudapis.diversipes","Pseudapis","Halictidae",1.78
"M_015","Rhodanthidium.septemdentatum_015","Rhodanthidium.septemdentatum","Rhodanthidium","Megachilidae",3.28
"M_015","Rophites.quinquespinosus_015","Rophites.quinquespinosus","Rophites","Halictidae",2.13
"M_015","Systropha.planidens_015","Systropha.planidens","Systropha","Halictidae",2.17
"M_015","Ceratina.cyanea_015","Ceratina.cyanea","Ceratina","Apidae",1.24
"M_015","Andrena.humillis_015","Andrena.humillis","Andrena","Andrenidae",2.43
"M_015","Lasioglossum.laticeps hellenicum_015","Lasioglossum.laticeps.hellenicum","Lasioglossum","Halictidae",1.47
"M_015","Lasioglossum.leucozonium_015","Lasioglossum.leucozonium","Lasioglossum","Halictidae",1.86
"M_015","Hylaeus.imparilis_015","Hylaeus.imparilis","Hylaeus","Colletidae",0.99
"M_015","Lasioglossum.limbellum_015","Lasioglossum.limbellum","Lasioglossum","Halictidae",1.32
"M_015","Lasioglossum.lineare_015","Lasioglossum.lineare","Lasioglossum","Halictidae",1.35
"M_015","Halictus.scabiosae_015","Halictus.scabiosae","Halictus","Halictidae",2.4
"M_015","Andrena.nana_015","Andrena.nana","Andrena","Andrenidae",1.58
"M_015","Andrena.nigroaenea_015","Andrena.nigroaenea","Andrena","Andrenidae",2.84
"M_015","Lasioglossum.lucidulum_015","Lasioglossum.lucidulum","Lasioglossum","Halictidae",1.28
"M_015","Lasioglossum.malachurum_015","Lasioglossum.malachurum","Lasioglossum","Halictidae",1.65
"M_015","Lasioglossum.marginatum_015","Lasioglossum.marginatum","Lasioglossum","Halictidae",1.65
"M_015","Lasioglossum.mediterraneum_015","Lasioglossum.mediterraneum","Lasioglossum","Halictidae",3.34
"M_015","Halictus.smaragdulus_015","Halictus.smaragdulus","Halictus","Halictidae",1.11
"M_015","Lasioglossum.mesosclerum_015","Lasioglossum.mesosclerum","Lasioglossum","Halictidae",1.25
"M_015","Lasioglossum.nigripes_015","Lasioglossum.nigripes","Lasioglossum","Halictidae",1.95
"M_015","Lasioglossum.nitidulum.fudakowskii_015","Lasioglossum.nitidulum.fudakowskii","Lasioglossum","Halictidae",1.24
"M_015","Halictus.sp1_015","Halictus.sp1","Halictus","Halictidae",1.49
"M_015","Megachile.sp1_015","Megachile.sp1","Megachile","Megachilidae",3.2
"M_015","Lasioglossum.pauxillum_015","Lasioglossum.pauxillum","Lasioglossum","Halictidae",1.115
"M_015","Lasioglossum.politum_015","Lasioglossum.politum","Lasioglossum","Halictidae",0.85
"M_015","Lasioglossum.pygmaeum.patulum_015","Lasioglossum.pygmaeum.patulum","Lasioglossum","Halictidae",1.14
"M_015","Lasioglossum.quadrinotatum_015","Lasioglossum.quadrinotatum","Lasioglossum","Halictidae",1.72
"M_015","Ceratina.nigrolabiata_015","Ceratina.nigrolabiata","Ceratina","Apidae",1.34
"M_015","Hylaeus.punctatus_015","Hylaeus.punctatus","Hylaeus","Colletidae",1.19
"M_015","Megachile.sp2_015","Megachile.sp2","Megachile","Megachilidae",3.2
"M_015","Xylocopa.iris_015","Xylocopa.iris","Xylocopa","Apidae",4.33
"M_015","Hylaeus.signatus_015","Hylaeus.signatus","Hylaeus","Colletidae",1.81
"M_015","Lasioglossum.sp1_015","Lasioglossum.sp1","Lasioglossum","Halictidae",1.47
"M_015","Andrena.simontornyella_015","Andrena.simontornyella","Andrena","Andrenidae",1.31
"M_015","Andrena.sp1_015","Andrena.sp1","Andrena","Andrenidae",2.99
"M_015","Andrena.sp2_015","Andrena.sp2","Andrena","Andrenidae",2.99
"M_015","Andrena.sp3_015","Andrena.sp3","Andrena","Andrenidae",2.99
"M_015","Megachile.sp3_015","Megachile.sp3","Megachile","Megachilidae",3.2
"M_015","Osmia.sp1_015","Osmia.sp1","Osmia","Megachilidae",3.11
"M_015","Eucera.sp2_015","Eucera.sp2","Eucera","Apidae",4
"M_015","Halictus.sp2_015","Halictus.sp2","Halictus","Halictidae",1.49
"M_015","Megachile.sp4_015","Megachile.sp4","Megachile","Megachilidae",3.2
"M_015","Andrena.taraxaci_015","Andrena.taraxaci","Andrena","Andrenidae",1.68
"M_015","Halictus.subauratus_015","Halictus.subauratus","Halictus","Halictidae",1.68
"M_015","Andrena.ventricosa_015","Andrena.ventricosa","Andrena","Andrenidae",1.63
"M_015","Bombus.terrestris_015","Bombus.terrestris","Bombus","Apidae",4.78
"M_015","Xylocopa.violacea_015","Xylocopa.violacea","Xylocopa","Apidae",7.8
"M_015","Hoplitis.sp1_015","Hoplitis.sp1","Hoplitis","Megachilidae",1.93
"M_015","Hoplitis.sp2_015","Hoplitis.sp2","Hoplitis","Megachilidae",1.93
"M_015","Hylaeus.variegatus_015","Hylaeus.variegatus","Hylaeus","Colletidae",2.12
"M_015","Lasioglossum.villosulum_015","Lasioglossum.villosulum","Lasioglossum","Halictidae",1.32
"M_015","Lasioglossum.zonulum_015","Lasioglossum.zonulum","Lasioglossum","Halictidae",1.97
"M_016","Colletes.acutus_016","Colletes.acutus","Colletes","Colletidae",2.57
"M_016","Andrena.bicolor_016","Andrena.bicolor","Andrena","Andrenidae",2.05
"M_016","Andrena.bimaculata_016","Andrena.bimaculata","Andrena","Andrenidae",2.72
"M_016","Anthophora.dispar_016","Anthophora.dispar","Anthophora","Apidae",3.67
"M_016","Ceratina.cucurbitina_016","Ceratina.cucurbitina","Ceratina","Apidae",1.36
"M_016","Halictus.fulvipes_016","Halictus.fulvipes","Halictus","Halictidae",2.13
"M_016","Lasioglossum.albocinctum_016","Lasioglossum.albocinctum","Lasioglossum","Halictidae",2.28
"M_016","Megachile.pilidens_016","Megachile.pilidens","Megachile","Megachilidae",2.67
"M_016","Amegilla.fasciata_016","Amegilla.fasciata","Amegilla","Apidae",3.29
"M_016","Andrena.hispania_016","Andrena.hispania","Andrena","Andrenidae",2.95
"M_016","Apis.mellifera_016","Apis.mellifera","Apis","Apidae",2.9
"M_016","Ceratina.cyanea_016","Ceratina.cyanea","Ceratina","Apidae",1.24
"M_016","Colletes.fodiens_016","Colletes.fodiens","Colletes","Colletidae",2.6
"M_016","Dasypoda cingulata_016","Dasypoda.cingulata","","Melittidae",2.17
"M_016","Halictus.quadricinctus_016","Halictus.quadricinctus","Halictus","Halictidae",2.84
"M_016","Panurgus.sp1_016","Panurgus.sp1","Panurgus","Andrenidae",1.69
"M_016","Xylocopa.cantabrita_016","Xylocopa.cantabrita","Xylocopa","Apidae",5.71
"M_016","Halictus.scabiosae_016","Halictus.scabiosae","Halictus","Halictidae",2.5
"M_016","Bombus.lucorum_016","Bombus.lucorum","Bombus","Apidae",4.78
"M_016","Andrena.nigroaenea_016","Andrena.nigroaenea","Andrena","Andrenidae",2.97
"M_016","Halictus.smaragdulus_016","Halictus.smaragdulus","Halictus","Halictidae",1.11
"M_016","Lasioglossum.pallens_016","Lasioglossum.pallens","Lasioglossum","Halictidae",1.59
"M_016","Lasioglossum.punctatissimum_016","Lasioglossum.punctatissimum","Lasioglossum","Halictidae",1.21
"M_016","Lasioglossum.sp1_016","Lasioglossum.sp1","Lasioglossum","Halictidae",1.47
"M_016","Andrena.sp1_016","Andrena.sp1","Andrena","Andrenidae",2.99
"M_016","Osmia.sp1_016","Osmia.sp1","Osmia","Megachilidae",3.11
"M_016","Colletes.sp1_016","Colletes.sp1","Colletes","Colletidae",2.9
"M_016","Colletes.succintus_016","Colletes.succintus","Colletes","Colletidae",3
"M_016","Xylocopa.violacea_016","Xylocopa.violacea","Xylocopa","Apidae",7.8
"M_016","Anthophora.sp1_016","Anthophora.sp1","Anthophora","Apidae",4.13
"M_016","Lasioglossum.villosulum_016","Lasioglossum.villosulum","Lasioglossum","Halictidae",1.32
"M_017","Apis.mellifera_017","Apis.mellifera","Apis","Apidae",2.9
"M_017","Bombus.lapidarius_017","Bombus.lapidarius","Bombus","Apidae",3.98
"M_017","Bombus.muscorum_017","Bombus.muscorum","Bombus","Apidae",3.84
"M_017","Bombus.pascuorum_017","Bombus.pascuorum","Bombus","Apidae",3.72
"M_017","Bombus.terrestris_017","Bombus.terrestris","Bombus","Apidae",4.78
"M_018","Bombus.hortorum_018","Bombus.hortorum","Bombus","Apidae",4.74
"M_018","Bombus.lapidarius_018","Bombus.lapidarius","Bombus","Apidae",3.98
"M_018","Bombus.lucorum_018","Bombus.lucorum","Bombus","Apidae",4.78
"M_018","Bombus.pascuorum_018","Bombus.pascuorum","Bombus","Apidae",3.72
"M_018","Bombus.pratorum_018","Bombus.pratorum","Bombus","Apidae",4.21
"M_018","Bombus.ruderatus_018","Bombus.ruderatus","Bombus","Apidae",5.58
"M_018","Bombus.soroeensis_018","Bombus.soroeensis","Bombus","Apidae",3.45
"M_018","Bombus.terrestris_018","Bombus.terrestris","Bombus","Apidae",4.78
"M_019","Apis.mellifera_019","Apis.mellifera","Apis","Apidae",2.9
"M_019","Megachile.sp1_019","Megachile.sp1","Megachile","Megachilidae",3.2
"M_019","Lasioglossum.sp1_019","Lasioglossum.sp1","Lasioglossum","Halictidae",1.47
"M_019","Hylaeus.sp1_019","Hylaeus.sp1","Hylaeus","Colletidae",1.27
"M_019","Lasioglossum.sp10_019","Lasioglossum.sp10","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp2_019","Lasioglossum.sp2","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp3_019","Lasioglossum.sp3","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp4_019","Lasioglossum.sp4","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp5_019","Lasioglossum.sp5","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp6_019","Lasioglossum.sp6","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp7_019","Lasioglossum.sp7","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp8_019","Lasioglossum.sp8","Lasioglossum","Halictidae",1.47
"M_019","Lasioglossum.sp9_019","Lasioglossum.sp9","Lasioglossum","Halictidae",1.47
"M_020","Lasioglossum.sp11_019","Lasioglossum.sp11","Lasioglossum","Halictidae",1.47
"M_020","Bombus.sp1_020","Bombus.sp1","Bombus","Apidae",4.3
"M_021","Bombus.ardens_021","Bombus.ardens","Bombus","Apidae",4.98
"M_021","Bombus.diversus.diversus_021","Bombus.diversus.diversus","Bombus","Apidae",5.49
"M_021","Andrena.haemorrhoa.japonibia_021","Andrena.haemorrhoa.japonibia","Andrena","Andrenidae",2.54
"M_021","Bombus.honshuensis_021","Bombus.honshuensis","Bombus","Apidae",6.1
"M_021","Apis.cerana_021","Apis.cerana","Apis","Apidae",2.38
"M_021","Apis.mellifera_021","Apis.mellifera","Apis","Apidae",2.9
"M_021","Ceratina.flavipes_021","Ceratina.flavipes","Ceratina","Apidae",1.71
"M_021","Andrena.longitibialis_021","Andrena.longitibialis","Andrena","Andrenidae",1.59
"M_021","Bombus.hypocrita.hypocrita_021","Bombus.hypocrita.hypocrita","Bombus","Apidae",5.4
"M_021","Bombus.ignitus_021","Bombus.ignitus","Bombus","Apidae",6.3
"M_021","Andrena.minutula_021","Andrena.minutula","Andrena","Andrenidae",1.5
"M_021","Ceratina.japonica_021","Ceratina.japonica","Ceratina","Apidae",1.22
"M_021","Lasioglossum.occidens_021","Lasioglossum.occidens","Lasioglossum","Halictidae",2.26
"M_021","Lasioglossum.proximatum_021","Lasioglossum.proximatum","Lasioglossum","Halictidae",2.43
"M_021","Lasioglossum.sp1_021","Lasioglossum.sp1","Lasioglossum","Halictidae",1.47
"M_021","Lasioglossum.sp2_021","Lasioglossum.sp2","Lasioglossum","Halictidae",1.47
"M_021","Lasioglossum.sp3_021","Lasioglossum.sp3","Lasioglossum","Halictidae",1.47
"M_021","Lasioglossum.sp4_021","Lasioglossum.sp4","Lasioglossum","Halictidae",1.47
"M_021","Lasioglossum.sp5_021","Lasioglossum.sp5","Lasioglossum","Halictidae",1.47
"M_021","Lasioglossum.sp6_021","Lasioglossum.sp6","Lasioglossum","Halictidae",1.47
"M_022","Anthidium.chubuti_022","Anthidium.chubuti","Anthidium","Megachilidae",3.69
"M_022","Megachile.sp1_022","Megachile.sp1","Megachile","Megachilidae",3.2
"M_022","Megachile.sp2_022","Megachile.sp2","Megachile","Megachilidae",3.2
"M_023","CaenoHalictus.sp1_023","CaenoHalictus.sp1","CaenoHalictus","Halictidae",1.3
"M_023","CaenoHalictus.sp2_023","CaenoHalictus.sp2","CaenoHalictus","Halictidae",1.3
"M_023","Apis.mellifera_023","Apis.mellifera","Apis","Apidae",2.9
"M_023","Augochloropsis.sp1_023","Augochloropsis.sp1","Augochloropsis","Halictidae",2.18
"M_023","Dialictus.sp1_023","Dialictus.sp1","Dialictus","Halictidae",1.2
"M_023","Dialictus.sp2_023","Dialictus.sp2","Dialictus","Halictidae",1.2
"M_023","Megachile.sp1_023","Megachile.sp1","Megachile","Megachilidae",3.2
"M_023","Megachile.sp2_023","Megachile.sp2","Megachile","Megachilidae",3.2
"M_023","Centris.sp1_023","Centris.sp1","Centris","Apidae",5.4
"M_025","Andrena.arabis_025","Andrena.arabis","Andrena","Andrenidae",2.1
"M_025","Bombus.bimaculatus_025","Bombus.bimaculatus","Bombus","Apidae",4.07
"M_025","Ceratina.calcarata_025","Ceratina.calcarata","Ceratina","Apidae",1.41
"M_025","Osmia.atriventris_025","Osmia.atriventris","Osmia","Megachilidae",2.08
"M_025","Andrena.carlini_025","Andrena.carlini","Andrena","Andrenidae",2.9
"M_025","Andrena.dunningi_025","Andrena.dunningi","Andrena","Andrenidae",2.64
"M_025","Andrena.erigeniae_025","Andrena.erigeniae","Andrena","Andrenidae",2.1
"M_025","Osmia.lignaria_025","Osmia.lignaria","Osmia","Megachilidae",2.9
"M_025","Andrena.imitatrix_025","Andrena.imitatrix","Andrena","Andrenidae",4.49
"M_025","Apis.mellifera_025","Apis.mellifera","Apis","Apidae",2.9
"M_025","Augochlora.pura_025","Augochlora.pura","Augochlora","Halictidae",1.64
"M_025","Cerarina.calcarata_025","Cerarina.calcarata","Cerarina","Apidae",1.41
"M_025","Lassioglossum.fuscipenne_025","Lassioglossum.fuscipenne","Lassioglossum","Halictidae",2.1
"M_025","Andrena.nasonii_025","Andrena.nasonii","Andrena","Andrenidae",1.59
"M_025","Bombus.pennsylvanicus_025","Bombus.pennsylvanicus","Bombus","Apidae",6
"M_025","Andrena.personata_025","Andrena.personata","Andrena","Andrenidae",1.2
"M_025","Osmia.simillima_025","Osmia.simillima","Osmia","Megachilidae",2.53
