"plantas","Agathidinae.sp","Ahasverus.advena.Waltle","Allograpta.nasuta.Marquart","Apis.mellifera.Linnaeus","Atherigona.orientalis.Schiner","Brachymyrmex.sp","Calopsilia.florella.Fabricius","Campopleginae.sp1","Cerambycidae.sp1","Cerambycidae.sp2","Cerambycidae.sp3","Ceratitis.roas.Karsch","Chaetocnema.sp1","Cheloninae.sp1","Cheloninae.sp3","Chrysomya.megacephala.Fabricius","Cixiidae.sp1","Cixiidae.sp2","Cotesia.sp1","Cratopus.psittacus.Faimaire","Cryptocephalinae.sp1","Dasytinae.sp1","Dioxyna.sororcula.Wiedemann","Diptera.sp2","Diptera.sp3","Dysauxes.florida.Joan","Episyrphus.sp.near.circularis.Hull","Eristalinus.flaveolus.Bigot","Eumolpinae.sp2","Eumolpinae.sp3","Eurytonidae.sp1","Fannia.pusio.Wiedemann","Gelechioidea.sp1","Gelechioidea.sp2","Gelechioidea.sp3","Goniurellia.or.Dectodes.sp","Graphomya.maculata.Scopoli","Henotesia.narcissus.Fabricius","Hippotion.eson.Cramer","Homoneura.sp2","Homoneura.sp3","Hydrotaea.fuliginosa.Robineau.Desvoidy","Ischiodon.aegyptius.Wiedemann","Lecithoceridae.sp1","Leptotes.pirithous.Linnaeus","Limnophora.quaterna.Loew","Lygaeidae.sp2","Lygaeidae.sp3","Lygaeidae.sp5","Lygistorrhina.sp","Macroglossum.milvus.Boisduval","Mauritiborium.undulatus","Melanagromyza.sojae.Zehntner","Melanostoma.annulipes.Macquart","Melanostoma.bituberculatum.Loew","Miridae.sp1","Mordellidae.sp1","Mordellidae.sp2","Mordellidae.sp3","Musca.confiscata.Speiser","Musca.domestica.Linnaeus","Nacoleia.sp1","Nacoleia.sp2","Nitidulidae.sp1","Nyctemera.insulare.Boisduval","Ophyra.capensis.Wiedemann","Orchisia.costata.Meigen","Ornidia.obesa.Fabricius","Orthellia.albigena.Stein","Pachycerina.crinicornis.Thomson","Palexorista.sp1","Panara.naso.Fabricius","Paragus.borbonicus.Macquart","Pelecophora.intemipta.All","Phalanta.phalantha.Drury","Pheidole.megacephala.Fabricius","Phelsuma.cepediana.Merrem","Phorinia.sp","Polistes.hebraeus.Fabricius","Psyllidae.sp2","Sapromyza.sp.near..nudiuscula.Lamb","Sarcophaga.arno.Curran","Scatopsidae.sp","Scirtidae.sp1","Scirtidae.sp2","Scolia.carniflex.Coquillett","Scopariinae.sp","Simulium.Byssodon.sp2","Siphona.sp","Stomorhina.lunata.Fabricius","Stomoxys.calcitrans.Linnaeus","Stomoxys.niger.Macquart","Syritta.bulbus.Walker","Syritta.nigrofemorata.Macquart","Syritta.spnear.abyssinica.Rondani","Technomyrmex.albipes.Smith","Thelairodrino.sp","Thysanoplusia.orichalcea.Fabricius","Villa.unifasciata.Macquart","Zosterops.mauritianus.Gmelin"
"Claoxylon.linostachys.ssp.brachyphyllum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266666667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clidemia.hirta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea.macrocarpa",0,0,0,0,0,0.2,0,0,0,0,0,0,0.1538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538461538,0,0,0,0
"Coffea.mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya.integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,1.4285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Croton.fothergillifolius",0,0.3333333333,0.1633333333,0.1,0,0,0,0,0,0.1333333333,0,0,9.0947224774,0,0,0.1921568627,0,0,0,0,0,0,0.35,0,0,0.4666666667,0,0,0.1666666667,0,0,0.1333333333,0.0833333333,0.9095022624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130952381,0,0,0,0.1526315789,0,0,0,0,0,0,0.3924426451,0.7977124183,0.1333333333,0,0,0,0,0,0,0.9333333333,0,0.0588235294,0,0,0,0,0,0,0,0,0,0,0,0.1428571429,0.1,0,0.04,0,0,0.8437154349,0.3833333333,0,0,0.2261904762,0,3.5047619048,0.1,0,0.6,0
"Croton.grangeroides",0,0,0,0.0285714286,0,0,0,0,0,0,0,0,6.2541125541,0,0,0.3163692931,0,0,0,0,0,0,0,0,0,1.6399635452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6773399015,0.0344827586,0,0,0,0,0,0,0,0,0,0,0.1052631579,0,0,0,0,0,0,0,0.1818181818,0.0285714286,0,0,0,0,0,0,0,0.0285714286,0.0285714286,0,0,0,0.1773399015,0,0,0,0,0
"Diospyros.revaughanii",0,0,0,4.7222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodonaea.viscosa",0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0.1739130435,0,0,0.0666666667,0,0,0,0,0.5333333333,0.0133333333,0,0,0.2,0,0,0,0,0.0133333333,0,0,0,0,0.0133333333,0,0,0.0273972603,0,0,0,0,0,0,0,0,0,0.04,0,0.1333333333,0,0.0869565217,0,0,0,0,0,0,0.2266666667,0,0,0,0,0,0.04,0,0,0.3577235772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2214611872,0.08,0.04,0,0,0,0.0243902439,0,0,0,0
"Doratoxylon.apetalum.var.diphyllum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0
"Dracaena.reflexa.var.angustifolia",0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0.05,0.0333333333,0,0,0,0,0,0,0,0,0,0.0166666667,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.0166666667,0,0,0,0,0,0,0,0.0666666667,0,0,0,0,0,0,0,0.0333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666667,0,0.0166666667,0,0,0,0,0,0,0,0
"Embelia.angustifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689655172,0,0,0,0,0.0727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818181818,0,0,0,0,0,0,0,0,0,0,0,0.0818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727272727,0,0,0,0,0.0363636364,0,0,0,0,0
"Erythrospermum.monticolum.var.monticolum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum.macrocarpum",0,0,0.6412698413,0.2,0,0,0.2222222222,0,0,0,0,0,6.9746031746,0,0,0,0,0,0,0,0,0,0,0,0,1.2170940171,0.619047619,0.2222222222,0,0.1333333333,0,0,0,0.8571428571,0.1111111111,0,0,0,0,0,0,0,0.2857142857,0,0,0,0,0,0,2.8222222222,0,0.6666666667,0,1.0666666667,0.2666666667,0,0,0,0,0,1.2,0.3333333333,0,0,0,1,0,0.2857142857,0,0.2857142857,0,0.125,0,0,0,0,0,0.125,0,0.2,0,0,0.2222222222,0,0,0,0,0,0,1.3591269841,1.0952380952,0.4285714286,0,0,0,1,0,0,0.125,0
"Eugenia.orbiculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Euodia.chapelieri.var.chapelieri",0,0,0,0,0,0,0,0,0,0,0,0,0.902020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia.obtusifolia.ssp.gigas.var.gigas",0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faujasiopsis.flexuosa.ssp.erecta",0,0,0,1.1111111111,0,0,0,0,0,0,0,0,1.4368253968,0,0,0,0,0,0,0,0,0,0,0,0,4.5547619048,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8857142857,0,0,0,0,0,0,0,0,0,0,0,0.0666666667,0,0,0,0,0,0.2222222222,0,0.8666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666667,0,0,0,0,0,0,0,0,0,0
"Flagellaria.indica",0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera.psychotrioides.edentata",0,0.1818181818,0.4222222222,1.752020202,0,0,0,0,0,0,0,0,1.3650793651,0,0,0.7222222222,0,0,0,0,0,0,0,0,0,0,0.5472222222,0,0,0,0,0,0,0,0,0,0,0,0.2222222222,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,4.2133477633,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4222222222,0,0,0,0,0,0,0,0,0,0,0.1,0.2222222222,0,0,0,0,0,0,0.1428571429,0.5222222222,0
"Gaertnera.rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grangeria.borbonica",0,0.1666666667,0.1666666667,2.6879500891,0,0,0,0,0,0,0,0,1.9952380952,0,0,0.02,0,0,0,0,0,0,0,0,0,1.3666666667,0,0.1666666667,0,0.2285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666667,0.1714285714,0.1176470588,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4333333333,0,0,0,0,0,0.1333333333,0,0,0,0
"Harungana.madagascariensis",0,0,0,0,0,0.4,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0
"Helichrysum.proteoides",0,0,0,0.125,0,0,0,0,0,0,0,0,0.7619047619,0,0,0.2577380952,0,0,0,0,0,0,0,0,0,0.4833333333,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2738095238,0,0,0,0,0,0,0.0625,0,0.1458333333,0,0.0625,0,0,0,0,0,0,0.1875,0,0,0.2,0,0,0,0,0,0,0,0.0625,0,0,0,0.1875,0,0,0,0,0,0
"Homalanthus.populifolius",0,0,0.7409090909,0,0,0,0,0,0,0,0,0,13.5822796823,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0,0,0.35,0,0,0,0,4.5031037531,0,0,0,0,0,0,0,0,0,0.1333333333,0,0,0,0,0,0,0,0,0,0.0810810811,0,0.727027027,0,0,0,0,0,0,1.2380952381,0.027027027,0,0,0,0,0,0,0,1.5333333333,0.0909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8691763192,0,0.2380952381,0,0,0,2,0,0,0.0909090909,0
"Labourdonnaisia.callophylloides",0,0,0,6.7411976912,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.1111111111,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molinaea.alternifolia",0.1333333333,0,0.28,2.4980952381,0,0,0,0,0,0,0,0,2.0466666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2666666667,0.2,0.2,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.2,0,0.24,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.3866666667,0,0,0,0,1.0628571429,0,0,0,0,0,0,0,0.1733333333,0,0,0,0,1.2310364146,0,0,0,0,0,0,0,0,0,0,1.4347985348,0,0,0,0.0666666667,0,0.3333333333,0,0,0,0
"Molinaea.macrantha",0,0,0.1428571429,0,0,1.4285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8650793651,0,0,0,0
"Myonima.violacea.var.ovata",0,0,0.1111111111,1.4392424242,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.0571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.32,0.2,0,0,0,0,1.6222222222,0,0,0,0
"Ochna.mauritiana",0,0,0.3,1.7525879917,0,0,0,0.1739130435,0,0,0,0,5.8072463768,0,0,0.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2333333333,0,0,0,0,0,0,0,0,0,0,0.1666666667,0.2666666667,0,0,0,0,0,0.1666666667,0.4444444444,0,0,0,0,0,0,0,0.1916666667,0,0.025,0,0,0,0,0,0,0.5511904762,0,0,0.025,0,0,0,0,0,0,0,0.8614130435,0,0,0,0.1333333333,0,0,0,0,0,0
"Olea.lancea",0,0,0.5,0.0740740741,0,0,0,0,0,0,0,0,5.034025234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740740741,0,0,0,0,0,0,0,0,0.5818181818,0
"Ossaea.marginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus.phillyreifolius.var.telfairianus",0,0,0,0,0,0,0,0,0,0,0,0,0.2811827957,0.3222222222,0,0,0,0,0,0,0,0,0,0,0,0.114516129,0,0,0,0,0.1111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0,0.1666666667,0,0,0.5454545455,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.364516129,0,0,0,0
"Pittosporum.senacia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psathura.terniflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
