site,year,date,codigo.p,no.esp.p,codigo.i,no.esp.i,obs.time,no.fl.obs,no.fl.visit,observer
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,11:46,900,8,silvia
V1,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,09:35,110,1,silvia
V4,2011,2011-11-08,zuc.pun,p0003,api.mel,i0070,10:21,100,1,enzo
V1,2007,2007-11-20,zuc.pun,p0003,cop.ari,i0044,14:28,200,1,Nachu
V4,2011,2011-12-02,zuc.pun,p0003,wil.cha,i0096,10:12,80,13,silvia
V1,2007,2007-11-08,zuc.pun,p0003,api.mel,i0070,17:37,500,5,Nachu
V2,2006,2006-10-30,zuc.pun,p0003,NA,NA,08:51,25,0,Diego
V4,2009,2009-11-09,zuc.pun,p0003,col.cog,i0169,10:50:00,400,2,nachu
V1,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,09:35,110,1,silvia
V1,2009,2009-11-05,zuc.pun,p0003,cos.chi,i0077,09:41:00,90,1,Belen
V1,2008,2008-12-05,zuc.pun,p0003,pol.cav,i0039,10:38:00,68,2,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,cop.ari,i0044,10:01,400,1,nachu
V4,2009,2009-12-02,zuc.pun,p0003,NA,NA,10:13:00,30,0,Nachu
V3,2006,2006-11-06,zuc.pun,p0003,api.mel,i0070,11:23,20,1,Diego
V4,2008,2008-12-02,zuc.pun,p0003,cen.bre,i0007,11:32:00,49,4,Nachu
V1,2008,2008-11-21,zuc.pun,p0003,ise.vac,i0106,12:15:00,80,1,Nachu
V4,2006,2006-11-20,zuc.pun,p0003,xyl.ord,i0001,10:09,50,1,Diego
V4,2008,2008-11-18,zuc.pun,p0003,cop.ari,i0044,12:04:00,1200,2,Nachu
V4,2009,2009-11-25,zuc.pun,p0003,NA,NA,10:51:00,176,0,nachu
V1,2008,2008-11-11,zuc.pun,p0003,xyl.ord,i0001,08:35:00,700,7,Nachu
V1,2011,2011-11-08,zuc.pun,p0003,cop.ari,i0044,11:22,500,2,nachu
V4,2011,2011-11-04,zuc.pun,p0003,api.mel,i0070,11:49,700,4,nachu
V4,2010,2010-12-10,zuc.pun,p0003,cop.ari,i0044,8:35,200,1,nachu
V1,2009,2009-11-30,zuc.pun,p0003,sva.zeb,i0110,12:26:00,640,1,Nachu
V4,2009,2009-11-04,zuc.pun,p0003,meg.pse,i0212,10:06:00,700,1,Nachu
V4,2007,2007-11-15,zuc.pun,p0003,api.mel,i0070,09:57,250,12,Nachu
V1,2011,2011-12-02,zuc.pun,p0003,cen.bre,i0007,13:15,250,1,silvia
V4,2011,2011-11-01,zuc.pun,p0003,xyl.ord,i0001,08:40,50,68,enzo
V1,2008,2008-11-11,zuc.pun,p0003,mes.jen,i0011,10:42:00,700,1,Nachu
V4,2011,2011-11-08,zuc.pun,p0003,api.mel,i0070,10:15,500,5,nachu
V4,2006,2006-11-20,zuc.pun,p0003,api.mel,i0070,13:14,25,2,Diego
V1,2009,2009-11-09,zuc.pun,p0003,cam.pun,i0128,12:33:00,400,2,nachu
V1,2009,2009-10-28,zuc.pun,p0003,mes.jen,i0011,11:29:00,10,1,nachu
V1,2011,2011-11-22,zuc.pun,p0003,cop.ari,i0044,13:38,250,1,silvia
V4,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,12:39,40,3,enzo
V4,2011,2011-11-18,zuc.pun,p0003,cos.chi,i0077,12:00,800,1,silvia
V1,2008,2008-11-04,zuc.pun,p0003,NA,NA,13:25:00,60,0,Nachu
V4,2011,2011-12-20,zuc.pun,p0003,NA,NA,12:56,400,0,silvia
V1,2008,2008-12-05,zuc.pun,p0003,meg.cte,i0015,10:38:00,68,2,Nachu
V4,2009,2009-11-04,zuc.pun,p0003,cop.ari,i0044,10:06:00,700,3,Nachu
V2,2006,2006-11-20,zuc.pun,p0003,meg.A,i0003,10:57,700,40,Jimena
V4,2009,2009-11-09,zuc.pun,p0003,bom.opi,i0002,09:50:00,640,4,nachu
V4,2006,2006-11-20,zuc.pun,p0003,col.ara,i0168,11:24,40,1,Diego
V1,2009,2009-11-25,zuc.pun,p0003,NA,NA,12:16:00,50,0,Belen
V4,2011,2011-11-18,zuc.pun,p0003,cen.bre,i0007,12:00,800,1,silvia
V4,2007,2007-11-08,zuc.pun,p0003,api.mel,i0070,16:30,400,4,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:19,1300,1,silvia
V4,2008,2008-12-02,zuc.pun,p0003,cen.bre,i0007,10:09:00,11,1,Nachu
V4,2011,2011-11-08,zuc.pun,p0003,cop.ari,i0044,10:15,500,2,nachu
V1,2009,2009-11-11,zuc.pun,p0003,NA,NA,10:02:00,30,0,Belen
V1,2011,2011-11-04,zuc.pun,p0003,api.mel,i0070,11:08,40,5,enzo
V3,2006,2006-11-06,zuc.pun,p0003,xyl.ord,i0001,11:49,40,1,Diego
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:19,1300,1,silvia
V1,2011,2011-11-04,zuc.pun,p0003,cop.ari,i0044,09:53,700,1,nachu
V4,2011,2011-11-11,zuc.pun,p0003,aug.sp,i0228,13:11,40,1,enzo
V4,2008,2008-10-31,zuc.pun,p0003,meg.C,i0140,11:12:00,300,1,Nachu
V3,2006,2006-11-20,zuc.pun,p0003,NA,NA,11:42,18,0,Beni
V4,2007,2007-12-11,zuc.pun,p0003,bombil8,i0085,11:18,14,1,Erica
V1,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,09:35,110,4,silvia
V1,2008,2008-11-21,zuc.pun,p0003,col.cog,i0169,10:19:00,500,2,Nachu
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,12:00,800,1,silvia
V1,2008,2008-11-21,zuc.pun,p0003,mes.jen,i0011,10:19:00,500,4,Nachu
V4,2006,2006-11-20,zuc.pun,p0003,api.mel,i0070,10:09,50,3,Diego
V1,2010,2010-12-03,zuc.pun,p0003,NA,NA,8:31,27,0,silvia
V1,2008,2008-12-05,zuc.pun,p0003,NA,NA,10:08:00,16,0,Nachu
V4,2011,2011-11-04,zuc.pun,p0003,api.mel,i0070,11:49,700,4,nachu
V4,2006,2006-11-20,zuc.pun,p0003,xyl.ord,i0001,10:23,60,53,Diego
V4,2009,2009-11-09,zuc.pun,p0003,NA,NA,11:13:00,40,0,Belen
V1,2011,2011-11-29,zuc.pun,p0003,NA,NA,10:28,130,1,silvia
V1,2009,2009-12-11,zuc.pun,p0003,col.sp1,i0232,11:10:00,180,1,Rocio
V1,2007,2007-11-20,zuc.pun,p0003,cen.bre,i0007,14:00,150,5,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,10:01,400,5,nachu
V4,2007,2007-12-11,zuc.pun,p0003,bombil8,i0085,11:18,14,1,Erica
V4,2011,2011-11-08,zuc.pun,p0003,api.mel,i0070,10:15,500,13,nachu
V1,2011,2011-12-02,zuc.pun,p0003,cen.bre,i0007,13:07,100,10,nachu
V4,2009,2009-11-25,zuc.pun,p0003,NA,NA,10:23:00,50,0,Belen
V4,2010,2010-12-10,zuc.pun,p0003,str.eur,i0131,8:26,60,1,nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:04,80,3,enzo
V4,2007,2007-11-15,zuc.pun,p0003,xyl.ord,i0001,09:32,120,4,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,allo.sp1,i0111,10:00,300,1,silvia
V4,2008,2008-12-02,zuc.pun,p0003,NA,NA,11:20:00,200,0,Nachu
V4,2011,2011-11-01,zuc.pun,p0003,bom.opi,i0002,09:59,400,3,nachu
V1,2011,2011-11-11,zuc.pun,p0003,col.cog,i0169,13:10,400,2,nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V4,2008,2008-10-31,zuc.pun,p0003,xyl.ord,i0001,10:20:00,1000,5,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,10:01,400,5,nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:19,1300,1,silvia
V4,2010,2010-12-10,zuc.pun,p0003,str.eur,i0131,8:35,200,1,nachu
V1,2009,2009-10-28,zuc.pun,p0003,allo.sp1,i0111,12:15:00,30,8,rocio
V4,2011,2011-11-04,zuc.pun,p0003,NA,NA,13:47,60,2,enzo
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V1,2011,2011-10-28,zuc.pun,p0003,cop.ari,i0044,10:57,210,1,nachu
V1,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,10:01,400,1,nachu
V1,2007,2007-11-20,zuc.pun,p0003,api.mel,i0070,14:28,200,1,Nachu
V4,2011,2011-12-02,zuc.pun,p0003,col.cog,i0169,09:02,100,1,nachu
V1,2009,2009-11-11,zuc.pun,p0003,col.cog,i0169,10:32:00,800,1,Nachu
V1,2008,2008-11-21,zuc.pun,p0003,coe.inc,i0154,10:19:00,500,1,Nachu
V1,2008,2008-11-21,zuc.pun,p0003,lei.abd,i0030,11:48:00,600,1,Nachu
V1,2011,2011-11-18,zuc.pun,p0003,cen.bre,i0007,13:43,300,7,diego
V4,2011,2011-11-08,zuc.pun,p0003,str.eur,i0131,09:26,400,2,nachu
V1,2010,2010-11-19,zuc.pun,p0003,api.mel,i0070,10:22,300,1,silvia
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:06,400,11,nachu
V1,2009,2009-12-11,zuc.pun,p0003,bombil8,i0085,11:05:00,180,1,Rocio
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:15,400,1,nachu
V4,2010,2010-11-10,zuc.pun,p0003,cop.ari,i0044,8:04,300,2,silvia
V1,2010,2010-12-10,zuc.pun,p0003,NA,NA,10:47,5,0,silvia
V4,2007,2007-11-15,zuc.pun,p0003,antho.sp1,i0136,07:34,200,2,Nachu
V4,2009,2009-11-25,zuc.pun,p0003,NA,NA,11:04:00,1600,0,nachu
V1,2009,2009-11-09,zuc.pun,p0003,xyl.ord,i0001,12:30:00,1000,12,Rocio
V4,2008,2008-10-31,zuc.pun,p0003,sva.zeb,i0110,10:20:00,1000,2,Nachu
V4,2009,2009-11-04,zuc.pun,p0003,dih.sp1,i0031,11:03:00,140,1,Nachu
V4,2010,2010-11-26,zuc.pun,p0003,cop.ari,i0044,8:31:00,900,4,Nachu
V1,2007,2007-11-08,zuc.pun,p0003,api.mel,i0070,17:37,500,1,Nachu
V4,2011,2011-11-08,zuc.pun,p0003,coe.sp7,i0313,10:15,500,4,nachu
V1,2007,2007-11-27,zuc.pun,p0003,bombil8,i0085,09:16,60,1,Nachu
V1,2009,2009-10-28,zuc.pun,p0003,aug.sp,i0228,11:29:00,10,1,nachu
V4,2011,2011-11-08,zuc.pun,p0003,str.eur,i0131,10:15,500,3,nachu
V1,2011,2011-11-25,zuc.pun,p0003,cam.pun,i0128,12:34,200,1,silvia
V1,2011,2011-11-25,zuc.pun,p0003,cam.pun,i0128,12:34,200,1,silvia
V4,2008,2008-10-31,zuc.pun,p0003,dih.sp1,i0031,10:20:00,1000,1,Nachu
V1,2011,2011-11-01,zuc.pun,p0003,col.cog,i0169,11:36,200,2,nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V4,2010,2010-11-26,zuc.pun,p0003,cen.bre,i0007,8:31:00,900,3,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,bom.opi,i0002,09:19,1300,3,silvia
V4,2008,2008-11-18,zuc.pun,p0003,api.mel,i0070,11:58:00,300,1,Nachu
V4,2008,2008-11-18,zuc.pun,p0003,cop.ari,i0044,12:04:00,1200,2,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,10:35,70,2,enzo
V3,2006,2006-11-13,zuc.pun,p0003,bom.opi,i0002,09:40,400,1,Erica
V4,2011,2011-11-11,zuc.pun,p0003,api.mel,i0070,09:33,200,5,enzo
V1,2011,2011-11-08,zuc.pun,p0003,meg.cte,i0015,11:22,500,2,nachu
V1,2009,2009-11-09,zuc.pun,p0003,xyl.ord,i0001,12:14:00,400,3,Rocio
V1,2008,2008-11-21,zuc.pun,p0003,mes.jen,i0011,10:19:00,500,2,Nachu
V1,2009,2009-11-05,zuc.pun,p0003,bom.opi,i0002,12:06:00,160,3,Rocio
V4,2011,2011-11-11,zuc.pun,p0003,cen.bre,i0007,11:40,1000,2,nachu
V4,2010,2010-12-10,zuc.pun,p0003,str.eur,i0131,8:35,200,2,nachu
V4,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,11:49,700,1,nachu
V4,2007,2007-11-06,zuc.pun,p0003,str.eur,i0131,12:21,200,1,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,meg.A,i0003,09:53,700,2,nachu
V4,2008,2008-12-02,zuc.pun,p0003,col.cog,i0169,11:32:00,49,2,Nachu
V4,2008,2008-12-02,zuc.pun,p0003,cen.bre,i0007,11:32:00,49,7,Nachu
V1,2011,2011-11-11,zuc.pun,p0003,col.cog,i0169,13:10,400,1,nachu
V4,2007,2007-11-02,zuc.pun,p0003,NA,NA,10:44,200,0,Nachu
V1,2010,2010-11-26,zuc.pun,p0003,meg.A,i0003,11:52:00,2000,1,Nachu
V1,2009,2009-12-11,zuc.pun,p0003,aug.sp,i0228,11:05:00,180,5,Rocio
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,12:00,800,1,silvia
V1,2011,2011-11-04,zuc.pun,p0003,chi.sp1,i0033,10:00,300,1,silvia
V1,2009,2009-12-11,zuc.pun,p0003,meg.C,i0140,11:10:00,180,1,Rocio
V4,2006,2006-11-06,zuc.pun,p0003,api.mel,i0070,14:25,900,16,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,col.cog,i0169,10:09,300,1,silvia
V1,2009,2009-11-11,zuc.pun,p0003,cen.bre,i0007,10:51:00,80,8,Nachu
V2,2006,2006-11-20,zuc.pun,p0003,cen.bre,i0007,10:57,700,15,Jimena
V4,2009,2009-11-09,zuc.pun,p0003,col.cog,i0169,10:54:00,500,1,Rocio
V1,2009,2009-11-09,zuc.pun,p0003,cen.bre,i0007,12:14:00,400,3,Rocio
V1,2010,2010-12-10,zuc.pun,p0003,syr.sp1,i0045,11:11,4,1,silvia
V1,2006,2006-11-13,zuc.pun,p0003,api.mel,i0070,11:30,250,8,Jimena
V1,2009,2009-11-05,zuc.pun,p0003,cen.bre,i0007,12:06:00,160,26,Rocio
V4,2011,2011-11-04,zuc.pun,p0003,col.bre,i0019,11:49,700,1,nachu
V4,2008,2008-11-18,zuc.pun,p0003,api.mel,i0070,12:04:00,1200,2,Nachu
V1,2009,2009-11-18,zuc.pun,p0003,epi.sp,i0145,10:16:00,420,1,Rocio
V1,2010,2010-11-26,zuc.pun,p0003,mes.jen,i0011,12:32:00,90,1,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,api.mel,i0070,09:33,200,3,enzo
V1,2011,2011-11-04,zuc.pun,p0003,chi.sp1,i0033,09:35,110,1,silvia
V3,2006,2006-11-20,zuc.pun,p0003,NA,NA,13:40,25,0,Beni
V1,2008,2008-11-04,zuc.pun,p0003,col.lyc,i0170,08:31:00,1200,2,Nachu
V1,2010,2010-12-03,zuc.pun,p0003,cen.bre,i0007,11:44,20,4,silvia
V1,2008,2008-11-04,zuc.pun,p0003,col.lyc,i0170,08:31:00,1200,1,Nachu
V1,2009,2009-11-25,zuc.pun,p0003,meg.C,i0140,12:36:00,2640,1,nachu
V1,2010,2010-11-26,zuc.pun,p0003,cen.bre,i0007,12:32:00,90,2,Nachu
V1,2008,2008-11-11,zuc.pun,p0003,ant.rub,i0108,10:19:00,2000,1,Nachu
V4,2011,2011-11-08,zuc.pun,p0003,aug.sp,i0228,09:26,400,1,nachu
V4,2011,2011-11-01,zuc.pun,p0003,xyl.ord,i0001,10:16,500,42,nachu
V1,2009,2009-11-05,zuc.pun,p0003,cen.bre,i0007,09:41:00,90,9,Belen
V4,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,13:06,700,1,nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:15,400,4,nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,09:33,200,4,enzo
V1,2009,2009-11-05,zuc.pun,p0003,col.cog,i0169,11:26:00,90,1,Nachu
V1,2009,2009-11-25,zuc.pun,p0003,xyl.spl,i0094,13:17:00,40,2,Belen
V1,2011,2011-11-18,zuc.pun,p0003,pse.sp,i0167,13:21,300,3,diego
V4,2008,2008-10-31,zuc.pun,p0003,zet.sp1,i0037,11:12:00,300,1,Nachu
V4,2009,2009-10-28,zuc.pun,p0003,col.cog,i0169,09:56:00,90,1,nachu
V3,2006,2006-11-13,zuc.pun,p0003,NA,NA,08:15,350,0,Erica
V1,2008,2008-11-04,zuc.pun,p0003,amm.sp1,i0126,08:31:00,1200,2,Nachu
V1,2010,2010-11-26,zuc.pun,p0003,sva.zeb,i0110,11:52:00,2000,4,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,cop.ari,i0044,10:35,100,5,enzo
V4,2008,2008-10-31,zuc.pun,p0003,sva.zeb,i0110,10:20:00,1000,1,Nachu
V4,2008,2008-10-31,zuc.pun,p0003,sva.zeb,i0110,11:12:00,300,1,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,pse.sp,i0167,09:35,110,1,silvia
V1,2009,2009-11-05,zuc.pun,p0003,cen.bre,i0007,09:52:00,225,30,Rocio
V4,2011,2011-11-08,zuc.pun,p0003,zet.sp1,i0037,10:21,100,4,enzo
V4,2010,2010-11-26,zuc.pun,p0003,cop.ari,i0044,8:31:00,900,1,Nachu
V4,2009,2009-11-23,zuc.pun,p0003,bom.opi,i0002,10:10:00,200,15,rocio
V4,2010,2010-12-10,zuc.pun,p0003,sva.zeb,i0110,8:26,60,1,nachu
