"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado"
"Achalarus lycidas","M_062","Achalarus.lycidas","Commelinaceae","Tradescantia","Tradescantia subaspera var. subaspera",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Commelinaceae","Tradescantia","Tradescantia virginiana",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Euphorbiaceae","Euphorbia","Euphorbia nutans",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Fabaceae","Tephrosia","Tephrosia virginiana",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Hydrophyllaceae","Hydrophyllum","Hydrophyllum virginianum",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Lamiaceae","Teucrium","Teucrium canadense",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Malvaceae","Tilia","Tilia americana",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Staphyleaceae","Staphylea","Staphylea trifolia",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas",NA,NA,"Campanula americana",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas",NA,NA,"Sebatia angularis",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas",NA,NA,"Steironema quadriflorum",1,1,NA,NA,"Achalarus lycidas"
"Achyra similalis","M_072","Achyra.similalis","Rhamnaceae","Colletia","Colletia paradoxa",1,1,NA,NA,"Achyra similalis"
"Achyra similalis","M_072","Achyra.similalis",NA,NA,"Chrysanthemum leucanthemum",1,1,NA,NA,"Achyra similalis"
"Aclastus sp1 M PL 009","M_009","Aclastus.sp1.M.PL.009","Ericaceae","Rhododendron","Rhododendron lapponicum",1,1,NA,NA,"Aclastus sp1 M PL 009"
"Aclastus sp1 M PL 009","M_009","Aclastus.sp1.M.PL.009","Fabaceae","Astragalus","Astragalus alpinus",1,1,NA,NA,"Aclastus sp1 M PL 009"
"Aclastus sp1 M PL 009","M_009","Aclastus.sp1.M.PL.009","Rosaceae","Potentilla","Potentilla crantzii",1,1,NA,NA,"Aclastus sp1 M PL 009"
"Aclastus sp1 M PL 009","M_009","Aclastus.sp1.M.PL.009","Salicaceae","Salix","Salix lanata",1,1,NA,NA,"Aclastus sp1 M PL 009"
"Aclastus sp1 M PL 009","M_009","Aclastus.sp1.M.PL.009","Saxifragaceae","Saxifraga","Saxifraga oppositifolia",1,1,NA,NA,"Aclastus sp1 M PL 009"
"Aclastus sp2 M PL 009","M_009","Aclastus.sp2.M.PL.009","Fabaceae","Astragalus","Astragalus alpinus",1,1,NA,NA,"Aclastus sp2 M PL 009"
"Aclastus sp2 M PL 009","M_009","Aclastus.sp2.M.PL.009","Orobanchaceae","Bartsia","Bartsia alpina",1,1,NA,NA,"Aclastus sp2 M PL 009"
"Aclonempis longipes","M_049","Aclonempis.longipes","Geraniaceae","Geranium","Geranium robertianum",1,1,NA,NA,"Aclonempis longipes"
"Aclonempis longipes","M_049","Aclonempis.longipes","Ranunculaceae","Ranunculus","Ranunculus flammula",1,1,NA,NA,"Aclonempis longipes"
"Acmaeodera bipunctata","M_015","Acmaeodera.bipunctata","Asteraceae","Hypochaeris","Hypochaeris achyrophorus",1,1,NA,NA,"Acmaeodera bipunctata"
"Acmaeodera bipunctata","M_015","Acmaeodera.bipunctata","Cistaceae","Cistus","Cistus parviflorus",1,1,NA,NA,"Acmaeodera bipunctata"
"Acmaeodera bipunctata","M_015","Acmaeodera.bipunctata","Cistaceae","Fumana","Fumana thymifolia",1,1,NA,NA,"Acmaeodera bipunctata"
"Acmaeodera bipunctata","M_015","Acmaeodera.bipunctata","Hypericaceae","Hypericum","Hypericum triquetrifolium",1,1,NA,NA,"Acmaeodera bipunctata"
"Acmaeodera boryi","M_015","Acmaeodera.boryi","Apiaceae","Daucus","Daucus guttatus",1,1,NA,NA,"Acmaeodera boryi"
"Acmaeodera brevipes","M_015","Acmaeodera.brevipes","Cistaceae","Fumana","Fumana thymifolia",1,1,NA,NA,"Acmaeodera brevipes"
"Acmaeodera brevipes","M_015","Acmaeodera.brevipes","Convolvulaceae","Convolvulus","Convolvulus althaeoides",1,1,NA,NA,"Acmaeodera brevipes"
"Acmaeodera brevipes","M_015","Acmaeodera.brevipes","Convolvulaceae","Convolvulus","Convolvulus cantabrica",1,1,NA,NA,"Acmaeodera brevipes"
"Acmaeodera brevipes","M_015","Acmaeodera.brevipes","Hypericaceae","Hypericum","Hypericum triquetrifolium",1,1,NA,NA,"Acmaeodera brevipes"
"Acmaeodera cisti","M_012","Acmaeodera.cisti","Asteraceae","Sonchus","Sonchus ortunoi",1,1,NA,NA,"Acmaeodera cisti"
"Acmaeodera culta","M_062","Acmaeodera.culta","Amaranthaceae","Amaranthus","Amaranthus spinosus",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Apiaceae","Erigenia","Erigenia bulbosa",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Apocynaceae","Apocynum","Apocynum androsaemifolium",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Apocynaceae","Asclepias","Asclepias purpurascens",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Apocynaceae","Asclepias","Asclepias tuberosa",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Araceae","Arisaema","Arisaema triphyllum",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Asteraceae","Anacias","Anacis palmata",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Asteraceae","Antennaria","Antennaria plantaginifolia",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Asteraceae","Euthamia","Euthamia graminifolia",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Asteraceae","Symphyotrichum","Symphyotrichum boreale",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Asteraceae","Symphyotrichum","Symphyotrichum novae-angliae",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Boraginaceae","Ellisia","Ellisia nyctelea",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Brassicaceae","Arabis","Borodinia dentata",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Caprifoliaceae","Dipsacus","Dipsacus fullonum",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Convolvulaceae","Cuscuta","Cuscuta glomerata",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Fabaceae","Dalea","Dalea candida",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Lamiaceae","Agastache","Agastache scrophulariifolia",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Lythraceae","Cuphea","Cuphea viscosissima ",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Phrymaceae","Phryma","Phryma leptostachya",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Ranunculaceae","Ranunculus","Ranunculus fascicularis",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Ranunculaceae","Ranunculus","Ranunculus septentrionalis",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Rubiaceae","Galium","Galium aparine",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta","Rubiaceae","Galium","Galium trifidum",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta",NA,NA,"Actea alba",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta",NA,NA,"Erigeron ramosus",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera culta","M_062","Acmaeodera.culta",NA,NA,"Ludvigia polycarpa",1,1,NA,NA,"Acmaeodera culta"
"Acmaeodera pulchella","M_062","Acmaeodera.pulchella","Verbenaceae","Verbena","Verbena hastata",1,1,NA,NA,"Acmaeodera pulchella"
"Acmaeodera pulchella","M_062","Acmaeodera.pulchella","Vitaceae","Vitis","Vitis vulpina",1,1,NA,NA,"Acmaeodera pulchella"
"Acmaeodera pulchella","M_062","Acmaeodera.pulchella",NA,NA,"Verbena angustifolia",1,1,NA,NA,"Acmaeodera pulchella"
"Acmaeodera pulchella","M_062","Acmaeodera.pulchella",NA,NA,"Verbena urticaefolia",1,1,NA,NA,"Acmaeodera pulchella"
"Acmaeodera sp1 M PL 016","M_016","Acmaeodera.sp1.M.PL.016","Cistaceae","Cistus","Cistus halimifolius subsp. halimifolius",1,1,NA,NA,"Acmaeodera sp1 M PL 016"
"Acmaeodera sp1 M PL 016","M_016","Acmaeodera.sp1.M.PL.016",NA,NA,"Helichrysum picardii",1,1,NA,NA,"Acmaeodera sp1 M PL 016"
"Acmaeops directa","M_062","Acmaeops.directa","Apiaceae","Polytaenia","Polytaenia nuttallii",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Asteraceae","Silphium","Silphium integrifolium",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Convolvulaceae","Ipomoea","Ipomoea pandurata",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Convolvulaceae","Ipomoea","Ipomoea purpurea",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Fabaceae","Orbexilum","Orbexilum onobrychis",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Hypericaceae","Hypericum","Hypericum ascyron",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Hypericaceae","Hypericum","Hypericum punctatum",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Lythraceae","Lythrum","Lythrum alatum",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Malvaceae","Hibiscus","Hibiscus moscheutos subsp. lasiocarpos",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Primulaceae","Samolus","Samolus parviflorus",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa","Solanaceae","Physalis","Physalis longifolia var. subglabrata",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa",NA,NA,"Myosotis virginica",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa",NA,NA,"Philadelphus grandiflorus",1,1,NA,NA,"Acmaeops directa"
"Acmaeops directa","M_062","Acmaeops.directa",NA,NA,"Psedera quinquefolia",1,1,NA,NA,"Acmaeops directa"
"Acmaeops longicornis","M_005","Acmaeops.longicornis","Asteraceae","Cirsium","Cirsium hookerianum",1,1,NA,NA,"Acmaeops longicornis"
"Acmaeops longicornis","M_005","Acmaeops.longicornis","Boraginaceae","Mertensia","Mertensia sibirica",1,1,NA,NA,"Acmaeops longicornis"
"Acmaeops longicornis","M_005","Acmaeops.longicornis","Rosaceae","Prunus","Prunus virginiana var. demissa",1,1,NA,NA,"Acmaeops longicornis"
"Acmaeops longicornis","M_005","Acmaeops.longicornis","Rosaceae","Rosa","Rosa acicularis",1,1,NA,NA,"Acmaeops longicornis"
"Acmaeops longicornis","M_005","Acmaeops.longicornis","Rosaceae","Rubus","Rubus deliciosus",1,1,NA,NA,"Acmaeops longicornis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Alismataceae","Alisma","Alisma plantago-aquatica",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Apocynaceae","Asclepias","Asclepias sullivantii",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Asteraceae","Ambrosia","Ambrosia trifida",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Asteraceae","Arctium","Arctium minus",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Asteraceae","Cirsium","Cirsium pumilum",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Asteraceae","Solidago","Solidago ulmifolia",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Asteraceae","Symphyotrichum","Symphyotrichum boreale",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Brassicaceae","Planodes","Planodes virginicum",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Caryophyllaceae","Stellaria","Stellaria media",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Haloragaceae","Stellaria","Stellaria media",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Malvaceae","Abutilon","Abutilon theophrasti",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Malvaceae","Hibiscus","Hibiscus moscheutos subsp. lasiocarpos",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Ranunculaceae","Clematis","Clematis virginiana",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis","Ranunculaceae","Thalictrum","Thalictrum thalictroides",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis",NA,NA,"Amphicarpa pitcheri",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops nigripennis","M_062","Acmaeops.nigripennis",NA,NA,"Polygonum scandens",1,1,NA,NA,"Acmaeops nigripennis"
"Acmaeops pratensis","M_005","Acmaeops.pratensis","Rosaceae","Prunus","Prunus virginiana var. demissa",1,1,NA,NA,"Acmaeops pratensis"
"Acmaeops pratensis","M_005","Acmaeops.pratensis","Rosaceae","Rosa","Rosa acicularis",1,1,NA,NA,"Acmaeops pratensis"
"Acmaeops pratensis","M_005","Acmaeops.pratensis","Rosaceae","Rubus","Rubus deliciosus",1,1,NA,NA,"Acmaeops pratensis"
"Acmaeopsoides rufula","M_004","Acmaeopsoides.rufula","Cornaceae","Cornus","Cornus canadensis",1,1,NA,NA,"Acmaeopsoides rufula"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Agastache","Agastache scrophulariifolia",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Glechoma","Glechoma hederacea",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Hedeoma","Hedeoma pulegioides",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Apiaceae","Polytaenia","Polytaenia nuttallii",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Asteraceae","Helianthus","Helianthus strumosus",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Asteraceae","Lactuca","Lactuca canadensis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Asteraceae","Solidago","Solidago nemoralis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Asteraceae","Solidago","Solidago speciosa",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Campanulaceae","Lobelia","Lobelia inflata",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Caprifoliaceae","Lonicera","Lonicera reticulata",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Convolvulaceae","Ipomoea","Ipomoea pandurata",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Fabaceae","Robinia","Robinia pseudoacacia",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Hydrangeaceae","Hydrangea","Hydrangea arborescens",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Hypoxidaceae","Hypoxis","Hypoxis hirsuta",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Leonurus","Leonurus cardiaca",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Monarda","Monarda bradburiana",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Pycnanthemum","Pycnanthemum verticillatum var. pilosum",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Lamiaceae","Pycnanthemum","Pycnanthemum virginianum",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Martyniaceae","Proboscidea","Proboscidea louisianica subsp. louisianica",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Phytolaccaceae","Phytolacca","Phytolacca americana",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Portulacaceae","Portulaca","Portulaca oleracea",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Ranunculaceae","Myosurus","Myosurus minimus",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Ranunculaceae","Ranunculus","Ranunculus fascicularis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Ranunculaceae","Ranunculus","Ranunculus septentrionalis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Amelanchier","Amelanchier canadensis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Gillenia","Gillenia stipulata",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Malus","Malus coronaria",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Prunus","Prunus americana",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Rosa","Rosa carolina subsp. carolina",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Rosa","Rosa setigera",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Rosaceae","Rubus","Rubus canadensis",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Salicaceae","Populus","Populus tremuloides",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Saxifragaceae","Heuchera","Heuchera americana var. hispida",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Solanaceae","Physalis","Physalis longifolia var. subglabrata",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Solanaceae","Solanum","Solanum nigrum",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta","Verbenaceae","Lantana","Lantana camara",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta",NA,NA,"Gerardia purpurea",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta",NA,NA,"Gerardia tenuifolia",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta",NA,NA,"Lobelia cardinalis x siphilitica",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta",NA,NA,"Myosotis virginica",1,1,NA,NA,"Acontia candefacta"
"Acontia candefacta","M_062","Acontia.candefacta",NA,NA,"Nymphaea advena",1,1,NA,NA,"Acontia candefacta"
"Acopsis viridicans","M_060","Acopsis.viridicans","Asteraceae","Helichrysum","Helichrysum proteoides",1,1,NA,NA,"Acopsis viridicans"
"Acopsis viridicans","M_060","Acopsis.viridicans","Asteraceae","Psiadia","Psiadia terebinthina",1,1,NA,NA,"Acopsis viridicans"
"Acopsis viridicans","M_060","Acopsis.viridicans","Euphorbiaceae","Claoxylon","Claoxylon linostachys",1,1,NA,NA,"Acopsis viridicans"
"Acrobasis porphyrella","M_016","Acrobasis.porphyrella","Thymelaeaceae","Daphne","Daphne gnidium",1,1,NA,NA,"Acrobasis porphyrella"
"Actea sp1 M PL 013","M_013","Actea.sp1.M.PL.013","Apocynaceae","Xysmalobium","Xysmalobium gerrardii",1,1,NA,NA,"Actea sp1 M PL 013"
"Acteniceromorphus nipponensis","M_021","Acteniceromorphus.nipponensis","Celastraceae","Euonymus","Euonymus alatus",1,1,NA,NA,"Acteniceromorphus nipponensis"
"Actina jezoensis","M_021","Actina.jezoensis","Hydrangeaceae","Hydrangea","Hydrangea hirta",1,1,NA,NA,"Actina jezoensis"
"Actina jezoensis","M_021","Actina.jezoensis",NA,NA,"Anthriscus aemula",1,1,NA,NA,"Actina jezoensis"
"Actina jezoensis","M_057","Actina.jezoensis","Rosaceae","Rubus","Rubus crataegifolius",1,1,NA,NA,"Actina jezoensis"
"Actinoptera mamulae","M_015","Actinoptera.mamulae","Asteraceae","Helichrysum","Helichrysum stoechas",1,1,NA,NA,"Actinoptera mamulae"
"Actinoptera mamulae","M_015","Actinoptera.mamulae","Asteraceae","Phagnalon","Phagnalon graecum",1,1,NA,NA,"Actinoptera mamulae"
"Adalia deficiens","M_034","Adalia.deficiens","Myrtaceae","Amomyrtus","Amomyrtus meli",1,1,NA,NA,"Adalia deficiens"
"Adalia deficiens","M_034","Adalia.deficiens","Myrtaceae","Myrceugenia","Myrceugenia planipes",1,1,NA,NA,"Adalia deficiens"
"Adela ausralis","M_015","Adela.ausralis","Apiaceae","Scandix","Scandix australis",1,1,NA,NA,"Adela ausralis"
"Adela ausralis","M_015","Adela.ausralis","Asteraceae","Phagnalon","Phagnalon graecum",1,1,NA,NA,"Adela ausralis"
"Adela ausralis","M_015","Adela.ausralis","Brassicaceae","Malcolmia","Malcolmia chia",1,1,NA,NA,"Adela ausralis"
"Adela ausralis","M_015","Adela.ausralis","Euphorbiaceae","Euphorbia","Euphorbia acanthothamnos",1,1,NA,NA,"Adela ausralis"
"Adela cuprella","M_047","Adela.cuprella","Salicaceae","Salix","Salix repens",1,1,NA,NA,"Adela cuprella"
"Adela purpurea","M_033","Adela.purpurea","Salicaceae","Salix","Salix fragilis",1,1,NA,NA,"Adela purpurea"
"Adela rufimatrella","M_006","Adela.rufimatrella","Asteraceae","Leucanthemum","Leucanthemum vulgare",1,1,NA,NA,"Adela rufimatrella"
"Adelpha abyla","M_040","Adelpha.abyla",NA,NA,"Dendropanax arboreus ",1,1,NA,NA,"Adelpha abyla"
"Adelpha abyla","M_040","Adelpha.abyla",NA,NA,"Unidentified sp13 M PL 040",1,1,NA,NA,"Adelpha abyla"
"Adelphocoris demissus","M_044","Adelphocoris.demissus","Lardizabalaceae","Stauntonia","Stauntonia hexaphylla",1,1,NA,NA,"Adelphocoris demissus"
"Adelphocoris demissus","M_044","Adelphocoris.demissus","Styracaceae","Styrax","Styrax japonicus",1,1,NA,NA,"Adelphocoris demissus"
"Adelphocoris rubripes","M_056","Adelphocoris.rubripes","Hydrangeaceae","Philadelphus","Philadelphus satsumi",1,1,NA,NA,"Adelphocoris rubripes"
"Adelphocoris rubripes","M_056","Adelphocoris.rubripes",NA,NA,"Cimicifuga simplex",1,1,NA,NA,"Adelphocoris rubripes"
"Adelphocoris rubripes","M_056","Adelphocoris.rubripes",NA,NA,"Viburnum opulus ",1,1,NA,NA,"Adelphocoris rubripes"
