"genero","especie","orden","familia"
"Amazilia","Amazilia tovasi",NA,NA
"Amazilia","Amazilia versicolor",NA,NA
"Amblycerus","Amblycerus piurae","Coleoptera","Chrysomelidae"
"Amblypsilopus","Amblypsilopus sp1 M PL 092","Diptera","Dolichopodidae"
"Amblyscirtes","Amblyscirtes samoset","Lepidoptera","Hesperiidae"
"Amblyteles","Amblyteles armatorius","Hymenoptera","Ichneumonidae"
"Amegilla","Amegilla walshii","Hymenoptera","Apidae"
"Amegilla","Amegilla garrula","Hymenoptera","Apidae"
"Amegilla","Amegilla sp1 M PL 050","Hymenoptera","Apidae"
"Amegilla","Amegilla fasciata","Hymenoptera","Apidae"
"Amegilla","Amegilla quadrifasciata","Hymenoptera","Apidae"
"Amegilla","Amegilla ochroleuca","Hymenoptera","Apidae"
"Amegilla","Amegilla dulcifera subflavescens","Hymenoptera","Apidae"
"Amegilla","Amegilla sp1 M PL 058","Hymenoptera","Apidae"
"Amegilla","Amegilla albigena","Hymenoptera","Apidae"
"Amegilla","Amegilla canifrons","Hymenoptera","Apidae"
"Amegilla","Amegilla savignyi","Hymenoptera","Apidae"
"Amictus","Amictus pictus","Diptera","Bombyliidae"
"Amictus","Amictus validus","Diptera","Bombyliidae"
"Ammatomus","Ammatomus rogenhoferi","Hymenoptera","Crabronidae"
"Ammobates","Ammobates oraniensis","Hymenoptera","Apidae"
"Ammobia","Ammobia ichneumonea",NA,NA
"Ammobia","Ammobia nuda",NA,NA
"Ammobia","Ammobia pennsylvanica",NA,NA
"Ammophila","Ammophila clavus","Hymenoptera","Sphecidae"
"Ammophila","Ammophila sp1 M PL 023","Hymenoptera","Sphecidae"
"Ammophila","Ammophila pubescens","Hymenoptera","Sphecidae"
"Ammophila","Ammophila infesta","Hymenoptera","Sphecidae"
"Ammophila","Ammophila sabulosa","Hymenoptera","Sphecidae"
"Ammophila","Ammophila heydeni","Hymenoptera","Sphecidae"
"Ammophorus","Ammophorus sp1 M PL 026","Coleoptera","Tenebrionidae"
"Amobia","Amobia distincta","Diptera","Sarcophagidae"
"Ampedus","Ampedus vestitdus","Coleoptera","Elateridae"
"Ampedus","Ampedus aritai","Coleoptera","Elateridae"
"Ampedus","Ampedus amamiensis","Coleoptera","Elateridae"
"Ampelophaga","Ampelophaga rubiginosa","Lepidoptera","Sphingidae"
"Amphicoma","Amphicoma lasserei","Coleoptera","Glaphyridae"
"Amphicoma","Amphicoma distincta","Coleoptera","Glaphyridae"
"Amphicoma","Amphicoma apicalis","Coleoptera","Glaphyridae"
"Anacrabro","Anacrabro ocellatus","Hymenoptera","Crabronidae"
"Anadastus","Anadastus melanosternus","Coleoptera","Erotylidae"
"Anaglyptus","Anaglyptus niponensis","Coleoptera","Cerambycidae"
"Anaria","Anaria funebris",NA,NA
"Anarta","Anarta sp1 M PL 009","Lepidoptera","Noctuidae"
"Anarta","Anarta myrtilli","Lepidoptera","Noctuidae"
"Anarta","Anarta sp1 M PL 047","Lepidoptera","Noctuidae"
"Anarta","Anarta richardsoni","Lepidoptera","Noctuidae"
"Anartia","Anartia jatrophae","Lepidoptera","Nymphalidae"
"Anaspis","Anaspis proteus","Coleoptera","Scraptiidae"
"Anaspis","Anaspis sp2 M PL 053","Coleoptera","Scraptiidae"
"Anaspis","Anaspis funagata","Coleoptera","Scraptiidae"
"Anaspis","Anaspis flava","Coleoptera","Scraptiidae"
"Anaspis","Anaspis frontalis","Coleoptera","Scraptiidae"
"Anaspis","Anaspis rufilabris","Coleoptera","Scraptiidae"
"Anaspis","Anaspis shibatai","Coleoptera","Scraptiidae"
"Anaspis","Anaspis sp1 M PL 053","Coleoptera","Scraptiidae"
"Anastoechus","Anastoechus latifrons","Diptera","Bombyliidae"
"Anastrangalis","Anastrangalis acotodes",NA,NA
"Ancistrocerus","Ancistrocerus melanocerus","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus sp1 M PL 004","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus unifasciatus","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus tigris","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus sp1 M PL 005","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus longispinosus hellenicus","Hymenoptera","Vespidae"
"Ancistrocerus","Ancistrocerus catskillensis","Hymenoptera","Vespidae"
"Ancyloxypha","Ancyloxypha numitor","Lepidoptera","Hesperiidae"
"Andinus","Andinus venustus","Lepidoptera","Hesperiidae"
"Andrallus","Andrallus sp1 M PL 044","Hemiptera","Pentatomidae"
"Andreana","Andreana sp1 M PL 046",NA,NA
"Andrena","Andrena schmiedeknechti","Hymenoptera","Andrenidae"
"Andrena","Andrena erythrogastra","Hymenoptera","Andrenidae"
"Andrena","Andrena rugothorace","Hymenoptera","Andrenidae"
"Andrena","Andrena schulzi","Hymenoptera","Andrenidae"
"Andrena","Andrena sayi","Hymenoptera","Andrenidae"
"Andrena","Andrena yamamoto","Hymenoptera","Andrenidae"
"Andrena","Andrena barbilabris","Hymenoptera","Andrenidae"
"Andrena","Andrena salicacea","Hymenoptera","Andrenidae"
"Andrena","Andrena benefica","Hymenoptera","Andrenidae"
"Andrena","Andrena athenensis","Hymenoptera","Andrenidae"
"Andrena","Andrena bicolor","Hymenoptera","Andrenidae"
"Andrena","Andrena banksi","Hymenoptera","Andrenidae"
"Andrena","Andrena madronitens","Hymenoptera","Andrenidae"
"Andrena","Andrena perplexa","Hymenoptera","Andrenidae"
"Andrena","Andrena nitida","Hymenoptera","Andrenidae"
"Andrena","Andrena dunningi","Hymenoptera","Andrenidae"
"Andrena","Andrena canohirta","Hymenoptera","Andrenidae"
"Andrena","Andrena haemorrhoa japonibia","Hymenoptera","Andrenidae"
"Andrena","Andrena regularis","Hymenoptera","Andrenidae"
"Andrena","Andrena tomora","Hymenoptera","Andrenidae"
"Andrena","Andrena w scripta","Hymenoptera","Andrenidae"
"Andrena","Andrena stellaria","Hymenoptera","Andrenidae"
"Andrena","Andrena vicina","Hymenoptera","Andrenidae"
"Andrena","Andrena japonica","Hymenoptera","Andrenidae"
"Andrena","Andrena flavipes","Hymenoptera","Andrenidae"
"Andrena","Andrena assimilis","Hymenoptera","Andrenidae"
"Andrena","Andrena salicis","Hymenoptera","Andrenidae"
"Andrena","Andrena kriechbaumeri","Hymenoptera","Andrenidae"
"Andrena","Andrena mocsaryi","Hymenoptera","Andrenidae"
"Andrena","Andrena ziziaeformis","Hymenoptera","Andrenidae"
"Andrena","Andrena erigeniae","Hymenoptera","Andrenidae"
"Andrena","Andrena simontornyella","Hymenoptera","Andrenidae"
"Andrena","Andrena scita","Hymenoptera","Andrenidae"
"Andrena","Andrena togashii","Hymenoptera","Andrenidae"
"Andrena","Andrena macoupinensis","Hymenoptera","Andrenidae"
"Andrena","Andrena gallinula","Hymenoptera","Andrenidae"
"Andrena","Andrena amamiensis","Hymenoptera","Andrenidae"
"Andrena","Andrena concinna","Hymenoptera","Andrenidae"
"Andrena","Andrena crataegi","Hymenoptera","Andrenidae"
"Andrena","Andrena rufosignata","Hymenoptera","Andrenidae"
"Andrena","Andrena rugosa","Hymenoptera","Andrenidae"
"Andrena","Andrena wilkella","Hymenoptera","Andrenidae"
"Andrena","Andrena edwiniae","Hymenoptera","Andrenidae"
"Andrena","Andrena mucronata","Hymenoptera","Andrenidae"
"Andrena","Andrena yamato","Hymenoptera","Andrenidae"
"Andrena","Andrena haemorrhoa","Hymenoptera","Andrenidae"
"Andrena","Andrena grossella","Hymenoptera","Andrenidae"
"Andrena","Andrena bimaculata","Hymenoptera","Andrenidae"
"Andrena","Andrena ishiharai","Hymenoptera","Andrenidae"
"Andrena","Andrena hattorfiana","Hymenoptera","Andrenidae"
"Andrena","Andrena irgeniae","Hymenoptera","Andrenidae"
"Andrena","Andrena arabis","Hymenoptera","Andrenidae"
"Andrena","Andrena apacheorum","Hymenoptera","Andrenidae"
"Andrena","Andrena dentata","Hymenoptera","Andrenidae"
"Andrena","Andrena parathoracina","Hymenoptera","Andrenidae"
"Andrena","Andrena fulva","Hymenoptera","Andrenidae"
"Andrena","Andrena parathoracica","Hymenoptera","Andrenidae"
"Andrena","Andrena tridens","Hymenoptera","Andrenidae"
"Andrena","Andrena edashigei","Hymenoptera","Andrenidae"
"Andrena","Andrena sp2 M PL 015","Hymenoptera","Andrenidae"
"Andrena","Andrena lewisi","Hymenoptera","Andrenidae"
"Andrena","Andrena erythronii","Hymenoptera","Andrenidae"
"Andrena","Andrena longitibialis","Hymenoptera","Andrenidae"
"Andrena","Andrena vulcana","Hymenoptera","Andrenidae"
"Andrena","Andrena imitatrix","Hymenoptera","Andrenidae"
"Andrena","Andrena cressoni","Hymenoptera","Andrenidae"
"Andrena","Andrena prunorum","Hymenoptera","Andrenidae"
"Andrena","Andrena pruni","Hymenoptera","Andrenidae"
"Andrena","Andrena lapponica","Hymenoptera","Andrenidae"
"Andrena","Andrena mitakensis","Hymenoptera","Andrenidae"
"Andrena","Andrena wollastoni","Hymenoptera","Andrenidae"
"Andrena","Andrena miserabilis","Hymenoptera","Andrenidae"
"Andrena","Andrena truncatilabris","Hymenoptera","Andrenidae"
"Andrena","Andrena gardineri","Hymenoptera","Andrenidae"
"Andrena","Andrena bicolorata","Hymenoptera","Andrenidae"
"Andrena","Andrena spiraeana","Hymenoptera","Andrenidae"
"Andrena","Andrena brenihirtiscopa","Hymenoptera","Andrenidae"
"Andrena","Andrena protomias","Hymenoptera","Andrenidae"
"Andrena","Andrena watasei","Hymenoptera","Andrenidae"
"Andrena","Andrena distinguenda","Hymenoptera","Andrenidae"
"Andrena","Andrena lamiana","Hymenoptera","Andrenidae"
"Andrena","Andrena forbesii","Hymenoptera","Andrenidae"
"Andrena","Andrena kaguya","Hymenoptera","Andrenidae"
"Andrena","Andrena sp3 M PL 015","Hymenoptera","Andrenidae"
"Andrena","Andrena illinoensis","Hymenoptera","Andrenidae"
"Andrena","Andrena fulvitarsis","Hymenoptera","Andrenidae"
"Andrena","Andrena opacifovea","Hymenoptera","Andrenidae"
"Andrena","Andrena carlini","Hymenoptera","Andrenidae"
"Andrena","Andrena yamamotoi","Hymenoptera","Andrenidae"
"Andrena","Andrena chrysosceles","Hymenoptera","Andrenidae"
"Andrena","Andrena villipes","Hymenoptera","Andrenidae"
"Andrena","Andrena cinereophila","Hymenoptera","Andrenidae"
"Andrena","Andrena washingtoni","Hymenoptera","Andrenidae"
"Andrena","Andrena wheeleri","Hymenoptera","Andrenidae"
"Andrena","Andrena thomposinii","Hymenoptera","Andrenidae"
"Andrena","Andrena miyamotoi","Hymenoptera","Andrenidae"
"Andrena","Andrena thaspii","Hymenoptera","Andrenidae"
"Andrena","Andrena japonicum","Hymenoptera","Andrenidae"
"Andrena","Andrena abbreviata subsp. Osychniukae","Hymenoptera","Andrenidae"
"Andrena","Andrena mikado","Hymenoptera","Andrenidae"
"Andrena","Andrena geranii","Hymenoptera","Andrenidae"
"Andrena","Andrena imatrix","Hymenoptera","Andrenidae"
"Andrena","Andrena prostomias","Hymenoptera","Andrenidae"
"Andrena","Andrena aburana","Hymenoptera","Andrenidae"
"Andrena","Andrena ventricosa","Hymenoptera","Andrenidae"
"Andrena","Andrena clarkella","Hymenoptera","Andrenidae"
"Andrena","Andrena impunctata","Hymenoptera","Andrenidae"
"Andrena","Andrena miranda","Hymenoptera","Andrenidae"
"Andrena","Andrena Knuthi","Hymenoptera","Andrenidae"
"Andrena","Andrena minutula","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 058","Hymenoptera","Andrenidae"
"Andrena","Andrena mansonii","Hymenoptera","Andrenidae"
"Andrena","Andrena ceanothi","Hymenoptera","Andrenidae"
"Andrena","Andrena carolina","Hymenoptera","Andrenidae"
"Andrena","Andrena westensis","Hymenoptera","Andrenidae"
"Andrena","Andrena munutula","Hymenoptera","Andrenidae"
"Andrena","Andrena personata","Hymenoptera","Andrenidae"
"Andrena","Andrena brassicae","Hymenoptera","Andrenidae"
"Andrena","Andrena alleghaniensis","Hymenoptera","Andrenidae"
"Andrena","Andrena esakki","Hymenoptera","Andrenidae"
"Andrena","Andrena crassana","Hymenoptera","Andrenidae"
"Andrena","Andrena pilipes","Hymenoptera","Andrenidae"
"Andrena","Andrena panurgina","Hymenoptera","Andrenidae"
"Andrena","Andrena confederata","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 053","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 047","Hymenoptera","Andrenidae"
"Andrena","Andrena humilis","Hymenoptera","Andrenidae"
"Andrena","Andrena hyemala","Hymenoptera","Andrenidae"
"Andrena","Andrena oligolege","Hymenoptera","Andrenidae"
"Andrena","Andrena fuscipes","Hymenoptera","Andrenidae"
"Andrena","Andrena nivalis","Hymenoptera","Andrenidae"
"Andrena","Andrena opacifovea opacifovea","Hymenoptera","Andrenidae"
"Andrena","Andrena violae","Hymenoptera","Andrenidae"
"Andrena","Andrena mandibularis","Hymenoptera","Andrenidae"
"Andrena","Andrena sublevigata","Hymenoptera","Andrenidae"
"Andrena","Andrena melanochroa","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 032","Hymenoptera","Andrenidae"
"Andrena","Andrena panurgimorpha","Hymenoptera","Andrenidae"
"Andrena","Andrena caneae","Hymenoptera","Andrenidae"
"Andrena","Andrena nobilis","Hymenoptera","Andrenidae"
"Andrena","Andrena omogensis","Hymenoptera","Andrenidae"
"Andrena","Andrena nigrihirta","Hymenoptera","Andrenidae"
"Andrena","Andrena canadensis","Hymenoptera","Andrenidae"
"Andrena","Andrena combaella","Hymenoptera","Andrenidae"
"Andrena","Andrena platyparia","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 015","Hymenoptera","Andrenidae"
"Andrena","Andrena tarsata","Hymenoptera","Andrenidae"
"Andrena","Andrena nigroaenea","Hymenoptera","Andrenidae"
"Andrena","Andrena subopaca","Hymenoptera","Andrenidae"
"Andrena","Andrena oralis","Hymenoptera","Andrenidae"
"Andrena","Andrena okabei","Hymenoptera","Andrenidae"
"Andrena","Andrena nasonii","Hymenoptera","Andrenidae"
"Andrena","Andrena hispania","Hymenoptera","Andrenidae"
"Andrena","Andrena hilaris","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 016","Hymenoptera","Andrenidae"
"Andrena","Andrena tsukubana","Hymenoptera","Andrenidae"
"Andrena","Andrena akitsushimae","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 005","Hymenoptera","Andrenidae"
"Andrena","Andrena brevihirtiscopa","Hymenoptera","Andrenidae"
"Andrena","Andrena komachi","Hymenoptera","Andrenidae"
"Andrena","Andrena alfkenella","Hymenoptera","Andrenidae"
"Andrena","Andrena nubecula","Hymenoptera","Andrenidae"
"Andrena","Andrena nana","Hymenoptera","Andrenidae"
"Andrena","Andrena nothoscordi","Hymenoptera","Andrenidae"
"Andrena","Andrena hirashimai","Hymenoptera","Andrenidae"
"Andrena","Andrena nawai","Hymenoptera","Andrenidae"
"Andrena","Andrena nigrae","Hymenoptera","Andrenidae"
"Andrena","Andrena braccata","Hymenoptera","Andrenidae"
"Andrena","Andrena sigmundi","Hymenoptera","Andrenidae"
"Andrena","Andrena bradleyi","Hymenoptera","Andrenidae"
"Andrena","Andrena taraxaci","Hymenoptera","Andrenidae"
"Andrena","Andrena hikosana","Hymenoptera","Andrenidae"
"Andrena","Andrena halictoides","Hymenoptera","Andrenidae"
"Andrena","Andrena sp1 M PL 012","Hymenoptera","Andrenidae"
"Andrena","Andrena hesperia","Hymenoptera","Andrenidae"
"Andrena","Andrena hebes","Hymenoptera","Andrenidae"
"Andrena","Andrena optata","Hymenoptera","Andrenidae"
"Andronicus","Andronicus sp1 M PL 005",NA,NA
"Anechura","Anechura japonica","Dermaptera","Forficulidae"
"Angelasa","Angelasa nigriceps",NA,NA
"Angitia","Angitia obscura","Lepidoptera","Noctuidae"
"Anisolabis","Anisolabis maritima","Dermaptera","Anisolabididae"
"Anisostira","Anisostira rugipennis","Coleoptera","Tenebrionidae"
"Anolis","Anolis grahami",NA,NA
"Anolis","Anolis oculatus",NA,NA
"Anolis","Anolis sagrei",NA,NA
"Anomala","Anomala octiescoctata","Coleoptera","Scarabaeidae"
"Anomala","Anomala albopilosa","Coleoptera","Scarabaeidae"
"Anomalempis","Anomalempis sp1 M PL 044","Diptera","Brachystomatidae"
"Anomia","Anomia sp1 M PL 044",NA,NA
"Anomia","Anomia sp2 M PL 044",NA,NA
"Anoplius","Anoplius sp1 M PL 047","Hymenoptera","Pompilidae"
"Anoplius","Anoplius illinoensis","Hymenoptera","Pompilidae"
"Anoplius","Anoplius virginiensis","Hymenoptera","Pompilidae"
"Anoploderomorpha","Anoploderomorpha excavata","Coleoptera","Cerambycidae"
"Anoplolepis","Anoplolepis longipes","Hymenoptera","Formicidae"
"Anoptius","Anoptius eous",NA,NA
"Anornalempis","Anornalempis sp1 M PL 044",NA,NA
"Anosia","Anosia plexippus","Lepidoptera","Nymphalidae"
"Anostinus","Anostinus daimio",NA,NA
"Anosymia","Anosymia sp1 M PL 006",NA,NA
"Anothomyia","Anothomyia pluvialis",NA,NA
"Anoura","Anoura caudifer",NA,NA
"Anoura","Anoura geoffroyi",NA,NA
"Anterhynchium","Anterhynchium flavomarginatum micado","Hymenoptera","Eumenidae"
"Anthaxia","Anthaxia praeclara","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia reticulata","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia moya","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia parallela","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia Proteus","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia expansa","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia quadripunctata","Coleoptera","Buprestidae"
"Anthaxia","Anthaxia sp1 M PL 051","Coleoptera","Buprestidae"
