Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Cheilosia sp4 M_PL_053","Animals","Pollinator",1,1,1
"Cheilosia sp5 M_PL_053","Animals","Pollinator",1,1,1
"Chrysomela vigintipunctata","Animals","Pollinator",1,1,1
"Chrysopa sp1 M_PL_053","Animals","Pollinator",1,1,1
"Coelioxys sp1 M_PL_053","Animals","Pollinator",1,1,1
"Colletes perforator ","Animals","Pollinator",1,1,2
"Copromyza sp1 M_PL_053","Animals","Pollinator",1,1,1
"Crossocerus sp1 M_PL_053","Animals","Pollinator",1,1,1
"Cteniopinus hypocrita","Animals","Pollinator",1,1,1
"Dalopius tamui","Animals","Pollinator",2,2,1
"Delia sp1 M_PL_053","Animals","Pollinator",3,3,1
"Delia sp2 M_PL_053","Animals","Pollinator",1,1,1
"Delia sp3 M_PL_053","Animals","Pollinator",1,1,1
"Delia sp4 M_PL_053","Animals","Pollinator",1,1,1
"Delia sp5 M_PL_053","Animals","Pollinator",1,1,1
"Dideaides coquilletti","Animals","Pollinator",1,1,1
"Dinoptera minuta","Animals","Pollinator",1,1,2
"Diptera sp23 M_PL_053","Animals","Pollinator",1,1,1
"Drosophila sp1 M_PL_053","Animals","Pollinator",1,1,1
"Drosophila sp2 M_PL_053","Animals","Pollinator",1,1,1
"Ectinohoplia obducta ","Animals","Pollinator",1,1,4
"Epistrophe aino","Animals","Pollinator",1,1,1
"Episyrphus balteatus","Animals","Pollinator",1,1,17
"Epuraea bergeri","Animals","Pollinator",1,1,1
"Eristalis cerealis ","Animals","Pollinator",6,6,6
"Eristalis tenax","Animals","Pollinator",15,15,22
"Eucetonia pilifera","Animals","Pollinator",1,1,3
"Eumea sp1 M_PL_053","Animals","Pollinator",1,1,1
"Eumea sp2 M_PL_053","Animals","Pollinator",1,1,1
"Eumerus sp1 M_PL_053","Animals","Pollinator",1,1,1
"Eurychaeta sp1 M_PL_053","Animals","Pollinator",1,1,1
"Eusphalerum parallelym","Animals","Pollinator",5,5,1
"Euthyneura sp1 M_PL_053","Animals","Pollinator",3,3,1
"Exosoma flaviventre","Animals","Pollinator",1,1,1
"Fabriciana adippe","Animals","Pollinator",5,5,1
"Fabriciana nerippe","Animals","Pollinator",2,2,1
"Fischeria sp1 M_PL_053","Animals","Pollinator",1,1,1
"Formica japonica ","Animals","Pollinator",2,2,4
"Gambrinus sp1 M_PL_053","Animals","Pollinator",1,1,1
"Helophilus virgatus ","Animals","Pollinator",4,4,6
"Hesperomorpha hirsuta","Animals","Pollinator",1,1,1
"Himatium sp1 M_PL_053","Animals","Pollinator",2,2,1
"Homoneura sp1 M_PL_053","Animals","Pollinator",1,1,1
"Homoneura sp2 M_PL_053","Animals","Pollinator",1,1,1
"Hoplia moerens","Animals","Pollinator",2,2,2
"Hoplismenus sp1 M_PL_053","Animals","Pollinator",5,5,1
"Ichneumon sp1 M_PL_053","Animals","Pollinator",1,1,1
"Ichneumon sp2 M_PL_053","Animals","Pollinator",1,1,1
"Ivela auripes","Animals","Pollinator",1,1,2
"Lasioglossum apristum","Animals","Pollinator",2,2,4
"Lasioglossum baleicum","Animals","Pollinator",1,1,4
"Lasioglossum occidens","Animals","Pollinator",1,1,4
"Lasioglossum sibiriacum","Animals","Pollinator",2,2,4
"Lasioglossum sp1 M_PL_053","Animals","Pollinator",10,10,1
"Lasioglossum sp2 M_PL_053","Animals","Pollinator",8,8,1
"Lasioglossum sp3 M_PL_053","Animals","Pollinator",5,5,1
"Lasioglossum sp4 M_PL_053","Animals","Pollinator",4,4,1
"Lasioglossum sp5 M_PL_053","Animals","Pollinator",3,3,1
"Lasioglossum sp6 M_PL_053","Animals","Pollinator",1,1,1
"Lasioglossum sp7 M_PL_053","Animals","Pollinator",1,1,1
"Lasioglossum sp8 M_PL_053","Animals","Pollinator",1,1,1
"Lasiomma sp1 M_PL_053","Animals","Pollinator",1,1,1
"Linnaenya sp1 M_PL_053","Animals","Pollinator",1,1,1
"Liriomyza sp1 M_PL_053","Animals","Pollinator",1,1,1
"Lycaena phlaeas ","Animals","Pollinator",2,2,8
"Macroglossum bombylaus","Animals","Pollinator",1,1,1
"Macroglossum sp1 M_PL_053","Animals","Pollinator",1,1,1
"Macroglossum stellatarum","Animals","Pollinator",1,1,6
"Macrolagria robusticeps","Animals","Pollinator",1,1,1
"Maculinea teleius","Animals","Pollinator",1,1,1
"Manobidia nipponica","Animals","Pollinator",2,2,1
"Megacampsomeris grossa","Animals","Pollinator",2,2,1
"Megachile japonica","Animals","Pollinator",1,1,1
"Megachile remota","Animals","Pollinator",1,1,1
"Megachile tsurugensis ","Animals","Pollinator",2,2,6
"Meigenia sp1 M_PL_053","Animals","Pollinator",1,1,1
"Meigenia sp2 M_PL_053","Animals","Pollinator",1,1,1
"Melangyna sp1 M_PL_053","Animals","Pollinator",1,1,1
"Melanostoma scalare","Animals","Pollinator",6,6,12
"Meligethes sp1 M_PL_053","Animals","Pollinator",2,2,1
"Meliscaeva cinctella","Animals","Pollinator",1,1,6
"Metrioptera hime","Animals","Pollinator",1,1,1
"Mikadocantharis japonica","Animals","Pollinator",2,2,1
"Minois dryas","Animals","Pollinator",1,1,1
"Mordellistena sp1 M_PL_053","Animals","Pollinator",5,5,1
"Myrmica sp1 M_PL_053","Animals","Pollinator",2,2,1
"Neaitamus angusticornis","Animals","Pollinator",1,1,1
"Nemophora umbripennis","Animals","Pollinator",1,1,1
"Neope niphonica","Animals","Pollinator",1,1,1
"Neptis sappho","Animals","Pollinator",1,1,1
"Nomada asozuana","Animals","Pollinator",1,1,1
"Nomada diervillae","Animals","Pollinator",1,1,1
"Nomada japonica","Animals","Pollinator",1,1,2
"Nomada muinensis","Animals","Pollinator",1,1,1
"Nomada mutsuensis","Animals","Pollinator",1,1,1
"Nomada sp1 M_PL_053","Animals","Pollinator",1,1,1
"Nonarthra cyanea","Animals","Pollinator",7,7,1
"Ochlodes ochraceus","Animals","Pollinator",3,3,1
"Oedemeronia lucidicollis ","Animals","Pollinator",8,8,3
"Oxycetonia jucunda ","Animals","Pollinator",5,5,5
"Pachyprotasis sp1 M_PL_053","Animals","Pollinator",1,1,1
"Panorpa trizonata","Animals","Pollinator",2,2,1
"Papilio bianor","Animals","Pollinator",1,1,1
"Papilio machaon","Animals","Pollinator",4,4,3
"Paragus haemorrhous","Animals","Pollinator",1,1,4
"Paragus jozanus ","Animals","Pollinator",3,3,4
"Paragus quadrifasciatus","Animals","Pollinator",2,2,3
"Paraserica gricea","Animals","Pollinator",1,1,1
"Parnara guttata ","Animals","Pollinator",5,5,5
"Peribaea sp1 M_PL_053","Animals","Pollinator",7,7,1
"Phebellia sp1 M_PL_053","Animals","Pollinator",1,1,1
"Philopota nigroaenea ","Animals","Pollinator",5,5,4
"Phyllopertha diversa","Animals","Pollinator",1,1,1
"Phytobius sp1 M_PL_053","Animals","Pollinator",1,1,1
"Pidonia hylophila","Animals","Pollinator",1,1,1
"Pidonia piziloi","Animals","Pollinator",2,2,1
"Pieris melete","Animals","Pollinator",2,2,3
"Pipunculus sp1 M_PL_053","Animals","Pollinator",1,1,1
"Platycheirus clypeatus","Animals","Pollinator",2,2,2
"Platycheirus urakawensis","Animals","Pollinator",3,3,2
"Podabrus malthinoides","Animals","Pollinator",2,2,3
"Polytremis pellucida","Animals","Pollinator",2,2,2
"Popillia japonica ","Animals","Pollinator",2,2,4
"Priocnemis cyphonota","Animals","Pollinator",1,1,1
"Prosena siberita","Animals","Pollinator",1,1,2
"Prosena sp1 M_PL_053","Animals","Pollinator",3,3,1
"Prothemus ciusianus ","Animals","Pollinator",2,2,3
"Protichneumon sp1 M_PL_053","Animals","Pollinator",1,1,1
"Ravinia sp1 M_PL_053","Animals","Pollinator",1,1,1
"Rhinoncomimus sp1 M_PL_053","Animals","Pollinator",1,1,1
"Rhogogaster varipes","Animals","Pollinator",1,1,2
"Scaeva komabensis","Animals","Pollinator",2,2,1
"Scirpophaga sp1 M_PL_053","Animals","Pollinator",1,1,1
"Sepsis sp1 M_PL_053","Animals","Pollinator",1,1,1
"Siphona sp1 M_PL_053","Animals","Pollinator",3,3,1
"Sisyropa sp1 M_PL_053","Animals","Pollinator",1,1,1
"Sphaerophoria macrogaster ","Animals","Pollinator",4,4,5
"Sphaerophoria philanthus","Animals","Pollinator",16,16,2
"Stomorhina obsoleta ","Animals","Pollinator",6,6,3
"Sympetrum frequens","Animals","Pollinator",1,1,1
"Syrphus torvus","Animals","Pollinator",1,1,6
"Syrphus vitripernis","Animals","Pollinator",1,1,1
"Tachina sp1 M_PL_053","Animals","Pollinator",1,1,1
"Tapinoma sp1 M_PL_053","Animals","Pollinator",1,1,1
"Tenthredo fukaii ","Animals","Pollinator",1,1,2
"Tetralonia nipponensis","Animals","Pollinator",6,6,1
"Themus midas","Animals","Pollinator",2,2,1
"Thoressa varia","Animals","Pollinator",1,1,3
"Trachys saundersi ","Animals","Pollinator",1,1,3
"Trypherus nipponicus","Animals","Pollinator",1,1,1
"Unidentified sp1 M_PL_053","Animals","Pollinator",2,2,1
"Unidentified sp10 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp11 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp12 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp13 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp14 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp15 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp16 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp17 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp18 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp19 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp2 M_PL_053","Animals","Pollinator",2,2,1
"Unidentified sp20 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp21 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp22 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp24 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp25 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp26 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp27 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp28 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp29 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp3 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp30 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp31 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp32 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp33 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp34 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp35 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp36 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp37 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp38 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp39 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp4 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp40 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp41 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp42 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp43 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp44 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp45 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp46 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp47 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp48 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp49 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp5 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp50 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp51 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp52 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp53 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp54 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp55 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp56 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp57 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp58 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp59 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp6 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp60 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp61 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp62 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp63 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp64 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp65 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp66 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp67 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp68 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp69 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp7 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp70 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp71 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp72 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp73 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp74 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp75 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp8 M_PL_053","Animals","Pollinator",1,1,1
"Unidentified sp9 M_PL_053","Animals","Pollinator",1,1,1
"Urophora sachalinensis","Animals","Pollinator",2,2,1
"Vanessa indica ","Animals","Pollinator",1,1,5
"Vespa simillima","Animals","Pollinator",3,3,2
"Vespa tropica","Animals","Pollinator",1,1,1
"Vibidia duodecimguttata","Animals","Pollinator",1,1,1
"Volucella jeddona","Animals","Pollinator",1,1,1
"Vuilletus viridis","Animals","Pollinator",1,1,2
"Zodion sp1 M_PL_053","Animals","Pollinator",1,1,1
"Zypangia lewisi","Animals","Pollinator",4,4,1
"Abelia serrata","Plants","Plant",11,11,1
"Aconitum japonicum","Plants","Plant",1,1,1
"Adenophora triphylla","Plants","Plant",3,3,3
"Aletris luteoviridis","Plants","Plant",1,1,1
"Allium thunbergii","Plants","Plant",5,5,1
"Anaphalis margaritacea","Plants","Plant",3,3,2
"Arabis glabra","Plants","Plant",1,1,1
"Arisaema japonicum","Plants","Plant",16,16,1
"Asparagus schoberioides","Plants","Plant",1,1,1
"Aster ageratoides","Plants","Plant",3,3,3
"Aster scaber","Plants","Plant",3,3,1
"Astilbe thunbergii","Plants","Plant",9,9,4
"Benthamidia japonica","Plants","Plant",12,12,1
"Castanea crenata","Plants","Plant",5,5,2
"Cephalantera falcata","Plants","Plant",4,4,1
"Chionographis japonica","Plants","Plant",4,4,1
"Cimicifuga acerina","Plants","Plant",2,2,1
"Cirsium japonicum","Plants","Plant",28,28,3
"Cirsium suffultum","Plants","Plant",15,15,1
"Clethra barvinervis","Plants","Plant",4,4,1
"Codonopsis lanceolata","Plants","Plant",1,1,2
"Corydalis lineariloba","Plants","Plant",1,1,2
"Deutzia crenata","Plants","Plant",31,31,4
"Dianthus superbus","Plants","Plant",4,4,1
"Dioscorea asclepiadea","Plants","Plant",1,1,1
"Echinops setifer","Plants","Plant",8,8,1
"Epimedium diphyllum","Plants","Plant",3,3,1
"Erigeron annuus","Plants","Plant",8,8,2
"Erigeron philadelphicus","Plants","Plant",1,1,2
"Eupatorium chinense","Plants","Plant",2,2,3
"Galium japonicum","Plants","Plant",1,1,1
"Galium verum","Plants","Plant",4,4,2
"Gentiana zollingeri","Plants","Plant",1,1,1
"Geranium shikokianum","Plants","Plant",10,10,1
"Hemerocallis vespertina","Plants","Plant",6,6,1
"Heteropappus hispidus","Plants","Plant",4,4,1
"Hydrangea luteo-venosa","Plants","Plant",8,8,1
"Hydrangea paniculata","Plants","Plant",7,7,4
"Hydrangea serrata","Plants","Plant",4,4,1
"Hydrocotyle ramiflora","Plants","Plant",3,3,1
"Hypericum pseudopetiolatum","Plants","Plant",2,2,2
"Inula japonica","Plants","Plant",2,2,1
"Inula salicina","Plants","Plant",1,1,1
"Iris rossii","Plants","Plant",2,2,1
"Isodon inflexus","Plants","Plant",1,1,1
"Ixeris dentata","Plants","Plant",9,9,6
"Lespedeza bicolor","Plants","Plant",11,11,3
"Ligularia fischerii","Plants","Plant",3,3,2
"Ligularia japonica","Plants","Plant",11,11,1
"Lilium leichtlinii","Plants","Plant",1,1,1
"Lindera sericea","Plants","Plant",6,6,1
"Luzula capitata","Plants","Plant",1,1,1
"Lyonia ovalifolia","Plants","Plant",3,3,2
"Lysimachia clethroides","Plants","Plant",12,12,2
"Moehringia lateriflora","Plants","Plant",1,1,1
"Paederia scandens","Plants","Plant",1,1,3
"Parnassia palustris","Plants","Plant",2,2,2
"Patrinia scabiosaefolia","Plants","Plant",1,1,1
"Patrinia villosa","Plants","Plant",2,2,4
"Pieris japonica","Plants","Plant",26,26,2
"Polygala japonica","Plants","Plant",1,1,1
"Polygonum cuspidatum","Plants","Plant",13,13,1
"Potentilla freyniana","Plants","Plant",9,9,2
"Prunella vulgaris","Plants","Plant",7,7,7
"Prunus jamasakura","Plants","Plant",19,19,3
"Pseudostellaria heterantha","Plants","Plant",2,2,2
"Quercus dentata","Plants","Plant",7,7,1
"Ranunculus japonicus","Plants","Plant",15,15,3
"Rhododendron kiusuanum","Plants","Plant",12,12,1
"Rhododendron reticulatum","Plants","Plant",5,5,1
"Rubus parvifolius","Plants","Plant",6,6,2
"Rubus phoenicolasius","Plants","Plant",1,1,1
"Salix sieboldiana","Plants","Plant",43,43,1
"Salix vulpina","Plants","Plant",7,7,1
"Sanguisorba officinalis","Plants","Plant",1,1,1
"Saussurea gracilis","Plants","Plant",3,3,1
"Saussurea yanagisawae","Plants","Plant",4,4,1
"Schizophragma hydrangeoides","Plants","Plant",1,1,1
"Senecio pierotii","Plants","Plant",1,1,2
"Solidago virg-aurea","Plants","Plant",3,3,1
"Sophora flavescens","Plants","Plant",9,9,1
"Spiraea japonica","Plants","Plant",6,6,1
"Staphylea bumalda","Plants","Plant",1,1,2
"Styrax japonica","Plants","Plant",2,2,3
"Swertia japonica","Plants","Plant",1,1,1
"Synurus excelsus","Plants","Plant",1,1,1
"Valeriana fauriei","Plants","Plant",2,2,1
"Veratrum maackii","Plants","Plant",5,5,2
"Veronica rotunda","Plants","Plant",5,5,1
"Viburnum dilatatum","Plants","Plant",8,8,2
"Viburnum erosum","Plants","Plant",4,4,2
"Vicia unijuga","Plants","Plant",3,3,1
"Viola grypoceras","Plants","Plant",12,12,3
"Viola hondoensis","Plants","Plant",1,1,1
"Viola orientalis","Plants","Plant",10,10,1
"Weigela decora","Plants","Plant",12,12,2
"Weigela japonica","Plants","Plant",8,8,1
